Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,共和县恰卜恰镇,67,良,颗粒物(PM10),22,83,0.5,5,111,108,6
20200326,20,共和县恰卜恰镇,63,良,颗粒物(PM10),26,76,0.6,7,98,109,6
20200326,21,共和县恰卜恰镇,73,良,颗粒物(PM10),33,96,0.7,11,90,107,7
20200327,10,共和县恰卜恰镇,68,良,颗粒物(PM10),42,86,1.0,19,65,77,8
20200327,11,共和县恰卜恰镇,72,良,颗粒物(PM10),45,94,0.7,8,80,77,6
20200327,12,共和县恰卜恰镇,59,良,颗粒物(PM10),38,68,0.7,6,91,78,7
20200327,13,共和县恰卜恰镇,54,良,颗粒物(PM10),31,57,0.6,5,101,80,6
20200327,14,共和县恰卜恰镇,51,良,颗粒物(PM10),23,52,0.6,5,108,83,6
20200327,14,共和县恰卜恰镇,51,良,颗粒物(PM10),23,52,0.6,5,108,83,6
20200327,15,共和县恰卜恰镇,40,优,NaN,18,40,0.6,5,108,87,5
20200327,15,共和县恰卜恰镇,40,优,NaN,18,40,0.6,5,108,87,5
20200327,16,共和县恰卜恰镇,55,良,颗粒物(PM10),17,60,0.6,5,107,91,6
20200327,17,共和县恰卜恰镇,57,良,颗粒物(PM10),15,63,0.5,3,110,96,6
20200330,07,共和县恰卜恰镇,40,优,NaN,28,NaN,0.7,12,63,49,6
20200330,08,共和县恰卜恰镇,31,优,NaN,19,31,0.7,23,46,48,6
20200330,09,共和县恰卜恰镇,30,优,NaN,21,29,1.3,37,28,46,6
20200330,09,共和县恰卜恰镇,30,优,NaN,21,29,1.3,37,28,46,6
20200330,10,共和县恰卜恰镇,35,优,NaN,19,35,1.0,26,64,48,6
20200330,10,共和县恰卜恰镇,35,优,NaN,19,35,1.0,26,64,48,6
20200330,10,共和县恰卜恰镇,35,优,NaN,19,35,1.0,26,64,48,6
20200330,11,共和县恰卜恰镇,37,优,NaN,19,37,0.8,11,90,54,6
