Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,市监测站,22,优,NaN,6,22,0.4,18,61,70,2
20200326,18,市交警支队,29,优,NaN,19,29,0.2,13,65,65,5
20200326,18,迎宾馆,22,优,NaN,9,12,0.1,10,70,72,2
20200326,20,市监测站,29,优,NaN,17,29,0.8,21,50,66,4
20200326,20,市交警支队,33,优,NaN,23,28,0.4,25,51,66,9
20200326,20,迎宾馆,20,优,NaN,14,20,0.6,19,57,72,4
20200326,21,市监测站,28,优,NaN,16,28,0.4,16,63,65,4
20200326,21,市交警支队,29,优,NaN,20,23,0.5,22,54,64,9
20200326,21,迎宾馆,24,优,NaN,12,24,0.7,17,60,70,5
20200327,10,市监测站,34,优,NaN,18,34,0.2,14,71,43,4
20200327,10,市交警支队,39,优,NaN,23,39,0.3,16,64,47,5
20200327,10,迎宾馆,36,优,NaN,11,36,0.5,11,72,52,4
20200327,11,市监测站,32,优,NaN,15,32,0.3,14,74,46,6
20200327,11,市交警支队,34,优,NaN,15,34,0.3,16,65,49,5
20200327,11,迎宾馆,31,优,NaN,11,31,0.5,10,72,55,4
20200327,12,市监测站,31,优,NaN,10,31,0.4,15,75,50,10
20200327,12,市交警支队,32,优,NaN,15,32,0.3,14,70,53,5
20200327,12,迎宾馆,29,优,NaN,10,29,0.6,10,76,58,4
20200327,13,市监测站,27,优,NaN,10,27,0.4,14,81,56,10
20200327,13,市交警支队,33,优,NaN,19,33,0.3,14,74,56,5
20200327,13,迎宾馆,26,优,NaN,9,24,0.6,11,81,62,4
20200327,14,市监测站,27,优,NaN,10,27,0.4,14,84,63,11
20200327,14,市交警支队,26,优,NaN,13,26,0.3,14,79,61,6
20200327,14,迎宾馆,28,优,NaN,9,20,0.6,9,88,67,4
20200327,14,市监测站,27,优,NaN,10,27,0.4,14,84,63,11
20200327,14,市交警支队,26,优,NaN,13,26,0.3,14,79,61,6
20200327,14,迎宾馆,28,优,NaN,9,20,0.6,9,88,67,4
20200327,15,市监测站,29,优,NaN,9,29,0.4,17,82,69,11
20200327,15,市交警支队,33,优,NaN,20,33,0.3,14,79,66,6
20200327,15,迎宾馆,28,优,NaN,10,23,0.5,13,87,72,4
20200327,15,市监测站,29,优,NaN,9,29,0.4,17,82,69,11
20200327,15,市交警支队,33,优,NaN,20,33,0.3,14,79,66,6
20200327,15,迎宾馆,28,优,NaN,10,23,0.5,13,87,72,4
20200327,16,市监测站,30,优,NaN,10,30,0.3,15,86,76,7
20200327,16,市交警支队,26,优,NaN,17,26,0.3,16,79,70,7
20200327,16,迎宾馆,28,优,NaN,11,28,0.4,13,88,78,5
20200327,17,市监测站,36,优,NaN,16,36,0.3,18,83,80,8
20200327,17,市交警支队,37,优,NaN,21,37,0.3,18,78,74,6
20200327,17,迎宾馆,29,优,NaN,12,29,0.6,14,85,81,4
20200330,07,市监测站,76,良,颗粒物(PM10),45,101,0.8,37,7,12,3
20200330,07,市交警支队,78,良,细颗粒物(PM2.5),57,75,0.5,58,7,7,10
20200330,07,迎宾馆,68,良,细颗粒物(PM2.5),49,66,0.5,49,5,5,6
20200330,08,市监测站,84,良,颗粒物(PM10),49,117,1.1,45,10,12,8
20200330,08,市交警支队,80,良,细颗粒物(PM2.5),59,87,0.6,52,13,8,12
20200330,08,迎宾馆,72,良,细颗粒物(PM2.5),52,76,0.6,43,12,6,7
20200330,09,市监测站,78,良,颗粒物(PM10),51,106,0.9,43,19,12,9
20200330,09,市交警支队,84,良,细颗粒物(PM2.5),62,89,0.6,43,26,10,15
20200330,09,迎宾馆,74,良,细颗粒物(PM2.5),54,79,0.6,37,22,8,11
20200330,09,市监测站,78,良,颗粒物(PM10),51,106,0.9,43,19,12,9
20200330,09,市交警支队,84,良,细颗粒物(PM2.5),62,89,0.6,43,26,10,15
20200330,09,迎宾馆,74,良,细颗粒物(PM2.5),54,79,0.6,37,22,8,11
20200330,10,市监测站,77,良,细颗粒物(PM2.5),56,89,0.9,40,34,12,16
20200330,10,市交警支队,84,良,细颗粒物(PM2.5),62,97,0.5,39,41,15,14
20200330,10,迎宾馆,88,良,细颗粒物(PM2.5),65,71,0.6,35,36,12,11
20200330,10,市监测站,77,良,细颗粒物(PM2.5),56,89,0.9,40,34,12,16
20200330,10,市交警支队,84,良,细颗粒物(PM2.5),62,97,0.5,39,41,15,14
20200330,10,迎宾馆,88,良,细颗粒物(PM2.5),65,71,0.6,35,36,12,11
20200330,10,市监测站,77,良,细颗粒物(PM2.5),56,89,0.9,40,34,12,16
20200330,10,市交警支队,84,良,细颗粒物(PM2.5),62,97,0.5,39,41,15,14
20200330,10,迎宾馆,88,良,细颗粒物(PM2.5),65,71,0.6,35,36,12,11
20200330,11,市监测站,74,良,细颗粒物(PM2.5),54,68,0.7,22,70,20,12
20200330,11,市交警支队,88,良,细颗粒物(PM2.5),65,82,0.5,33,56,21,12
20200330,11,迎宾馆,83,良,细颗粒物(PM2.5),61,61,0.6,29,57,19,10
