Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,源西,36,优,NaN,17,36,NaN,13,NaN,58,6
20200326,18,东埔,32,优,NaN,15,32,0.6,21,58,63,5
20200326,18,老城,28,优,NaN,19,23,0.5,18,62,64,5
20200326,20,源西,50,优,NaN,35,50,1.0,38,21,53,6
20200326,20,东埔,33,优,NaN,23,27,1.0,33,36,58,5
20200326,20,老城,49,优,NaN,34,39,1.0,39,22,58,5
20200326,21,源西,56,良,颗粒物(PM10),28,61,1.1,44,7,46,6
20200326,21,东埔,50,优,NaN,30,50,1.6,55,6,51,5
20200326,21,老城,64,良,颗粒物(PM10),33,77,0.8,48,1,50,6
20200327,10,源西,20,优,NaN,14,17,0.7,15,40,12,9
20200327,10,东埔,23,优,NaN,16,NaN,0.8,19,40,13,6
20200327,10,老城,25,优,NaN,17,20,0.6,22,39,7,14
20200327,11,源西,24,优,NaN,13,24,0.6,15,50,18,8
20200327,11,东埔,20,优,NaN,14,20,0.8,20,53,19,6
20200327,11,老城,25,优,NaN,17,19,0.5,24,49,14,8
20200327,12,源西,22,优,NaN,15,17,0.6,13,52,24,6
20200327,12,东埔,25,优,NaN,17,20,0.7,18,56,26,6
20200327,12,老城,29,优,NaN,20,25,0.5,23,50,20,6
20200327,13,源西,31,优,NaN,18,31,0.5,10,61,32,6
20200327,13,东埔,29,优,NaN,18,29,0.7,17,64,33,5
20200327,13,老城,35,优,NaN,24,28,0.5,18,65,28,6
20200327,14,源西,32,优,NaN,16,32,0.5,8,69,40,6
20200327,14,东埔,35,优,NaN,15,35,0.6,14,75,42,5
20200327,14,老城,29,优,NaN,20,28,0.4,16,74,37,6
20200327,14,源西,32,优,NaN,16,32,0.5,8,69,40,6
20200327,14,东埔,35,优,NaN,15,35,0.6,14,75,42,5
20200327,14,老城,29,优,NaN,20,28,0.4,16,74,37,6
20200327,15,源西,34,优,NaN,16,34,0.5,10,73,49,6
20200327,15,东埔,34,优,NaN,13,34,0.5,14,83,52,5
20200327,15,老城,27,优,NaN,18,27,0.4,15,79,47,6
20200327,15,源西,34,优,NaN,16,34,0.5,10,73,49,6
20200327,15,东埔,34,优,NaN,13,34,0.5,14,83,52,5
20200327,15,老城,27,优,NaN,18,27,0.4,15,79,47,6
20200327,17,源西,33,优,NaN,15,33,0.6,15,56,57,6
20200327,17,东埔,26,优,NaN,16,26,0.6,18,67,65,5
20200327,17,老城,28,优,NaN,18,28,0.5,19,56,61,5
20200330,08,源西,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,08,东埔,15,优,NaN,7,15,0.8,18,22,24,6
20200330,08,老城,10,优,NaN,4,6,0.6,19,20,22,6
20200330,09,源西,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,09,东埔,9,优,NaN,6,NaN,0.9,18,22,25,6
20200330,09,老城,10,优,NaN,3,7,0.6,20,18,22,6
20200330,10,源西,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,10,东埔,10,优,NaN,7,8,0.9,17,25,25,6
20200330,10,老城,10,优,NaN,3,7,0.6,20,21,23,6
20200330,10,源西,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,10,东埔,10,优,NaN,7,8,0.9,17,25,25,6
20200330,10,老城,10,优,NaN,3,7,0.6,20,21,23,6
20200330,11,源西,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,11,东埔,9,优,NaN,6,NaN,0.8,16,28,26,5
20200330,11,老城,10,优,NaN,3,8,0.6,19,24,23,6
