Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,监测站,110,轻度污染,细颗粒物(PM2.5),83,102,0.8,32,26,26,4
20200326,18,烈山区政府,148,轻度污染,细颗粒物(PM2.5),113,132,1.0,38,24,30,4
20200326,18,职业技术学院,92,良,细颗粒物(PM2.5),68,114,1.1,35,25,31,5
20200326,20,监测站,80,良,颗粒物(PM10),28,110,0.5,24,34,31,4
20200326,20,烈山区政府,94,良,颗粒物(PM10),66,137,0.7,27,34,34,4
20200326,20,职业技术学院,84,良,颗粒物(PM10),27,118,0.7,25,35,35,11
20200326,21,监测站,62,良,颗粒物(PM10),33,74,0.5,19,43,34,4
20200326,21,烈山区政府,79,良,细颗粒物(PM2.5),58,88,0.6,22,40,36,4
20200326,21,职业技术学院,57,良,颗粒物(PM10),13,63,0.6,16,47,38,6
20200327,10,监测站,45,优,NaN,13,45,0.5,17,58,50,9
20200327,10,烈山区政府,39,优,NaN,20,39,0.5,13,60,55,8
20200327,10,职业技术学院,41,优,NaN,12,41,0.5,14,61,55,6
20200327,11,监测站,47,优,NaN,14,47,0.4,17,62,50,8
20200327,11,烈山区政府,30,优,NaN,18,30,0.4,12,62,56,7
20200327,11,职业技术学院,40,优,NaN,13,40,0.4,9,65,56,6
20200327,12,监测站,42,优,NaN,14,42,0.4,17,62,52,8
20200327,12,烈山区政府,26,优,NaN,18,25,0.4,13,67,57,8
20200327,12,职业技术学院,39,优,NaN,14,39,0.4,11,64,56,5
20200327,13,监测站,44,优,NaN,16,44,0.4,16,68,54,8
20200327,13,烈山区政府,31,优,NaN,13,31,0.5,13,66,58,9
20200327,13,职业技术学院,45,优,NaN,14,45,0.4,9,71,58,7
20200327,14,监测站,45,优,NaN,14,45,0.4,16,78,58,8
20200327,14,烈山区政府,26,优,NaN,17,26,0.5,14,70,60,9
20200327,14,职业技术学院,42,优,NaN,14,42,0.4,7,82,61,8
20200327,14,监测站,45,优,NaN,14,45,0.4,16,78,58,8
20200327,14,烈山区政府,26,优,NaN,17,26,0.5,14,70,60,9
20200327,14,职业技术学院,42,优,NaN,14,42,0.4,7,82,61,8
20200327,15,监测站,39,优,NaN,14,39,0.5,21,76,62,8
20200327,15,烈山区政府,39,优,NaN,24,39,0.4,12,76,63,9
20200327,15,职业技术学院,42,优,NaN,12,42,0.4,10,83,65,7
20200327,16,监测站,48,优,NaN,16,48,0.5,27,68,65,10
20200327,16,烈山区政府,36,优,NaN,25,36,0.5,15,70,66,9
20200327,16,职业技术学院,43,优,NaN,13,43,0.4,16,77,69,8
20200327,17,监测站,52,良,颗粒物(PM10),14,54,0.5,27,63,67,10
20200327,17,烈山区政府,45,优,NaN,27,45,0.5,17,75,68,12
20200327,17,职业技术学院,47,优,NaN,12,47,0.4,17,71,72,6
20200330,08,监测站,61,良,颗粒物(PM10),40,71,0.5,22,57,60,5
20200330,08,烈山区政府,60,良,细颗粒物(PM2.5),43,52,0.5,17,61,56,9
20200330,08,职业技术学院,55,良,细颗粒物(PM2.5),39,57,0.5,22,58,60,6
20200330,09,监测站,62,良,细颗粒物(PM2.5),44,71,0.6,24,56,58,6
20200330,09,烈山区政府,59,良,细颗粒物(PM2.5),42,53,0.4,14,72,59,9
20200330,09,职业技术学院,52,良,颗粒物(PM10),30,53,0.5,15,74,60,6
20200330,10,监测站,56,良,颗粒物(PM10),32,62,0.4,18,74,60,6
20200330,10,烈山区政府,54,良,细颗粒物(PM2.5),38,NaN,0.3,16,74,61,8
20200330,10,职业技术学院,38,优,NaN,24,38,0.4,14,79,63,5
20200330,10,监测站,56,良,颗粒物(PM10),32,62,0.4,18,74,60,6
20200330,10,烈山区政府,54,良,细颗粒物(PM2.5),38,NaN,0.3,16,74,61,8
20200330,10,职业技术学院,38,优,NaN,24,38,0.4,14,79,63,5
20200330,10,监测站,56,良,颗粒物(PM10),32,62,0.4,18,74,60,6
20200330,10,烈山区政府,54,良,细颗粒物(PM2.5),38,NaN,0.3,16,74,61,8
20200330,10,职业技术学院,38,优,NaN,24,38,0.4,14,79,63,5
20200330,11,监测站,47,优,NaN,25,47,0.3,15,80,62,4
20200330,11,烈山区政府,48,优,NaN,33,NaN,0.3,12,83,64,6
20200330,11,职业技术学院,32,优,NaN,22,27,0.3,6,88,67,5
