Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,红声器材厂,42,优,NaN,13,42,0.5,22,57,72,7
20200326,18,市森林工业局,31,优,NaN,15,31,0.6,27,58,69,10
20200326,18,市环境监测站,24,优,NaN,13,24,0.7,28,57,68,13
20200326,18,青原区法院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,82,NaN
20200326,20,红声器材厂,41,优,NaN,14,41,0.8,42,NaN,64,6
20200326,20,市森林工业局,34,优,NaN,19,34,0.9,44,30,63,10
20200326,20,市环境监测站,29,优,NaN,16,29,0.7,32,39,64,13
20200326,20,青原区法院,32,优,NaN,12,32,0.5,36,45,75,7
20200326,21,红声器材厂,44,优,NaN,18,44,1.0,39,NaN,61,7
20200326,21,市森林工业局,43,优,NaN,22,43,0.8,41,28,57,10
20200326,21,市环境监测站,28,优,NaN,16,28,0.9,44,20,56,12
20200326,21,青原区法院,31,优,NaN,18,31,1.0,34,37,67,8
20200327,10,红声器材厂,37,优,NaN,19,37,0.7,22,36,19,6
20200327,10,市森林工业局,31,优,NaN,18,31,0.7,21,48,22,11
20200327,10,市环境监测站,34,优,NaN,17,34,0.6,26,41,24,11
20200327,10,青原区法院,36,优,NaN,17,36,0.8,28,37,25,10
20200327,11,红声器材厂,37,优,NaN,17,37,0.7,18,47,25,8
20200327,11,市森林工业局,25,优,NaN,17,25,0.6,22,51,27,12
20200327,11,市环境监测站,23,优,NaN,13,23,0.6,27,41,27,12
20200327,11,青原区法院,30,优,NaN,17,30,0.8,23,56,32,12
20200327,12,红声器材厂,29,优,NaN,10,29,0.8,14,61,32,8
20200327,12,市森林工业局,24,优,NaN,14,24,0.6,17,56,34,12
20200327,12,市环境监测站,16,优,NaN,11,15,0.5,23,47,31,12
20200327,12,青原区法院,24,优,NaN,15,24,0.9,15,75,40,10
20200327,13,红声器材厂,27,优,NaN,13,27,0.7,14,50,37,7
20200327,13,市森林工业局,26,优,NaN,11,26,0.7,19,40,38,11
20200327,13,市环境监测站,15,优,NaN,10,15,0.7,22,33,32,12
20200327,13,青原区法院,22,优,NaN,13,22,0.8,16,62,44,7
20200327,14,红声器材厂,25,优,NaN,8,25,0.7,21,24,37,5
20200327,14,市森林工业局,28,优,NaN,10,28,0.8,22,28,40,10
20200327,14,市环境监测站,18,优,NaN,12,12,0.6,25,25,33,11
20200327,14,青原区法院,23,优,NaN,11,23,1.0,26,27,44,10
20200327,14,红声器材厂,25,优,NaN,8,25,0.7,21,24,37,5
20200327,14,市森林工业局,28,优,NaN,10,28,0.8,22,28,40,10
20200327,14,市环境监测站,18,优,NaN,12,12,0.6,25,25,33,11
20200327,14,青原区法院,23,优,NaN,11,23,1.0,26,27,44,10
20200327,15,红声器材厂,32,优,NaN,12,32,0.7,20,28,38,5
20200327,15,市森林工业局,29,优,NaN,13,29,0.7,22,31,40,11
20200327,15,市环境监测站,19,优,NaN,13,18,0.6,24,25,34,9
20200327,15,青原区法院,26,优,NaN,13,26,0.9,27,26,44,10
20200327,16,红声器材厂,37,优,NaN,10,37,0.7,23,24,37,6
20200327,16,市森林工业局,29,优,NaN,14,29,0.7,25,27,40,12
20200327,16,市环境监测站,23,优,NaN,13,23,0.6,26,25,34,9
20200327,16,青原区法院,29,优,NaN,17,29,0.9,27,25,43,10
20200327,17,红声器材厂,35,优,NaN,14,35,0.7,25,22,36,6
20200327,17,市森林工业局,30,优,NaN,16,30,0.6,28,26,38,12
20200327,17,市环境监测站,27,优,NaN,13,27,0.5,30,21,32,13
20200327,17,青原区法院,26,优,NaN,16,26,0.8,26,28,42,11
20200330,08,红声器材厂,24,优,NaN,5,24,0.3,14,35,32,4
20200330,08,市森林工业局,14,优,NaN,3,14,0.4,15,32,32,10
20200330,08,市环境监测站,13,优,NaN,7,13,0.4,16,32,32,11
20200330,08,青原区法院,12,优,NaN,7,11,0.6,15,36,33,9
20200330,09,红声器材厂,26,优,NaN,4,26,0.4,15,33,32,4
20200330,09,市森林工业局,14,优,NaN,6,14,0.4,18,31,32,10
20200330,09,市环境监测站,12,优,NaN,7,11,0.5,24,27,31,16
20200330,09,青原区法院,12,优,NaN,4,12,0.7,19,33,32,9
20200330,10,红声器材厂,23,优,NaN,4,23,0.5,16,32,32,4
20200330,10,市森林工业局,12,优,NaN,6,12,0.4,18,32,32,11
20200330,10,市环境监测站,15,优,NaN,10,14,0.5,18,35,31,16
20200330,10,青原区法院,13,优,NaN,5,13,0.6,18,31,32,10
20200330,10,红声器材厂,23,优,NaN,4,23,0.5,16,32,32,4
20200330,10,市森林工业局,12,优,NaN,6,12,0.4,18,32,32,11
20200330,10,市环境监测站,15,优,NaN,10,14,0.5,18,35,31,16
20200330,10,青原区法院,13,优,NaN,5,13,0.6,18,31,32,10
20200330,10,红声器材厂,23,优,NaN,4,23,0.5,16,32,32,4
20200330,10,市森林工业局,12,优,NaN,6,12,0.4,18,32,32,11
20200330,10,市环境监测站,15,优,NaN,10,14,0.5,18,35,31,16
20200330,10,青原区法院,13,优,NaN,5,13,0.6,18,31,32,10
20200330,11,红声器材厂,26,优,NaN,5,26,0.4,15,32,32,6
20200330,11,市森林工业局,17,优,NaN,7,17,0.5,21,30,31,12
20200330,11,市环境监测站,13,优,NaN,7,9,0.4,13,40,32,14
20200330,11,青原区法院,15,优,NaN,5,15,0.7,19,32,33,11
