Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,金坛市环境监测站,53,良,细颗粒物(PM2.5),37,49,1.6,95,5,8,7
20200326,18,金坛市自来水公司,54,良,细颗粒物(PM2.5),38,52,1.5,71,17,11,4
20200326,20,金坛市环境监测站,35,优,NaN,24,30,1.2,53,33,10,7
20200326,20,金坛市自来水公司,38,优,NaN,26,34,1.4,58,20,12,4
20200326,21,金坛市环境监测站,33,优,NaN,23,29,1.2,47,37,14,7
20200326,21,金坛市自来水公司,32,优,NaN,22,28,1.2,39,33,16,4
20200327,10,金坛市环境监测站,29,优,NaN,20,19,0.6,26,59,49,10
20200327,10,金坛市自来水公司,20,优,NaN,9,20,0.6,19,59,51,9
20200327,11,金坛市环境监测站,28,优,NaN,19,20,0.5,25,59,53,13
20200327,11,金坛市自来水公司,20,优,NaN,9,20,0.5,17,61,54,10
20200327,12,金坛市环境监测站,38,优,NaN,26,27,0.5,23,63,56,16
20200327,12,金坛市自来水公司,21,优,NaN,7,19,0.5,14,65,58,5
20200327,13,金坛市环境监测站,39,优,NaN,27,31,0.5,22,67,59,19
20200327,13,金坛市自来水公司,22,优,NaN,8,22,0.5,12,70,61,7
20200327,14,金坛市环境监测站,29,优,NaN,20,27,0.5,19,78,62,11
20200327,14,金坛市自来水公司,25,优,NaN,8,24,0.5,12,80,64,5
20200327,14,金坛市环境监测站,29,优,NaN,20,27,0.5,19,78,62,11
20200327,14,金坛市自来水公司,25,优,NaN,8,24,0.5,12,80,64,5
20200327,15,金坛市环境监测站,30,优,NaN,19,30,0.5,17,86,66,10
20200327,15,金坛市自来水公司,28,优,NaN,8,24,0.5,12,87,68,5
20200327,16,金坛市环境监测站,32,优,NaN,17,32,0.5,21,90,70,7
20200327,16,金坛市自来水公司,30,优,NaN,9,28,0.5,12,94,72,5
20200327,17,金坛市环境监测站,35,优,NaN,17,35,0.5,23,88,74,7
20200327,17,金坛市自来水公司,32,优,NaN,10,32,0.5,13,93,76,5
20200330,07,金坛市环境监测站,40,优,NaN,27,40,1.0,25,55,47,5
20200330,07,金坛市自来水公司,43,优,NaN,30,38,1.1,21,50,47,4
20200330,07,金坛市环境监测站,40,优,NaN,27,40,1.0,25,55,47,5
20200330,07,金坛市自来水公司,43,优,NaN,30,38,1.1,21,50,47,4
20200330,10,金坛市环境监测站,23,优,NaN,16,22,0.9,26,64,53,5
20200330,10,金坛市自来水公司,28,优,NaN,19,23,0.8,20,63,52,4
20200330,10,金坛市环境监测站,23,优,NaN,16,22,0.9,26,64,53,5
20200330,10,金坛市自来水公司,28,优,NaN,19,23,0.8,20,63,52,4
20200330,10,金坛市环境监测站,23,优,NaN,16,22,0.9,26,64,53,5
20200330,10,金坛市自来水公司,28,优,NaN,19,23,0.8,20,63,52,4
20200330,11,金坛市环境监测站,20,优,NaN,12,18,1.1,26,61,56,5
20200330,11,金坛市自来水公司,23,优,NaN,16,19,0.7,22,59,55,4
