Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,南山,43,优,NaN,30,34,0.4,29,42,64,28
20200326,18,开发区,49,优,NaN,34,NaN,0.5,16,57,62,8
20200326,18,北湖公园,45,优,NaN,31,34,0.7,31,34,55,18
20200326,18,百股街道,43,优,NaN,20,43,0.6,23,42,55,74
20200326,18,天安街道,43,优,NaN,30,38,0.8,36,32,54,57
20200326,20,南山,42,优,NaN,29,33,0.5,45,22,52,15
20200326,20,开发区,39,优,NaN,27,NaN,0.6,14,56,60,8
20200326,20,北湖公园,57,良,细颗粒物(PM2.5),40,NaN,0.7,27,32,47,26
20200326,20,百股街道,33,优,NaN,23,31,0.7,53,11,44,71
20200326,20,天安街道,45,优,NaN,31,42,0.8,46,20,45,120
20200326,21,南山,57,良,细颗粒物(PM2.5),40,NaN,0.6,50,14,45,45
20200326,21,开发区,45,优,NaN,31,33,0.6,26,41,57,9
20200326,21,北湖公园,49,优,NaN,34,41,0.7,21,38,44,19
20200326,21,百股街道,35,优,NaN,24,31,0.8,46,15,39,42
20200326,21,天安街道,57,良,细颗粒物(PM2.5),40,49,0.9,34,29,42,59
20200327,10,南山,54,良,颗粒物(PM10),6,58,0.5,7,77,77,8
20200327,10,开发区,59,良,颗粒物(PM10),11,68,0.6,11,68,68,11
20200327,10,北湖公园,55,良,颗粒物(PM10),4,60,0.4,6,67,67,7
20200327,10,百股街道,60,良,颗粒物(PM10),37,70,0.5,10,64,42,9
20200327,10,天安街道,47,优,NaN,6,47,0.5,8,69,52,6
20200327,11,南山,33,优,NaN,4,33,0.4,6,84,63,7
20200327,11,开发区,26,优,NaN,8,26,0.5,6,78,43,11
20200327,11,北湖公园,35,优,NaN,2,35,0.4,5,73,58,5
20200327,11,百股街道,46,优,NaN,18,46,0.5,7,72,43,7
20200327,11,天安街道,31,优,NaN,4,31,0.4,7,72,53,5
20200327,12,南山,33,优,NaN,2,33,0.4,6,86,64,7
20200327,12,开发区,43,优,NaN,6,43,0.4,5,79,46,8
20200327,12,北湖公园,32,优,NaN,2,32,0.4,4,74,59,6
20200327,12,百股街道,32,优,NaN,10,32,0.5,6,74,45,7
20200327,12,天安街道,32,优,NaN,4,32,0.5,5,74,54,3
20200327,13,南山,37,优,NaN,4,37,0.4,6,88,68,7
20200327,13,开发区,51,良,颗粒物(PM10),6,51,0.5,6,79,50,8
20200327,13,北湖公园,24,优,NaN,2,24,0.4,4,74,61,6
20200327,13,百股街道,34,优,NaN,11,34,0.5,6,76,49,7
20200327,13,天安街道,35,优,NaN,4,35,0.5,5,74,56,4
20200327,14,南山,37,优,NaN,3,37,0.4,5,90,73,6
20200327,14,开发区,37,优,NaN,5,37,0.4,8,78,58,8
20200327,14,北湖公园,24,优,NaN,2,24,0.4,4,76,64,6
20200327,14,百股街道,33,优,NaN,9,33,0.5,6,78,57,8
20200327,14,天安街道,29,优,NaN,4,29,0.5,4,77,61,3
20200327,14,南山,37,优,NaN,3,37,0.4,5,90,73,6
20200327,14,开发区,37,优,NaN,5,37,0.4,8,78,58,8
20200327,14,北湖公园,24,优,NaN,2,24,0.4,4,76,64,6
20200327,14,百股街道,33,优,NaN,9,33,0.5,6,78,57,8
20200327,14,天安街道,29,优,NaN,4,29,0.5,4,77,61,3
20200327,15,南山,31,优,NaN,4,31,0.4,5,91,79,6
20200327,15,开发区,29,优,NaN,5,29,0.4,8,80,66,9
20200327,15,北湖公园,25,优,NaN,2,22,0.4,4,77,68,6
20200327,15,百股街道,28,优,NaN,8,28,0.5,6,80,66,7
20200327,15,天安街道,29,优,NaN,5,29,0.5,7,76,67,6
20200327,16,南山,37,优,NaN,5,37,0.4,7,87,84,7
20200327,16,开发区,71,良,颗粒物(PM10),12,91,0.5,21,72,73,11
20200327,16,北湖公园,35,优,NaN,2,35,0.4,5,75,72,13
20200327,16,百股街道,36,优,NaN,9,36,0.5,7,79,72,8
20200327,16,天安街道,35,优,NaN,5,35,0.5,5,76,73,3
20200327,17,南山,53,良,颗粒物(PM10),6,56,0.4,10,82,86,13
20200327,17,开发区,87,良,颗粒物(PM10),12,124,0.5,28,65,75,12
20200327,17,北湖公园,42,优,NaN,5,42,0.4,7,70,73,17
20200327,17,百股街道,44,优,NaN,7,44,0.5,8,74,75,8
20200327,17,天安街道,50,优,NaN,5,50,0.4,6,73,74,3
20200330,09,南山,50,优,NaN,35,43,0.7,30,51,52,39
20200330,09,开发区,58,良,颗粒物(PM10),28,66,0.7,39,35,41,22
20200330,09,北湖公园,53,良,颗粒物(PM10),35,55,0.8,35,41,46,38
20200330,09,百股街道,51,良,颗粒物(PM10),22,51,0.8,37,46,53,30
20200330,09,天安街道,54,良,颗粒物(PM10),37,57,0.8,34,46,47,41
20200330,09,南山,50,优,NaN,35,43,0.7,30,51,52,39
20200330,09,开发区,58,良,颗粒物(PM10),28,66,0.7,39,35,41,22
20200330,09,北湖公园,53,良,颗粒物(PM10),35,55,0.8,35,41,46,38
20200330,09,百股街道,51,良,颗粒物(PM10),22,51,0.8,37,46,53,30
20200330,09,天安街道,54,良,颗粒物(PM10),37,57,0.8,34,46,47,41
20200330,10,南山,64,良,细颗粒物(PM2.5),46,64,0.8,NaN,66,51,44
20200330,10,开发区,80,良,颗粒物(PM10),34,110,0.7,38,41,39,18
20200330,10,北湖公园,62,良,细颗粒物(PM2.5),44,69,0.9,36,50,45,39
20200330,10,百股街道,53,良,颗粒物(PM10),23,55,0.9,40,57,52,34
20200330,10,天安街道,64,良,细颗粒物(PM2.5),46,58,0.9,36,53,46,46
20200330,10,南山,64,良,细颗粒物(PM2.5),46,64,0.8,NaN,66,51,44
20200330,10,开发区,80,良,颗粒物(PM10),34,110,0.7,38,41,39,18
20200330,10,北湖公园,62,良,细颗粒物(PM2.5),44,69,0.9,36,50,45,39
20200330,10,百股街道,53,良,颗粒物(PM10),23,55,0.9,40,57,52,34
20200330,10,天安街道,64,良,细颗粒物(PM2.5),46,58,0.9,36,53,46,46
20200330,10,南山,64,良,细颗粒物(PM2.5),46,64,0.8,NaN,66,51,44
20200330,10,开发区,80,良,颗粒物(PM10),34,110,0.7,38,41,39,18
20200330,10,北湖公园,62,良,细颗粒物(PM2.5),44,69,0.9,36,50,45,39
20200330,10,百股街道,53,良,颗粒物(PM10),23,55,0.9,40,57,52,34
