Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,仓门街子站,56,良,颗粒物(PM10),10,62,0.4,6,90,90,5
20200326,18,富康家世界子站,57,良,颗粒物(PM10),11,64,0.3,4,92,89,2
20200326,20,仓门街子站,46,优,NaN,21,46,0.6,10,80,90,6
20200326,20,富康家世界子站,52,良,颗粒物(PM10),20,53,0.3,4,83,90,2
20200326,21,仓门街子站,50,优,NaN,25,50,0.6,16,71,87,7
20200326,21,富康家世界子站,53,良,颗粒物(PM10),20,55,0.3,5,81,89,2
20200327,10,仓门街子站,71,良,颗粒物(PM10),19,91,0.5,20,66,72,5
20200327,10,富康家世界子站,82,良,颗粒物(PM10),19,114,0.4,14,70,60,6
20200327,11,仓门街子站,53,良,颗粒物(PM10),20,56,0.4,10,80,72,5
20200327,11,富康家世界子站,76,良,颗粒物(PM10),16,102,0.4,12,78,59,5
20200327,12,仓门街子站,51,良,颗粒物(PM10),19,52,0.4,6,87,72,4
20200327,12,富康家世界子站,61,良,颗粒物(PM10),16,72,0.3,5,87,60,4
20200327,13,仓门街子站,33,优,NaN,15,33,0.4,5,87,73,4
20200327,13,富康家世界子站,41,优,NaN,10,41,0.3,3,86,62,4
20200327,14,仓门街子站,29,优,NaN,10,29,0.4,4,87,74,4
20200327,14,富康家世界子站,41,优,NaN,10,41,0.3,2,87,66,4
20200327,14,仓门街子站,29,优,NaN,10,29,0.4,4,87,74,4
20200327,14,富康家世界子站,41,优,NaN,10,41,0.3,2,87,66,4
20200327,15,仓门街子站,41,优,NaN,NaN,41,0.4,4,89,75,4
20200327,15,富康家世界子站,42,优,NaN,9,42,0.3,2,89,70,4
20200327,16,仓门街子站,28,优,NaN,NaN,19,0.4,7,88,80,4
20200327,16,富康家世界子站,47,优,NaN,NaN,47,0.3,3,88,78,4
20200327,17,仓门街子站,39,优,NaN,10,39,0.4,5,91,84,4
20200327,17,富康家世界子站,54,良,颗粒物(PM10),NaN,58,0.3,3,90,84,4
20200330,09,仓门街子站,48,优,NaN,19,48,0.5,10,92,97,5
20200330,09,富康家世界子站,42,优,NaN,17,42,0.4,15,87,95,9
20200330,09,仓门街子站,48,优,NaN,19,48,0.5,10,92,97,5
20200330,09,富康家世界子站,42,优,NaN,17,42,0.4,15,87,95,9
20200330,10,仓门街子站,47,优,NaN,27,47,0.4,5,98,99,5
20200330,10,富康家世界子站,38,优,NaN,18,38,0.4,18,86,95,15
20200330,10,仓门街子站,47,优,NaN,27,47,0.4,5,98,99,5
20200330,10,富康家世界子站,38,优,NaN,18,38,0.4,18,86,95,15
20200330,10,仓门街子站,47,优,NaN,27,47,0.4,5,98,99,5
20200330,10,富康家世界子站,38,优,NaN,18,38,0.4,18,86,95,15
20200330,11,仓门街子站,38,优,NaN,26,34,0.4,5,101,99,4
20200330,11,富康家世界子站,30,优,NaN,18,29,0.4,10,96,95,6
