Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,长征新村,25,优,NaN,16,17,0.3,5,80,74,6
20200326,18,南林小区,26,优,NaN,2,9,0.5,5,82,74,6
20200326,18,白碱滩区,25,优,NaN,2,18,0.6,6,79,69,4
20200326,18,独山子区,29,优,NaN,20,27,0.5,6,81,74,9
20200326,18,乌尔禾区商贸楼,28,优,NaN,6,23,0.2,5,87,72,8
20200326,20,长征新村,25,优,NaN,1,21,0.3,10,78,77,5
20200326,20,南林小区,25,优,NaN,2,11,0.5,8,80,77,6
20200326,20,白碱滩区,24,优,NaN,1,11,NaN,NaN,75,73,4
20200326,20,独山子区,28,优,NaN,19,25,0.4,11,76,76,8
20200326,20,乌尔禾区商贸楼,28,优,NaN,2,20,0.2,5,87,81,8
20200326,21,长征新村,24,优,NaN,12,24,0.3,19,70,77,6
20200326,21,南林小区,23,优,NaN,7,7,0.5,17,71,77,6
20200326,21,白碱滩区,23,优,NaN,3,21,NaN,NaN,72,74,5
20200326,21,独山子区,26,优,NaN,13,26,0.4,12,73,77,6
20200326,21,乌尔禾区商贸楼,27,优,NaN,5,NaN,0.2,5,85,84,8
20200327,10,长征新村,24,优,NaN,14,24,0.8,48,31,31,7
20200327,10,南林小区,30,优,NaN,4,30,1.9,50,24,24,7
20200327,10,白碱滩区,56,良,颗粒物(PM10),1,61,0.7,47,16,16,6
20200327,10,独山子区,39,优,NaN,18,39,0.9,39,32,32,8
20200327,10,乌尔禾区商贸楼,12,优,NaN,8,NaN,0.5,24,30,30,8
20200327,11,长征新村,19,优,NaN,9,19,0.5,32,53,52,10
20200327,11,南林小区,29,优,NaN,7,29,0.7,35,47,43,8
20200327,11,白碱滩区,51,良,颗粒物(PM10),2,51,0.5,50,21,34,7
20200327,11,独山子区,43,优,NaN,30,32,0.5,9,67,51,7
20200327,11,乌尔禾区商贸楼,31,优,NaN,2,31,0.5,17,43,29,9
20200327,12,长征新村,24,优,NaN,3,9,0.4,11,74,53,7
20200327,12,南林小区,21,优,NaN,10,20,0.6,21,65,43,6
20200327,12,白碱滩区,60,良,颗粒物(PM10),13,69,0.4,28,45,31,11
20200327,12,独山子区,38,优,NaN,17,38,0.5,20,57,50,17
20200327,12,乌尔禾区商贸楼,40,优,NaN,16,40,0.4,12,56,32,9
20200327,13,长征新村,24,优,NaN,6,12,0.4,13,75,54,8
20200327,13,南林小区,17,优,NaN,8,17,0.5,16,NaN,42,8
20200327,13,白碱滩区,55,良,颗粒物(PM10),5,60,0.3,10,71,35,9
20200327,13,独山子区,42,优,NaN,14,42,0.5,9,72,52,11
20200327,13,乌尔禾区商贸楼,29,优,NaN,8,29,0.3,5,71,35,8
20200327,14,长征新村,25,优,NaN,6,20,0.4,9,77,58,8
20200327,14,南林小区,24,优,NaN,6,13,NaN,NaN,76,47,6
20200327,14,白碱滩区,41,优,NaN,3,41,0.3,5,77,42,6
20200327,14,独山子区,30,优,NaN,18,30,0.5,6,76,54,10
20200327,14,乌尔禾区商贸楼,26,优,NaN,3,9,0.3,4,82,44,8
20200327,14,长征新村,25,优,NaN,6,20,0.4,9,77,58,8
20200327,14,南林小区,24,优,NaN,6,13,NaN,NaN,76,47,6
20200327,14,白碱滩区,41,优,NaN,3,41,0.3,5,77,42,6
20200327,14,独山子区,30,优,NaN,18,30,0.5,6,76,54,10
20200327,14,乌尔禾区商贸楼,26,优,NaN,3,9,0.3,4,82,44,8
20200327,15,长征新村,34,优,NaN,10,34,0.3,6,79,61,6
20200327,15,南林小区,NaN,,NaN,NaN,NaN,0.5,7,81,52,NaN
20200327,15,白碱滩区,26,优,NaN,3,25,0.2,2,81,47,5
20200327,15,独山子区,30,优,NaN,7,30,0.5,7,79,58,11
20200327,15,乌尔禾区商贸楼,27,优,NaN,5,18,0.2,4,85,54,8
20200327,17,长征新村,26,优,NaN,15,22,0.4,8,82,69,5
20200327,17,南林小区,27,优,NaN,4,20,0.5,8,86,66,5
20200327,17,白碱滩区,28,优,NaN,6,28,0.3,4,83,60,6
20200327,17,独山子区,32,优,NaN,16,32,0.5,7,84,69,12
20200327,17,乌尔禾区商贸楼,18,优,NaN,11,18,0.3,4,NaN,65,8
20200330,09,长征新村,30,优,NaN,18,30,0.6,16,55,64,5
20200330,09,南林小区,25,优,NaN,3,25,0.6,17,54,65,5
20200330,09,白碱滩区,20,优,NaN,10,20,0.4,11,56,60,5
20200330,09,独山子区,72,良,颗粒物(PM10),29,94,1.2,60,11,54,5
20200330,09,乌尔禾区商贸楼,19,优,NaN,3,19,0.5,22,30,46,8
20200330,10,长征新村,28,优,NaN,7,28,0.6,11,61,63,5
20200330,10,南林小区,24,优,NaN,8,24,0.5,12,64,64,5
20200330,10,白碱滩区,21,优,NaN,5,21,0.5,16,53,59,6
20200330,10,独山子区,79,良,颗粒物(PM10),35,108,1.0,40,46,52,7
20200330,10,乌尔禾区商贸楼,16,优,NaN,6,8,0.6,31,27,41,8
20200330,10,长征新村,28,优,NaN,7,28,0.6,11,61,63,5
20200330,10,南林小区,24,优,NaN,8,24,0.5,12,64,64,5
20200330,10,白碱滩区,21,优,NaN,5,21,0.5,16,53,59,6
20200330,10,独山子区,79,良,颗粒物(PM10),35,108,1.0,40,46,52,7
20200330,10,乌尔禾区商贸楼,16,优,NaN,6,8,0.6,31,27,41,8
20200330,10,长征新村,28,优,NaN,7,28,0.6,11,61,63,5
20200330,10,南林小区,24,优,NaN,8,24,0.5,12,64,64,5
20200330,10,白碱滩区,21,优,NaN,5,21,0.5,16,53,59,6
20200330,10,独山子区,79,良,颗粒物(PM10),35,108,1.0,40,46,52,7
20200330,10,乌尔禾区商贸楼,16,优,NaN,6,8,0.6,31,27,41,8
20200330,11,长征新村,21,优,NaN,9,19,0.5,6,65,64,5
20200330,11,南林小区,22,优,NaN,13,22,0.5,8,66,65,5
20200330,11,白碱滩区,28,优,NaN,8,28,0.4,11,58,59,5
20200330,11,独山子区,84,良,颗粒物(PM10),40,118,0.7,14,69,52,9
20200330,11,乌尔禾区商贸楼,55,良,颗粒物(PM10),6,60,0.6,20,48,39,8
