Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20190311,10,植物油厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20190311,10,技术学院,90,良,细颗粒物(PM2.5),67,91,0.8,16,90,81,11
20190311,10,日升国际,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20190311,10,泰兴公司,85,良,细颗粒物(PM2.5),63,107,0.7,19,89,73,12
20190311,10,莱芜战役纪念馆,90,良,细颗粒物(PM2.5),67,100,0.5,19,90,79,8
20190311,10,植物油厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20190311,10,技术学院,90,良,细颗粒物(PM2.5),67,91,0.8,16,90,81,11
20190311,10,日升国际,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20190311,10,泰兴公司,85,良,细颗粒物(PM2.5),63,107,0.7,19,89,73,12
20190311,10,莱芜战役纪念馆,90,良,细颗粒物(PM2.5),67,100,0.5,19,90,79,8
20190311,10,植物油厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20190311,10,技术学院,90,良,细颗粒物(PM2.5),67,91,0.8,16,90,81,11
20190311,10,日升国际,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20190311,10,泰兴公司,85,良,细颗粒物(PM2.5),63,107,0.7,19,89,73,12
20190311,10,莱芜战役纪念馆,90,良,细颗粒物(PM2.5),67,100,0.5,19,90,79,8
20190311,10,植物油厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20190311,10,技术学院,90,良,细颗粒物(PM2.5),67,91,0.8,16,90,81,11
20190311,10,日升国际,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20190311,10,泰兴公司,85,良,细颗粒物(PM2.5),63,107,0.7,19,89,73,12
20190311,10,莱芜战役纪念馆,90,良,细颗粒物(PM2.5),67,100,0.5,19,90,79,8
20190311,10,植物油厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20190311,10,技术学院,90,良,细颗粒物(PM2.5),67,91,0.8,16,90,81,11
20190311,10,日升国际,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20190311,10,泰兴公司,85,良,细颗粒物(PM2.5),63,107,0.7,19,89,73,12
20190311,10,莱芜战役纪念馆,90,良,细颗粒物(PM2.5),67,100,0.5,19,90,79,8
20190311,10,植物油厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20190311,10,技术学院,90,良,细颗粒物(PM2.5),67,91,0.8,16,90,81,11
20190311,10,日升国际,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20190311,10,泰兴公司,85,良,细颗粒物(PM2.5),63,107,0.7,19,89,73,12
20190311,10,莱芜战役纪念馆,90,良,细颗粒物(PM2.5),67,100,0.5,19,90,79,8
20190311,10,植物油厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20190311,10,技术学院,90,良,细颗粒物(PM2.5),67,91,0.8,16,90,81,11
20190311,10,日升国际,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20190311,10,泰兴公司,85,良,细颗粒物(PM2.5),63,107,0.7,19,89,73,12
20190311,10,莱芜战役纪念馆,90,良,细颗粒物(PM2.5),67,100,0.5,19,90,79,8
20190311,10,植物油厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20190311,10,技术学院,90,良,细颗粒物(PM2.5),67,91,0.8,16,90,81,11
20190311,10,日升国际,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20190311,10,泰兴公司,85,良,细颗粒物(PM2.5),63,107,0.7,19,89,73,12
20190311,10,莱芜战役纪念馆,90,良,细颗粒物(PM2.5),67,100,0.5,19,90,79,8
20190311,10,植物油厂,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
