Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,中信二小,17,优,NaN,5,5,0.6,NaN,54,38,2
20200326,18,市委党校,32,优,NaN,7,32,0.6,24,56,38,3
20200326,18,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,豫西宾馆,17,优,NaN,6,16,0.6,15,54,41,3
20200326,18,河南林校,22,优,NaN,11,22,0.7,23,49,41,3
20200326,18,开发区管委会,NaN,,NaN,NaN,NaN,0.4,16,55,37,4
20200326,18,市委新办公区,NaN,,NaN,NaN,NaN,0.6,26,42,35,4
20200326,18,凯旋路小学,23,优,NaN,4,23,0.5,15,49,34,4
20200326,20,中信二小,18,优,NaN,4,13,0.5,20,57,46,2
20200326,20,市委党校,28,优,NaN,10,28,0.5,24,56,44,2
20200326,20,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,豫西宾馆,18,优,NaN,5,15,0.4,16,55,48,3
20200326,20,河南林校,24,优,NaN,12,24,0.6,20,53,46,3
20200326,20,开发区管委会,20,优,NaN,14,20,0.2,12,60,43,4
20200326,20,市委新办公区,18,优,NaN,11,NaN,0.5,22,56,39,4
20200326,20,凯旋路小学,23,优,NaN,7,23,0.3,13,52,40,3
20200326,21,中信二小,18,优,NaN,3,8,0.4,19,55,50,2
20200326,21,市委党校,27,优,NaN,9,27,0.4,26,52,48,2
20200326,21,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,21,豫西宾馆,18,优,NaN,6,10,0.3,13,55,49,3
20200326,21,河南林校,22,优,NaN,10,22,0.5,16,55,49,3
20200326,21,开发区管委会,22,优,NaN,9,22,0.2,14,55,47,4
20200326,21,市委新办公区,16,优,NaN,8,14,0.5,23,51,44,4
20200326,21,凯旋路小学,23,优,NaN,7,23,0.3,13,50,44,3
20200327,10,中信二小,25,优,NaN,8,25,0.4,17,47,52,6
20200327,10,市委党校,32,优,NaN,12,32,0.4,23,46,51,5
20200327,10,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,豫西宾馆,20,优,NaN,10,20,0.4,15,43,44,6
20200327,10,河南林校,21,优,NaN,7,21,0.6,17,45,43,5
20200327,10,开发区管委会,27,优,NaN,14,27,0.2,14,42,45,5
20200327,10,市委新办公区,23,优,NaN,16,18,0.5,25,46,49,5
20200327,10,凯旋路小学,22,优,NaN,10,22,0.2,14,43,45,5
20200327,11,中信二小,23,优,NaN,9,23,0.4,19,47,51,6
20200327,11,市委党校,37,优,NaN,13,37,0.4,22,50,50,6
20200327,11,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,豫西宾馆,24,优,NaN,9,24,0.4,16,46,46,6
20200327,11,河南林校,22,优,NaN,7,22,NaN,18,49,45,NaN
20200327,11,开发区管委会,28,优,NaN,16,28,0.2,15,43,45,5
20200327,11,市委新办公区,23,优,NaN,16,18,0.4,24,49,50,7
20200327,11,凯旋路小学,24,优,NaN,11,24,0.2,15,43,45,5
20200327,12,中信二小,39,优,NaN,11,39,0.4,18,51,51,5
20200327,12,市委党校,38,优,NaN,13,38,0.4,22,56,52,6
20200327,12,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,豫西宾馆,32,优,NaN,8,32,0.3,14,56,49,7
20200327,12,河南林校,28,优,NaN,7,28,0.6,NaN,58,48,6
20200327,12,开发区管委会,32,优,NaN,17,32,0.3,15,51,46,6
20200327,12,市委新办公区,23,优,NaN,14,23,0.4,24,60,51,8
20200327,12,凯旋路小学,31,优,NaN,14,31,0.2,12,56,48,6
20200327,13,中信二小,49,优,NaN,11,49,0.5,19,NaN,51,6
20200327,13,市委党校,42,优,NaN,12,42,0.3,22,67,53,7
20200327,13,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,豫西宾馆,34,优,NaN,9,34,0.3,13,60,50,7
20200327,13,河南林校,34,优,NaN,6,34,0.6,15,62,51,7
20200327,13,开发区管委会,34,优,NaN,15,34,0.3,15,59,46,6
20200327,13,市委新办公区,30,优,NaN,16,30,0.4,23,68,53,8
20200327,13,凯旋路小学,32,优,NaN,12,32,0.2,12,62,49,7
20200327,14,中信二小,44,优,NaN,9,44,0.4,15,NaN,48,6
20200327,14,市委党校,45,优,NaN,13,45,0.4,22,66,54,7
20200327,14,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,豫西宾馆,40,优,NaN,9,40,0.4,13,63,51,7
20200327,14,河南林校,32,优,NaN,6,32,0.6,16,64,52,6
20200327,14,开发区管委会,38,优,NaN,16,38,0.3,15,64,48,7
20200327,14,市委新办公区,29,优,NaN,14,29,0.4,24,70,55,8
20200327,14,凯旋路小学,34,优,NaN,10,34,0.2,12,62,50,7
20200327,15,中信二小,38,优,NaN,13,38,0.5,20,66,50,7
20200327,15,市委党校,51,良,颗粒物(PM10),14,52,0.4,24,65,55,7
20200327,15,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,豫西宾馆,37,优,NaN,11,37,0.3,14,65,53,6
20200327,15,河南林校,32,优,NaN,8,32,0.6,17,65,54,6
20200327,15,开发区管委会,37,优,NaN,15,37,0.3,16,65,50,6
20200327,15,市委新办公区,34,优,NaN,15,34,0.5,25,70,57,7
20200327,15,凯旋路小学,36,优,NaN,11,36,0.2,14,62,51,6
20200327,17,中信二小,49,优,NaN,18,49,0.4,21,64,56,4
20200327,17,市委党校,51,良,颗粒物(PM10),18,51,0.4,26,64,60,6
20200327,17,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,17,豫西宾馆,42,优,NaN,16,42,0.4,17,64,58,6
20200327,17,河南林校,NaN,,NaN,NaN,NaN,0.6,21,62,58,5
20200327,17,开发区管委会,42,优,NaN,21,42,0.3,19,60,56,5
20200327,17,市委新办公区,37,优,NaN,18,37,0.5,27,69,63,6
20200327,17,凯旋路小学,41,优,NaN,15,41,0.2,18,60,56,5
20200330,10,中信二小,88,良,细颗粒物(PM2.5),65,NaN,0.6,22,41,29,4
20200330,10,市委党校,75,良,细颗粒物(PM2.5),55,81,0.5,34,38,27,10
20200330,10,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,10,豫西宾馆,79,良,细颗粒物(PM2.5),58,62,0.7,25,38,28,15
20200330,10,河南林校,83,良,细颗粒物(PM2.5),61,64,0.9,27,39,30,16
20200330,10,开发区管委会,73,良,细颗粒物(PM2.5),53,68,0.4,24,34,21,8
20200330,10,市委新办公区,87,良,细颗粒物(PM2.5),64,78,0.7,42,38,25,15
20200330,10,凯旋路小学,72,良,细颗粒物(PM2.5),52,65,0.5,23,36,25,15
20200330,10,中信二小,88,良,细颗粒物(PM2.5),65,NaN,0.6,22,41,29,4
20200330,10,市委党校,75,良,细颗粒物(PM2.5),55,81,0.5,34,38,27,10
20200330,10,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,10,豫西宾馆,79,良,细颗粒物(PM2.5),58,62,0.7,25,38,28,15
20200330,10,河南林校,83,良,细颗粒物(PM2.5),61,64,0.9,27,39,30,16
20200330,10,开发区管委会,73,良,细颗粒物(PM2.5),53,68,0.4,24,34,21,8
20200330,10,市委新办公区,87,良,细颗粒物(PM2.5),64,78,0.7,42,38,25,15
20200330,10,凯旋路小学,72,良,细颗粒物(PM2.5),52,65,0.5,23,36,25,15
20200330,11,中信二小,83,良,细颗粒物(PM2.5),61,NaN,0.5,24,50,33,5
20200330,11,市委党校,85,良,细颗粒物(PM2.5),63,82,0.5,31,49,29,10
