Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,市监测站,57,良,颗粒物(PM10),38,63,0.7,18,144,132,11
20200326,18,东兴区政府,80,良,细颗粒物(PM2.5),59,81,0.9,9,156,142,17
20200326,18,内江二中,63,良,细颗粒物(PM2.5),45,67,0.8,11,149,137,16
20200326,18,内江日报社,66,良,颗粒物(PM10),43,81,0.8,12,142,136,10
20200326,20,市监测站,69,良,颗粒物(PM10),41,87,0.8,26,115,136,12
20200326,20,东兴区政府,83,良,细颗粒物(PM2.5),61,90,0.9,12,135,148,15
20200326,20,内江二中,95,良,细颗粒物(PM2.5),71,81,0.8,13,132,142,13
20200326,20,内江日报社,69,良,颗粒物(PM10),48,88,0.8,24,119,138,9
20200326,21,市监测站,190,中度污染,颗粒物(PM10),121,329,0.7,15,90,130,8
20200326,21,东兴区政府,156,中度污染,细颗粒物(PM2.5),119,NaN,0.7,6,96,142,12
20200326,21,内江二中,85,良,细颗粒物(PM2.5),63,91,0.6,9,92,137,10
20200326,21,内江日报社,243,重度污染,颗粒物(PM10),111,380,0.5,13,90,132,6
20200327,10,市监测站,32,优,NaN,22,NaN,0.5,12,60,66,5
20200327,10,东兴区政府,20,优,NaN,8,12,0.5,7,62,70,8
20200327,10,内江二中,35,优,NaN,13,35,0.5,6,60,66,6
20200327,10,内江日报社,38,优,NaN,26,NaN,0.4,7,63,65,3
20200327,11,市监测站,22,优,NaN,13,21,0.5,10,68,65,7
20200327,11,东兴区政府,23,优,NaN,12,15,0.5,4,72,69,9
20200327,11,内江二中,26,优,NaN,13,26,0.4,5,69,65,6
20200327,11,内江日报社,26,优,NaN,18,NaN,0.4,5,70,64,3
20200327,12,市监测站,23,优,NaN,10,19,0.5,10,71,65,7
20200327,12,东兴区政府,30,优,NaN,21,NaN,0.5,5,75,69,9
20200327,12,内江二中,26,优,NaN,11,26,0.4,4,72,65,6
20200327,12,内江日报社,23,优,NaN,14,14,0.4,3,73,64,3
20200327,13,市监测站,29,优,NaN,7,29,0.5,10,76,65,7
20200327,13,东兴区政府,26,优,NaN,16,19,0.5,4,81,69,9
20200327,13,内江二中,24,优,NaN,7,20,0.4,3,76,66,6
20200327,13,内江日报社,24,优,NaN,9,10,0.4,5,75,65,3
20200327,14,市监测站,23,优,NaN,8,18,0.5,13,72,66,5
20200327,14,东兴区政府,26,优,NaN,11,11,0.5,4,81,70,9
20200327,14,内江二中,24,优,NaN,12,23,0.4,4,76,66,6
20200327,14,内江日报社,23,优,NaN,16,NaN,0.4,10,72,66,2
20200327,15,市监测站,23,优,NaN,8,21,0.5,14,71,67,7
20200327,15,东兴区政府,25,优,NaN,9,17,0.5,4,78,72,8
20200327,15,内江二中,25,优,NaN,14,25,0.4,4,74,68,6
20200327,15,内江日报社,22,优,NaN,15,22,0.4,11,70,68,2
20200327,17,市监测站,24,优,NaN,11,18,0.5,10,76,71,5
20200327,17,东兴区政府,NaN,,NaN,NaN,NaN,0.5,NaN,70,75,7
20200327,17,内江二中,24,优,NaN,7,23,0.4,4,75,72,5
20200327,17,内江日报社,29,优,NaN,12,29,0.4,8,74,71,2
20200330,10,市监测站,15,优,NaN,10,NaN,0.7,15,14,10,5
20200330,10,东兴区政府,20,优,NaN,14,17,0.8,13,12,14,8
20200330,10,内江二中,33,优,NaN,14,33,0.6,11,13,15,6
20200330,10,内江日报社,31,优,NaN,19,31,0.7,20,21,13,4
20200330,11,市监测站,18,优,NaN,12,17,0.7,13,28,11,5
20200330,11,东兴区政府,22,优,NaN,9,22,0.7,10,29,15,8
20200330,11,内江二中,33,优,NaN,15,33,0.6,10,27,15,5
20200330,11,内江日报社,35,优,NaN,21,35,0.7,16,25,13,4
