Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,市环保局,83,良,细颗粒物(PM2.5),61,61,0.7,13,NaN,152,2
20200326,18,普洱第二中学,60,良,细颗粒物(PM2.5),43,61,0.4,11,159,157,3
20200326,20,市环保局,59,良,细颗粒物(PM2.5),42,61,NaN,17,144,156,2
20200326,20,普洱第二中学,65,良,细颗粒物(PM2.5),47,76,0.5,16,152,160,3
20200326,21,市环保局,70,良,细颗粒物(PM2.5),51,81,NaN,23,136,153,2
20200326,21,普洱第二中学,94,良,细颗粒物(PM2.5),70,89,0.7,40,108,154,3
20200327,10,市环保局,130,轻度污染,细颗粒物(PM2.5),99,120,1.1,42,81,84,4
20200327,10,普洱第二中学,99,良,细颗粒物(PM2.5),74,139,1.1,63,59,47,6
20200327,11,市环保局,113,轻度污染,细颗粒物(PM2.5),85,116,1.0,32,134,90,4
20200327,11,普洱第二中学,132,轻度污染,细颗粒物(PM2.5),100,164,0.8,26,143,58,5
20200327,12,市环保局,117,轻度污染,细颗粒物(PM2.5),88,100,0.9,16,157,97,4
20200327,12,普洱第二中学,79,良,细颗粒物(PM2.5),58,98,0.6,10,159,71,4
20200327,13,市环保局,87,良,细颗粒物(PM2.5),64,71,0.7,12,144,104,2
20200327,13,普洱第二中学,85,良,细颗粒物(PM2.5),63,72,0.5,8,151,84,4
20200327,14,市环保局,78,良,细颗粒物(PM2.5),57,58,0.7,11,144,110,2
20200327,14,普洱第二中学,68,良,细颗粒物(PM2.5),49,53,0.5,9,152,96,4
20200327,15,市环保局,70,良,细颗粒物(PM2.5),51,60,0.7,14,149,118,2
20200327,15,普洱第二中学,65,良,细颗粒物(PM2.5),47,60,0.5,9,151,110,4
20200327,17,市环保局,70,良,细颗粒物(PM2.5),51,62,0.7,15,145,138,2
20200327,17,普洱第二中学,52,良,颗粒物(PM10),24,53,0.5,NaN,155,140,3
20200330,10,市环保局,132,轻度污染,细颗粒物(PM2.5),100,124,1.4,46,88,77,5
20200330,10,普洱第二中学,139,轻度污染,细颗粒物(PM2.5),106,222,1.1,48,91,53,7
20200330,11,市环保局,129,轻度污染,细颗粒物(PM2.5),98,109,1.1,28,140,83,4
20200330,11,普洱第二中学,137,轻度污染,细颗粒物(PM2.5),104,168,0.9,30,146,66,6
