Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,场坝街,42,优,NaN,29,41,NaN,12,NaN,144,12
20200326,18,坪东大道,68,良,臭氧1小时,20,32,0.7,8,174,150,10
20200326,20,场坝街,63,良,细颗粒物(PM2.5),45,52,0.7,21,141,158,4
20200326,20,坪东大道,62,良,细颗粒物(PM2.5),44,45,0.8,13,150,160,8
20200326,21,场坝街,38,优,NaN,3,4,0.6,13,121,154,4
20200326,21,坪东大道,67,良,细颗粒物(PM2.5),48,60,0.9,11,115,156,7
20200327,10,场坝街,78,良,细颗粒物(PM2.5),57,75,0.9,29,69,51,5
20200327,10,坪东大道,77,良,细颗粒物(PM2.5),56,65,1.1,20,81,36,7
20200327,11,场坝街,77,良,细颗粒物(PM2.5),56,75,0.7,24,94,56,5
20200327,11,坪东大道,70,良,细颗粒物(PM2.5),51,66,1.1,28,83,41,9
20200327,12,场坝街,74,良,细颗粒物(PM2.5),54,85,0.6,16,118,63,4
20200327,12,坪东大道,70,良,细颗粒物(PM2.5),51,71,0.8,14,135,54,9
20200327,13,场坝街,72,良,细颗粒物(PM2.5),52,77,0.6,14,139,74,5
20200327,13,坪东大道,59,良,细颗粒物(PM2.5),42,56,0.8,9,147,68,9
20200327,14,场坝街,59,良,细颗粒物(PM2.5),42,62,0.5,12,156,87,5
20200327,14,坪东大道,47,优,NaN,31,42,0.8,7,149,83,8
20200327,15,场坝街,54,良,细颗粒物(PM2.5),38,46,0.5,11,158,102,5
20200327,15,坪东大道,48,优,NaN,33,45,0.8,7,148,98,8
20200327,17,场坝街,49,优,NaN,34,45,0.5,10,156,131,4
20200327,17,坪东大道,NaN,,NaN,NaN,NaN,0.7,NaN,150,130,45
20200330,10,场坝街,25,优,NaN,13,25,0.5,13,45,43,3
20200330,10,坪东大道,25,优,NaN,12,25,0.8,10,42,37,9
20200330,11,场坝街,29,优,NaN,10,29,0.5,13,40,42,3
20200330,11,坪东大道,19,优,NaN,13,17,0.8,8,40,37,8
