Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,仰口,35,优,NaN,24,34,0.4,21,68,77,3
20200326,18,李沧区子站,66,良,颗粒物(PM10),17,82,0.3,27,52,56,2
20200326,18,市北区子站,66,良,颗粒物(PM10),34,81,0.5,44,40,38,7
20200326,18,市南区东部子站,73,良,颗粒物(PM10),27,95,0.5,31,47,42,5
20200326,18,四方区子站,71,良,颗粒物(PM10),12,92,0.3,21,54,52,4
20200326,18,市南区西部子站,56,良,颗粒物(PM10),15,62,0.5,22,70,64,3
20200326,18,崂山区子站,77,良,颗粒物(PM10),27,104,0.5,30,53,60,8
20200326,18,黄岛区子站,59,良,颗粒物(PM10),20,68,0.5,42,36,42,5
20200326,18,城阳区子站,54,良,颗粒物(PM10),12,58,0.5,22,48,59,3
20200326,20,仰口,37,优,NaN,19,37,0.4,16,51,71,3
20200326,20,李沧区子站,50,优,NaN,14,50,0.3,19,51,56,2
20200326,20,市北区子站,52,良,颗粒物(PM10),19,53,0.5,30,41,39,6
20200326,20,市南区东部子站,65,良,颗粒物(PM10),14,80,0.5,18,44,44,5
20200326,20,四方区子站,45,优,NaN,12,45,0.3,17,46,54,3
20200326,20,市南区西部子站,50,优,NaN,10,50,0.5,17,60,65,3
20200326,20,崂山区子站,82,良,颗粒物(PM10),17,113,0.5,21,44,50,5
20200326,20,黄岛区子站,55,良,颗粒物(PM10),20,59,0.5,36,35,45,5
20200326,20,城阳区子站,60,良,颗粒物(PM10),15,70,0.4,16,54,56,3
20200326,21,仰口,27,优,NaN,17,27,0.3,10,69,70,3
20200326,21,李沧区子站,34,优,NaN,12,34,0.3,16,65,55,2
20200326,21,市北区子站,31,优,NaN,14,31,0.4,29,54,42,5
20200326,21,市南区东部子站,55,良,颗粒物(PM10),11,59,0.4,14,58,48,5
20200326,21,四方区子站,37,优,NaN,9,37,0.2,14,58,55,4
20200326,21,市南区西部子站,50,优,NaN,12,50,0.4,12,76,67,3
20200326,21,崂山区子站,61,良,颗粒物(PM10),9,72,0.4,16,60,51,5
20200326,21,黄岛区子站,46,优,NaN,17,46,0.4,35,44,46,5
20200326,21,城阳区子站,44,优,NaN,10,44,0.4,14,61,57,3
20200327,10,仰口,140,轻度污染,颗粒物(PM10),22,229,0.2,4,80,75,4
20200327,10,李沧区子站,157,中度污染,颗粒物(PM10),17,263,0.4,9,72,66,4
20200327,10,市北区子站,104,轻度污染,颗粒物(PM10),17,157,0.4,25,56,56,7
20200327,10,市南区东部子站,109,轻度污染,颗粒物(PM10),9,167,0.2,15,61,62,5
20200327,10,四方区子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,市南区西部子站,116,轻度污染,颗粒物(PM10),5,182,0.4,9,76,75,4
20200327,10,崂山区子站,109,轻度污染,颗粒物(PM10),12,168,0.3,11,72,69,6
20200327,10,黄岛区子站,87,良,颗粒物(PM10),15,123,0.4,15,64,63,9
20200327,10,城阳区子站,145,轻度污染,颗粒物(PM10),15,240,0.4,6,70,62,4
20200327,11,仰口,148,轻度污染,颗粒物(PM10),24,246,0.2,4,82,76,NaN
20200327,11,李沧区子站,128,轻度污染,颗粒物(PM10),17,206,0.5,8,74,67,3
20200327,11,市北区子站,110,轻度污染,颗粒物(PM10),14,169,0.5,23,59,56,7
20200327,11,市南区东部子站,154,中度污染,颗粒物(PM10),15,257,0.1,14,64,61,5
20200327,11,四方区子站,117,轻度污染,颗粒物(PM10),17,184,0.2,7,71,62,5
20200327,11,市南区西部子站,101,轻度污染,颗粒物(PM10),7,151,0.3,6,81,75,4
20200327,11,崂山区子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,黄岛区子站,NaN,,NaN,NaN,NaN,0.4,13,72,64,6
20200327,11,城阳区子站,148,轻度污染,颗粒物(PM10),15,246,0.4,5,71,64,3
20200327,12,仰口,109,轻度污染,颗粒物(PM10),19,167,NaN,NaN,NaN,76,4
20200327,12,李沧区子站,96,良,颗粒物(PM10),17,142,0.5,7,76,68,3
20200327,12,市北区子站,98,良,颗粒物(PM10),16,145,0.5,22,60,55,8
20200327,12,市南区东部子站,133,轻度污染,颗粒物(PM10),13,216,0.1,8,69,61,4
20200327,12,四方区子站,96,良,颗粒物(PM10),12,141,0.2,7,72,63,5
20200327,12,市南区西部子站,106,轻度污染,颗粒物(PM10),5,162,0.4,5,84,76,5
20200327,12,崂山区子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,黄岛区子站,80,良,颗粒物(PM10),10,109,0.4,13,75,65,5
20200327,12,城阳区子站,111,轻度污染,颗粒物(PM10),12,172,0.4,5,71,65,4
20200327,13,仰口,NaN,,NaN,NaN,NaN,NaN,NaN,84,77,3
20200327,13,李沧区子站,68,良,颗粒物(PM10),9,86,0.5,7,78,69,4
20200327,13,市北区子站,76,良,颗粒物(PM10),12,101,0.5,19,63,56,9
20200327,13,市南区东部子站,104,轻度污染,颗粒物(PM10),11,158,0.1,10,68,62,3
20200327,13,四方区子站,65,良,颗粒物(PM10),9,80,0.2,7,74,65,5
20200327,13,市南区西部子站,91,良,颗粒物(PM10),5,132,0.4,5,85,78,5
20200327,13,崂山区子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,黄岛区子站,73,良,颗粒物(PM10),10,96,0.3,13,76,67,7
20200327,13,城阳区子站,77,良,颗粒物(PM10),10,104,0.4,5,74,66,4
20200327,14,仰口,69,良,颗粒物(PM10),NaN,87,0.2,4,86,79,4
20200327,14,李沧区子站,62,良,颗粒物(PM10),7,74,0.5,6,80,71,3
20200327,14,市北区子站,53,良,颗粒物(PM10),8,56,0.5,20,64,57,8
20200327,14,市南区东部子站,77,良,颗粒物(PM10),9,104,0.1,5,75,63,5
20200327,14,四方区子站,55,良,颗粒物(PM10),5,59,0.2,6,77,67,4
20200327,14,市南区西部子站,65,良,颗粒物(PM10),5,80,0.3,5,88,79,4
20200327,14,崂山区子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,黄岛区子站,60,良,颗粒物(PM10),7,69,0.3,13,80,69,6
20200327,14,城阳区子站,65,良,颗粒物(PM10),12,80,0.4,4,75,68,3
20200327,15,仰口,61,良,颗粒物(PM10),NaN,71,0.2,5,86,81,4
20200327,15,李沧区子站,68,良,颗粒物(PM10),7,85,0.5,6,81,74,2
20200327,15,市北区子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,市南区东部子站,63,良,颗粒物(PM10),6,76,0.1,7,73,65,5
20200327,15,四方区子站,55,良,颗粒物(PM10),5,60,0.2,5,78,70,3
20200327,15,市南区西部子站,57,良,颗粒物(PM10),7,63,0.3,5,87,81,4
20200327,15,崂山区子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,黄岛区子站,57,良,颗粒物(PM10),5,64,0.3,12,79,71,5
20200327,15,城阳区子站,60,良,颗粒物(PM10),10,69,0.3,4,77,70,3
20200327,17,仰口,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,17,李沧区子站,53,良,颗粒物(PM10),9,55,0.5,11,77,77,3
20200327,17,市北区子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,17,市南区东部子站,67,良,颗粒物(PM10),4,83,0.1,14,69,69,5
20200327,17,四方区子站,60,良,颗粒物(PM10),2,70,0.2,8,76,75,4
20200327,17,市南区西部子站,60,良,颗粒物(PM10),7,70,0.3,11,82,83,4
20200327,17,崂山区子站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,17,黄岛区子站,59,良,颗粒物(PM10),7,67,0.4,15,77,75,5
20200327,17,城阳区子站,53,良,颗粒物(PM10),7,56,0.4,5,75,74,3
20200330,10,仰口,54,良,颗粒物(PM10),31,58,0.4,15,78,64,4
20200330,10,李沧区子站,73,良,细颗粒物(PM2.5),53,84,0.5,38,64,53,14
20200330,10,市北区子站,38,优,NaN,9,38,0.5,37,54,36,8
20200330,10,市南区东部子站,30,优,NaN,6,30,0.4,8,81,74,5
20200330,10,四方区子站,55,良,颗粒物(PM10),24,59,0.4,22,72,61,9
20200330,10,市南区西部子站,31,优,NaN,7,31,0.5,15,88,79,5
20200330,10,崂山区子站,28,优,NaN,5,25,0.4,10,88,64,7
20200330,10,黄岛区子站,45,优,NaN,12,45,0.7,24,75,69,10
20200330,10,城阳区子站,68,良,颗粒物(PM10),24,86,0.8,40,56,45,15
20200330,11,仰口,52,良,颗粒物(PM10),27,53,0.4,12,89,67,4
20200330,11,李沧区子站,77,良,细颗粒物(PM2.5),56,93,0.5,32,84,57,16
20200330,11,市北区子站,46,优,NaN,17,46,0.5,33,58,37,8
20200330,11,市南区东部子站,34,优,NaN,10,34,0.5,10,82,74,6
20200330,11,四方区子站,56,良,颗粒物(PM10),24,62,0.4,24,75,61,9
20200330,11,市南区西部子站,39,优,NaN,7,39,0.5,14,91,79,5
20200330,11,崂山区子站,28,优,NaN,7,28,0.4,13,87,67,7
20200330,11,黄岛区子站,52,良,颗粒物(PM10),22,54,0.7,22,81,69,12
20200330,11,城阳区子站,74,良,颗粒物(PM10),32,98,0.8,39,69,48,16
