Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,区环保局,25,优,NaN,10,16,0.8,6,77,85,7
20200326,18,粮贸总公司,23,优,NaN,14,22,0.6,13,73,75,9
20200326,18,市环保局,21,优,NaN,12,21,NaN,12,64,69,9
20200326,20,区环保局,32,优,NaN,22,NaN,0.9,7,75,83,8
20200326,20,粮贸总公司,30,优,NaN,21,NaN,0.7,19,66,74,10
20200326,20,市环保局,38,优,NaN,26,NaN,0.6,16,NaN,69,9
20200326,21,区环保局,32,优,NaN,22,32,0.9,7,71,80,8
20200326,21,粮贸总公司,30,优,NaN,20,30,0.7,11,70,73,8
20200326,21,市环保局,39,优,NaN,27,NaN,0.6,11,61,67,9
20200327,10,区环保局,31,优,NaN,21,31,0.9,8,59,52,8
20200327,10,粮贸总公司,54,良,颗粒物(PM10),34,58,1.0,22,57,48,14
20200327,10,市环保局,55,良,颗粒物(PM10),30,59,0.8,23,46,49,9
20200327,11,区环保局,49,优,NaN,23,49,0.9,6,58,53,8
20200327,11,粮贸总公司,52,良,颗粒物(PM10),31,53,0.8,21,56,46,35
20200327,11,市环保局,46,优,NaN,20,46,0.7,15,59,51,9
20200327,12,区环保局,45,优,NaN,17,45,0.9,5,73,57,8
20200327,12,粮贸总公司,45,优,NaN,23,45,0.7,13,76,47,13
20200327,12,市环保局,39,优,NaN,19,39,0.6,10,68,52,9
20200327,13,区环保局,35,优,NaN,14,35,0.8,5,81,61,8
20200327,13,粮贸总公司,39,优,NaN,18,39,0.7,12,82,53,12
20200327,13,市环保局,31,优,NaN,16,31,0.6,8,74,54,9
20200327,14,区环保局,28,优,NaN,10,28,0.8,4,88,64,8
20200327,14,粮贸总公司,36,优,NaN,11,36,0.6,10,90,61,11
20200327,14,市环保局,31,优,NaN,10,31,0.5,5,81,58,9
20200327,15,区环保局,30,优,NaN,7,29,0.8,3,94,68,NaN
20200327,15,粮贸总公司,30,优,NaN,9,28,0.5,9,95,68,9
20200327,15,市环保局,26,优,NaN,10,25,0.5,6,83,62,9
20200327,17,区环保局,33,优,NaN,10,33,0.8,NaN,88,79,8
20200327,17,粮贸总公司,30,优,NaN,11,26,0.7,12,93,81,10
20200327,17,市环保局,25,优,NaN,10,25,0.5,12,77,71,8
20200330,10,区环保局,60,良,细颗粒物(PM2.5),43,60,0.8,13,45,44,7
20200330,10,粮贸总公司,53,良,颗粒物(PM10),35,56,0.8,16,53,44,9
20200330,10,市环保局,52,良,颗粒物(PM10),32,54,0.7,21,42,41,9
20200330,11,区环保局,53,良,细颗粒物(PM2.5),37,48,0.8,8,59,46,7
20200330,11,粮贸总公司,52,良,细颗粒物(PM2.5),36,44,0.9,20,59,46,14
20200330,11,市环保局,45,优,NaN,31,42,0.7,17,52,42,10
