Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,环保局,41,优,NaN,14,41,0.8,26,65,75,2
20200326,18,新建　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,葫头沟,74,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",54,97,1.0,30,93,64,4
20200326,18,葫头沟(对照点),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,新建矿广场(启用200107),105,轻度污染,细颗粒物(PM2.5),79,139,0.9,18,86,85,33
20200326,18,新建矿广场,33,优,NaN,23,26,0.4,11,77,83,13
20200326,20,环保局,30,优,NaN,15,30,0.7,22,64,68,6
20200326,20,新建　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,葫头沟,74,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",54,97,1.0,30,93,64,4
20200326,20,葫头沟(对照点),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,新建矿广场(启用200107),105,轻度污染,细颗粒物(PM2.5),79,139,0.9,18,86,85,33
20200326,20,新建矿广场,16,优,NaN,NaN,NaN,0.3,9,50,74,8
20200326,21,环保局,29,优,NaN,20,23,0.7,20,64,66,4
20200326,21,新建　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,21,葫头沟,74,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",54,97,1.0,30,93,64,4
20200326,21,葫头沟(对照点),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,21,新建矿广场(启用200107),105,轻度污染,细颗粒物(PM2.5),79,139,0.9,18,86,85,33
20200326,21,新建矿广场,53,良,细颗粒物(PM2.5),37,NaN,0.5,12,54,71,16
20200327,10,环保局,65,良,颗粒物(PM10),12,79,0.6,21,72,68,3
20200327,10,新建　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,葫头沟,74,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",54,97,1.0,30,93,64,4
20200327,10,葫头沟(对照点),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,新建矿广场(启用200107),105,轻度污染,细颗粒物(PM2.5),79,139,0.9,18,86,85,33
20200327,10,新建矿广场,46,优,NaN,13,46,0.5,5,74,72,15
20200327,11,环保局,59,良,颗粒物(PM10),14,67,0.6,17,75,69,4
20200327,11,新建　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,葫头沟,74,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",54,97,1.0,30,93,64,4
20200327,11,葫头沟(对照点),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,新建矿广场(启用200107),105,轻度污染,细颗粒物(PM2.5),79,139,0.9,18,86,85,33
20200327,11,新建矿广场,44,优,NaN,8,44,0.3,5,79,72,16
20200327,12,环保局,53,良,颗粒物(PM10),15,56,0.6,15,79,70,4
20200327,12,新建　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,葫头沟,74,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",54,97,1.0,30,93,64,4
20200327,12,葫头沟(对照点),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,新建矿广场(启用200107),105,轻度污染,细颗粒物(PM2.5),79,139,0.9,18,86,85,33
20200327,12,新建矿广场,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,环保局,53,良,颗粒物(PM10),12,56,0.6,14,80,72,4
20200327,13,新建　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,葫头沟,74,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",54,97,1.0,30,93,64,4
20200327,13,葫头沟(对照点),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,新建矿广场(启用200107),105,轻度污染,细颗粒物(PM2.5),79,139,0.9,18,86,85,33
20200327,13,新建矿广场,NaN,优,NaN,NaN,NaN,NaN,NaN,NaN,72,NaN
20200327,14,环保局,53,良,颗粒物(PM10),11,56,0.6,13,81,74,4
20200327,14,新建　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,葫头沟,74,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",54,97,1.0,30,93,64,4
20200327,14,葫头沟(对照点),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,新建矿广场(启用200107),105,轻度污染,细颗粒物(PM2.5),79,139,0.9,18,86,85,33
20200327,14,新建矿广场,43,优,NaN,26,43,1.6,5,76,74,16
20200327,15,环保局,55,良,颗粒物(PM10),2,59,0.7,19,82,76,5
20200327,15,新建　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,葫头沟,74,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",54,97,1.0,30,93,64,4
20200327,15,葫头沟(对照点),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,新建矿广场(启用200107),105,轻度污染,细颗粒物(PM2.5),79,139,0.9,18,86,85,33
20200327,15,新建矿广场,56,良,颗粒物(PM10),17,61,0.4,6,81,76,27
20200327,17,环保局,64,良,颗粒物(PM10),29,78,0.7,17,86,80,5
20200327,17,新建　,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
