Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,环境监测站,53,良,颗粒物(PM10),17,55,0.6,8,132,130,7
20200326,18,烟厂办公区,41,优,NaN,15,41,0.3,8,125,126,8
20200326,20,环境监测站,56,良,颗粒物(PM10),12,61,0.6,11,123,132,7
20200326,20,烟厂办公区,51,良,颗粒物(PM10),12,52,0.4,12,125,128,9
20200326,21,环境监测站,48,优,NaN,19,48,0.6,11,112,130,6
20200326,21,烟厂办公区,54,良,颗粒物(PM10),14,57,0.4,12,114,126,9
20200327,10,环境监测站,59,良,颗粒物(PM10),31,68,0.8,21,96,94,24
20200327,10,烟厂办公区,68,良,颗粒物(PM10),48,85,0.6,25,92,86,32
20200327,11,环境监测站,54,良,细颗粒物(PM2.5),38,52,0.8,10,117,90,7
20200327,11,烟厂办公区,68,良,细颗粒物(PM2.5),49,61,NaN,NaN,116,82,11
20200327,12,环境监测站,53,良,细颗粒物(PM2.5),37,50,0.7,8,126,94,8
20200327,12,烟厂办公区,55,良,细颗粒物(PM2.5),39,52,0.5,9,NaN,80,11
20200327,13,环境监测站,52,良,颗粒物(PM10),27,53,0.7,7,132,100,8
20200327,13,烟厂办公区,44,优,NaN,28,44,0.5,8,118,85,10
20200327,14,环境监测站,43,优,NaN,24,38,0.7,6,135,106,7
20200327,14,烟厂办公区,57,良,细颗粒物(PM2.5),40,NaN,0.5,7,122,90,10
20200327,15,环境监测站,46,优,NaN,20,38,NaN,10,146,112,NaN
20200327,15,烟厂办公区,50,优,NaN,35,38,0.5,7,133,98,11
20200327,17,环境监测站,69,良,颗粒物(PM10),26,87,0.6,21,167,131,12
20200327,17,烟厂办公区,58,良,颗粒物(PM10),31,66,0.7,14,160,127,14
20200330,10,环境监测站,77,良,颗粒物(PM10),37,104,2.3,36,54,27,44
20200330,10,烟厂办公区,72,良,颗粒物(PM10),46,94,1.7,32,49,13,34
20200330,11,环境监测站,78,良,颗粒物(PM10),56,106,0.9,17,115,38,18
20200330,11,烟厂办公区,84,良,细颗粒物(PM2.5),62,91,0.9,20,100,25,18
