Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,三钢,34,优,NaN,12,34,1.4,32,NaN,57,17
20200326,18,三明二中,24,优,NaN,3,19,0.7,18,75,60,3
20200326,18,三元区政府,24,优,NaN,4,15,0.5,16,75,62,2
20200326,18,洋溪,25,优,NaN,11,17,0.8,15,79,65,9
20200326,20,三钢,33,优,NaN,13,33,0.8,31,30,55,4
20200326,20,三明二中,23,优,NaN,10,23,0.9,29,34,61,1
20200326,20,三元区政府,34,优,NaN,13,34,0.8,46,15,60,6
20200326,20,洋溪,29,优,NaN,18,29,1.0,14,34,65,5
20200326,21,三钢,24,优,NaN,12,24,0.7,31,22,50,4
20200326,21,三明二中,20,优,NaN,8,20,0.8,23,32,57,2
20200326,21,三元区政府,41,优,NaN,14,41,0.7,42,5,54,5
20200326,21,洋溪,25,优,NaN,13,25,0.9,12,25,61,5
20200327,10,三钢,59,良,细颗粒物(PM2.5),42,43,1.1,19,13,6,8
20200327,10,三明二中,54,良,细颗粒物(PM2.5),38,NaN,1.1,18,13,4,8
20200327,10,三元区政府,52,良,细颗粒物(PM2.5),36,38,1.6,24,15,6,8
20200327,10,洋溪,49,优,NaN,34,34,0.9,17,10,11,18
20200327,11,三钢,65,良,细颗粒物(PM2.5),47,47,1.0,20,15,7,7
20200327,11,三明二中,59,良,细颗粒物(PM2.5),42,43,1.0,18,13,5,6
20200327,11,三元区政府,50,优,NaN,35,NaN,1.3,26,15,8,9
20200327,11,洋溪,50,优,NaN,35,36,1.0,20,10,11,20
20200327,12,三钢,72,良,细颗粒物(PM2.5),52,57,1.1,27,8,8,5
20200327,12,三明二中,65,良,细颗粒物(PM2.5),47,56,1.1,24,9,6,5
20200327,12,三元区政府,65,良,细颗粒物(PM2.5),47,58,2.3,41,9,9,16
20200327,12,洋溪,46,优,NaN,32,42,1.0,20,12,12,15
20200327,13,三钢,62,良,细颗粒物(PM2.5),44,55,1.3,30,11,8,7
20200327,13,三明二中,64,良,细颗粒物(PM2.5),46,46,1.2,25,13,8,5
20200327,13,三元区政府,85,良,细颗粒物(PM2.5),63,78,3.2,44,10,9,20
20200327,13,洋溪,46,优,NaN,32,41,1.0,23,13,12,16
20200327,14,三钢,53,良,细颗粒物(PM2.5),37,54,1.1,30,13,10,5
20200327,14,三明二中,60,良,细颗粒物(PM2.5),43,54,1.1,26,13,10,4
20200327,14,三元区政府,82,良,细颗粒物(PM2.5),60,68,3.2,46,9,10,20
20200327,14,洋溪,46,优,NaN,32,39,1.0,23,14,12,14
20200327,15,三钢,58,良,细颗粒物(PM2.5),41,56,1.8,38,11,11,7
20200327,15,三明二中,59,良,细颗粒物(PM2.5),42,NaN,1.2,28,13,11,4
20200327,15,三元区政府,84,良,细颗粒物(PM2.5),62,68,3.4,48,8,10,23
20200327,15,洋溪,43,优,NaN,30,40,1.0,21,18,13,9
20200327,17,三钢,52,良,颗粒物(PM10),34,54,2.5,48,14,13,14
20200327,17,三明二中,55,良,颗粒物(PM10),33,60,2.2,41,17,14,17
20200327,17,三元区政府,77,良,细颗粒物(PM2.5),56,66,4.6,61,13,12,33
20200327,17,洋溪,32,优,NaN,19,32,0.8,17,34,17,9
20200330,10,三钢,12,优,NaN,8,10,0.5,19,15,20,3
20200330,10,三明二中,17,优,NaN,6,17,0.6,19,11,18,1
20200330,10,三元区政府,14,优,NaN,7,14,0.6,27,10,16,4
20200330,10,洋溪,10,优,NaN,7,8,0.5,8,23,22,4
20200330,11,三钢,14,优,NaN,7,14,0.5,21,14,19,3
20200330,11,三明二中,13,优,NaN,5,13,0.6,19,11,17,3
20200330,11,三元区政府,13,优,NaN,8,12,0.6,26,12,15,4
20200330,11,洋溪,12,优,NaN,8,8,0.5,12,17,21,5
