Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,袍江站,89,良,细颗粒物(PM2.5),66,111,0.8,68,71,76,5
20200326,18,城东开发委,61,良,颗粒物(PM10),NaN,71,0.6,41,76,79,6
20200326,18,市环保站,136,轻度污染,颗粒物(PM10),32,221,0.668,NaN,89,66,8
20200326,18,树下王站,60,良,细颗粒物(PM2.5),43,63,0.6,32,90,85,8
20200326,20,袍江站,62,良,细颗粒物(PM2.5),44,71,0.7,45,77,75,4
20200326,20,城东开发委,44,优,NaN,NaN,44,0.6,22,81,82,4
20200326,20,市环保站,136,轻度污染,颗粒物(PM10),32,221,0.668,NaN,89,66,8
20200326,20,树下王站,55,良,细颗粒物(PM2.5),39,58,0.6,18,93,86,3
20200327,10,袍江站,15,优,NaN,7,10,0.5,29,29,40,2
20200327,10,城东开发委,15,优,NaN,10,13,0.7,21,31,39,3
20200327,10,市环保站,136,轻度污染,颗粒物(PM10),32,221,0.668,NaN,89,66,8
20200327,10,树下王站,13,优,NaN,7,13,0.7,17,35,40,2
20200327,11,袍江站,14,优,NaN,5,8,0.6,28,36,38,3
20200327,11,城东开发委,12,优,NaN,6,11,0.7,23,32,36,3
20200327,11,市环保站,136,轻度污染,颗粒物(PM10),32,221,0.668,NaN,89,66,8
20200327,11,树下王站,13,优,NaN,4,10,0.7,18,40,39,2
20200327,12,袍江站,15,优,NaN,7,10,0.6,30,41,38,3
20200327,12,城东开发委,13,优,NaN,7,11,0.7,23,41,36,3
20200327,12,市环保站,136,轻度污染,颗粒物(PM10),32,221,0.668,NaN,89,66,8
20200327,12,树下王站,15,优,NaN,6,11,0.7,18,48,40,2
20200327,13,袍江站,16,优,NaN,11,14,0.6,29,46,39,3
20200327,13,城东开发委,19,优,NaN,13,15,0.7,23,43,38,3
20200327,13,市环保站,136,轻度污染,颗粒物(PM10),32,221,0.668,NaN,89,66,8
20200327,13,树下王站,17,优,NaN,10,15,0.7,17,53,43,2
20200327,14,袍江站,20,优,NaN,14,18,0.6,32,44,38,3
20200327,14,城东开发委,23,优,NaN,16,19,0.7,26,44,37,4
20200327,14,市环保站,136,轻度污染,颗粒物(PM10),32,221,0.668,NaN,89,66,8
20200327,14,树下王站,15,优,NaN,10,15,0.7,22,47,43,2
20200327,15,袍江站,22,优,NaN,15,22,0.4,32,49,38,3
20200327,15,城东开发委,25,优,NaN,17,21,0.6,27,44,37,4
20200327,15,市环保站,136,轻度污染,颗粒物(PM10),32,221,0.668,NaN,89,66,8
20200327,15,树下王站,20,优,NaN,14,18,0.6,25,48,43,2
20200327,17,袍江站,26,优,NaN,15,26,0.3,40,49,43,4
20200327,17,城东开发委,22,优,NaN,12,22,0.4,27,51,42,4
20200327,17,市环保站,136,轻度污染,颗粒物(PM10),32,221,0.668,NaN,89,66,8
20200327,17,树下王站,21,优,NaN,10,21,0.5,27,50,46,3
20200330,10,袍江站,18,优,NaN,1,18,0.5,33,36,24,4
20200330,10,城东开发委,18,优,NaN,9,18,0.6,36,19,22,5
20200330,10,市环保站,136,轻度污染,颗粒物(PM10),32,221,0.668,NaN,89,66,8
20200330,10,树下王站,18,优,NaN,12,14,0.7,28,28,26,3
20200330,11,袍江站,19,优,NaN,1,19,0.6,38,33,26,4
20200330,11,城东开发委,18,优,NaN,8,18,0.6,34,27,21,6
20200330,11,市环保站,136,轻度污染,颗粒物(PM10),32,221,0.668,NaN,89,66,8
20200330,11,树下王站,16,优,NaN,11,14,0.7,30,25,24,2
