Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,沙湖旅游区,61,良,颗粒物(PM10),18,72,0.7,21,89,80,19
20200326,18,大武口黄河东街,64,良,颗粒物(PM10),17,77,0.4,13,87,76,4
20200326,18,惠农南大街,NaN,,NaN,NaN,NaN,1.0,106,18,59,22
20200326,18,红果子镇惠新街,59,良,颗粒物(PM10),11,67,0.4,9,93,81,23
20200326,20,沙湖旅游区,64,良,颗粒物(PM10),10,77,0.5,28,66,82,16
20200326,20,大武口黄河东街,52,良,颗粒物(PM10),17,54,0.4,16,82,82,7
20200326,20,惠农南大街,65,良,颗粒物(PM10),28,80,0.5,43,51,60,23
20200326,20,红果子镇惠新街,64,良,颗粒物(PM10),17,78,0.4,18,79,84,35
20200327,10,沙湖旅游区,41,优,NaN,12,41,0.5,16,54,55,15
20200327,10,大武口黄河东街,39,优,NaN,16,39,0.5,17,55,60,9
20200327,10,惠农南大街,42,优,NaN,16,42,0.5,18,55,62,17
20200327,10,红果子镇惠新街,54,良,颗粒物(PM10),10,58,0.3,10,59,62,15
20200327,11,沙湖旅游区,38,优,NaN,18,38,0.8,21,54,53,26
20200327,11,大武口黄河东街,43,优,NaN,23,43,0.6,18,60,59,15
20200327,11,惠农南大街,31,优,NaN,17,31,0.5,15,63,50,16
20200327,11,红果子镇惠新街,42,优,NaN,10,42,0.3,11,66,61,16
20200327,12,沙湖旅游区,53,良,颗粒物(PM10),16,56,0.7,19,63,54,20
20200327,12,大武口黄河东街,51,良,颗粒物(PM10),17,52,0.6,18,66,58,13
20200327,12,惠农南大街,36,优,NaN,17,36,0.4,13,70,50,17
20200327,12,红果子镇惠新街,35,优,NaN,12,35,0.3,10,74,61,17
20200327,13,沙湖旅游区,48,优,NaN,11,48,0.5,15,78,57,14
20200327,13,大武口黄河东街,41,优,NaN,16,41,0.5,16,80,60,8
20200327,13,惠农南大街,37,优,NaN,16,37,0.4,13,80,53,16
20200327,13,红果子镇惠新街,35,优,NaN,11,35,0.3,8,83,63,17
20200327,14,沙湖旅游区,37,优,NaN,9,37,0.5,15,90,61,13
20200327,14,大武口黄河东街,42,优,NaN,16,42,0.4,15,90,64,9
20200327,14,惠农南大街,38,优,NaN,17,38,0.4,12,86,59,17
20200327,14,红果子镇惠新街,39,优,NaN,11,39,0.3,8,95,68,17
20200327,15,沙湖旅游区,44,优,NaN,10,44,0.5,16,100,67,14
20200327,15,大武口黄河东街,38,优,NaN,18,38,0.5,16,93,68,9
20200327,15,惠农南大街,37,优,NaN,18,37,0.4,11,93,66,16
20200327,15,红果子镇惠新街,40,优,NaN,12,40,0.4,8,100,73,18
20200327,17,沙湖旅游区,50,优,NaN,13,50,0.5,16,113,82,14
20200327,17,大武口黄河东街,48,优,NaN,20,48,0.5,19,98,80,10
20200327,17,惠农南大街,56,良,颗粒物(PM10),21,61,0.6,18,93,79,23
20200327,17,红果子镇惠新街,48,优,NaN,12,48,0.4,8,105,86,17
20200330,10,沙湖旅游区,77,良,颗粒物(PM10),44,103,2.5,41,51,20,60
20200330,10,大武口黄河东街,66,良,颗粒物(PM10),37,81,1.4,49,55,34,79
20200330,10,惠农南大街,61,良,颗粒物(PM10),29,71,0.6,33,59,54,18
20200330,10,红果子镇惠新街,57,良,颗粒物(PM10),32,63,0.7,28,53,53,30
20200330,11,沙湖旅游区,83,良,颗粒物(PM10),42,115,2.2,36,77,26,56
20200330,11,大武口黄河东街,60,良,颗粒物(PM10),33,69,1.0,29,87,42,44
20200330,11,惠农南大街,53,良,颗粒物(PM10),29,56,0.6,26,73,57,19
20200330,11,红果子镇惠新街,62,良,颗粒物(PM10),27,73,0.7,24,75,55,40
