Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,监测站,34,优,NaN,7,34,0.4,18,60,66,6
20200326,18,一商场,44,优,NaN,8,44,0.4,17,65,70,6
20200326,18,境园,29,优,NaN,7,29,0.4,8,68,73,7
20200326,20,监测站,42,优,NaN,20,42,0.5,16,51,62,6
20200326,20,一商场,56,良,颗粒物(PM10),17,62,0.4,17,54,68,5
20200326,20,境园,35,优,NaN,16,35,0.4,12,56,71,8
20200327,10,监测站,63,良,颗粒物(PM10),22,76,0.4,12,64,36,6
20200327,10,一商场,78,良,颗粒物(PM10),19,105,0.2,14,72,42,7
20200327,10,境园,65,良,颗粒物(PM10),12,79,0.3,7,74,29,8
20200327,11,监测站,67,良,颗粒物(PM10),18,83,0.3,9,72,37,6
20200327,11,一商场,73,良,颗粒物(PM10),19,95,0.2,9,81,44,7
20200327,11,境园,65,良,颗粒物(PM10),12,80,0.2,4,81,35,8
20200327,12,监测站,62,良,颗粒物(PM10),9,74,0.3,8,75,41,6
20200327,12,一商场,68,良,颗粒物(PM10),12,86,0.2,8,84,50,5
20200327,12,境园,53,良,颗粒物(PM10),8,56,0.3,3,84,44,8
20200327,13,监测站,45,优,NaN,6,45,0.3,6,78,48,5
20200327,13,一商场,61,良,颗粒物(PM10),10,72,0.2,8,84,58,5
20200327,13,境园,44,优,NaN,5,44,0.3,3,84,54,8
20200327,14,监测站,32,优,NaN,8,32,0.3,6,81,57,6
20200327,14,一商场,47,优,NaN,4,47,0.2,9,83,67,5
20200327,14,境园,31,优,NaN,3,31,0.3,4,85,63,6
20200327,15,监测站,30,优,NaN,4,30,0.2,6,82,66,5
20200327,15,一商场,34,优,NaN,5,34,0.2,11,82,73,6
20200327,15,境园,29,优,NaN,3,29,0.3,5,84,72,6
20200327,17,监测站,52,良,颗粒物(PM10),6,53,0.3,5,78,76,5
20200327,17,一商场,62,良,颗粒物(PM10),6,74,0.2,11,78,80,5
20200327,17,境园,45,优,NaN,9,45,1.2,7,77,81,23
20200330,11,监测站,61,良,颗粒物(PM10),34,72,0.7,24,102,80,16
20200330,11,一商场,80,良,颗粒物(PM10),26,110,0.7,26,102,81,16
20200330,11,境园,56,良,颗粒物(PM10),28,61,0.7,21,111,89,17
20200330,11,监测站,61,良,颗粒物(PM10),34,72,0.7,24,102,80,16
20200330,11,一商场,80,良,颗粒物(PM10),26,110,0.7,26,102,81,16
20200330,11,境园,56,良,颗粒物(PM10),28,61,0.7,21,111,89,17
