Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,江北,83,良,颗粒物(PM10),9,115,0.2,4,75,73,1
20200326,20,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,江北,64,良,颗粒物(PM10),3,77,0.3,5,69,73,2
20200327,10,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,江北,52,良,颗粒物(PM10),11,53,0.3,3,68,42,4
20200327,11,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,江北,43,优,NaN,6,43,0.3,3,75,47,1
20200327,12,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,江北,38,优,NaN,8,38,0.3,3,81,55,1
20200327,13,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,江北,34,优,NaN,13,34,NaN,4,84,63,1
20200327,14,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,江北,48,优,NaN,12,48,0.4,3,NaN,66,1
20200327,15,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,江北,65,良,颗粒物(PM10),6,79,0.5,3,79,71,NaN
20200327,17,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,17,江北,71,良,颗粒物(PM10),28,91,0.5,4,82,78,1
20200330,11,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,11,江北,58,良,颗粒物(PM10),23,66,0.7,17,75,73,5
20200330,11,江南,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,11,江北,58,良,颗粒物(PM10),23,66,0.7,17,75,73,5
