Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,人和东街,25,优,NaN,8,25,0.2,8,67,66,6
20200326,18,党政办公中心,28,优,NaN,8,28,0.4,7,71,68,5
20200326,20,人和东街,27,优,NaN,9,27,0.2,7,59,66,6
20200326,20,党政办公中心,43,优,NaN,12,43,0.4,10,60,68,6
20200327,10,人和东街,32,优,NaN,11,32,0.1,4,61,46,6
20200327,10,党政办公中心,25,优,NaN,9,25,0.4,5,64,48,5
20200327,11,人和东街,27,优,NaN,8,27,0.1,4,65,48,5
20200327,11,党政办公中心,21,优,NaN,8,21,0.4,NaN,62,50,5
20200327,12,人和东街,26,优,NaN,8,26,0.1,4,67,52,5
20200327,12,党政办公中心,21,优,NaN,7,19,NaN,4,66,53,5
20200327,13,人和东街,24,优,NaN,7,24,0.1,3,69,56,5
20200327,13,党政办公中心,NaN,,NaN,NaN,NaN,0.2,4,NaN,54,4
20200327,14,人和东街,27,优,NaN,7,27,0.1,4,69,59,5
20200327,14,党政办公中心,23,优,NaN,6,19,0.2,4,71,58,5
20200327,15,人和东街,29,优,NaN,8,29,0.1,5,68,63,NaN
20200327,15,党政办公中心,22,优,NaN,6,20,0.2,5,70,62,5
20200327,17,人和东街,NaN,,NaN,NaN,NaN,0.2,5,NaN,66,5
20200327,17,党政办公中心,22,优,NaN,7,20,0.2,5,68,67,5
20200330,11,人和东街,82,良,颗粒物(PM10),52,114,0.6,14,89,61,10
20200330,11,党政办公中心,76,良,颗粒物(PM10),54,101,0.5,16,95,68,10
20200330,11,人和东街,82,良,颗粒物(PM10),52,114,0.6,14,89,61,10
20200330,11,党政办公中心,76,良,颗粒物(PM10),54,101,0.5,16,95,68,10
