Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,石溪浩,75,良,颗粒物(PM10),47,100,0.3,16,84,110,2
20200326,18,市监测站,65,良,颗粒物(PM10),46,79,0.6,7,93,119,5
20200326,18,行政中心,87,良,细颗粒物(PM2.5),64,119,0.8,9,92,115,6
20200326,18,美宁食品公司,70,良,细颗粒物(PM2.5),51,76,0.5,14,88,111,9
20200326,20,石溪浩,177,中度污染,颗粒物(PM10),81,303,0.3,10,83,107,2
20200326,20,市监测站,139,轻度污染,颗粒物(PM10),86,227,0.5,8,76,114,6
20200326,20,行政中心,357,严重污染,颗粒物(PM10),108,465,0.7,7,81,113,6
20200326,20,美宁食品公司,171,中度污染,颗粒物(PM10),92,291,0.4,9,78,110,10
20200327,10,石溪浩,20,优,NaN,4,20,0.4,18,40,59,6
20200327,10,市监测站,33,优,NaN,14,33,0.5,18,34,57,7
20200327,10,行政中心,18,优,NaN,12,16,0.8,11,50,64,7
20200327,10,美宁食品公司,22,优,NaN,15,NaN,0.4,22,38,55,10
20200327,11,石溪浩,26,优,NaN,4,26,0.4,14,48,56,NaN
20200327,11,市监测站,37,优,NaN,19,37,0.4,18,NaN,55,6
20200327,11,行政中心,19,优,NaN,10,13,0.8,8,58,62,6
20200327,11,美宁食品公司,26,优,NaN,15,26,0.4,15,54,53,9
20200327,12,石溪浩,28,优,NaN,5,28,0.4,11,NaN,54,7
20200327,12,市监测站,65,良,颗粒物(PM10),17,80,0.4,7,NaN,52,6
20200327,12,行政中心,18,优,NaN,10,18,0.7,10,53,60,6
20200327,12,美宁食品公司,26,优,NaN,18,26,0.4,10,58,52,9
20200327,13,石溪浩,21,优,NaN,7,21,0.3,7,64,54,4
20200327,13,市监测站,68,良,颗粒物(PM10),16,85,0.5,5,62,51,6
20200327,13,行政中心,21,优,NaN,9,21,0.7,6,64,59,8
20200327,13,美宁食品公司,30,优,NaN,15,30,0.3,7,62,51,10
20200327,14,石溪浩,23,优,NaN,9,19,0.3,6,73,55,4
20200327,14,市监测站,72,良,颗粒物(PM10),11,93,0.5,5,71,52,6
20200327,14,行政中心,23,优,NaN,8,21,0.7,5,71,60,7
20200327,14,美宁食品公司,22,优,NaN,12,19,0.4,7,68,52,9
20200327,15,石溪浩,24,优,NaN,7,13,0.4,7,75,56,5
20200327,15,市监测站,73,良,颗粒物(PM10),8,95,0.5,5,71,53,6
20200327,15,行政中心,23,优,NaN,7,17,0.7,6,72,61,6
20200327,15,美宁食品公司,21,优,NaN,4,19,0.3,8,67,53,9
20200327,17,石溪浩,23,优,NaN,6,NaN,0.4,8,71,63,5
20200327,17,市监测站,21,优,NaN,6,21,0.5,8,65,62,7
20200327,17,行政中心,20,优,NaN,10,14,0.8,11,62,62,6
20200327,17,美宁食品公司,28,优,NaN,8,28,0.4,15,NaN,58,7
20200330,11,石溪浩,26,优,NaN,18,24,0.5,18,16,14,6
20200330,11,市监测站,38,优,NaN,22,38,0.5,15,19,22,11
20200330,11,行政中心,46,优,NaN,32,33,0.6,14,NaN,11,12
20200330,11,美宁食品公司,42,优,NaN,27,42,0.5,16,24,16,8
20200330,11,石溪浩,26,优,NaN,18,24,0.5,18,16,14,6
20200330,11,市监测站,38,优,NaN,22,38,0.5,15,19,22,11
20200330,11,行政中心,46,优,NaN,32,33,0.6,14,NaN,11,12
20200330,11,美宁食品公司,42,优,NaN,27,42,0.5,16,24,16,8
