Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,市委党校,19,优,NaN,12,19,1.1,13,59,25,4
20200326,18,市林业局,19,优,NaN,7,8,1.0,11,58,39,3
20200326,18,市立交桥水厂,19,优,NaN,5,12,1.0,10,60,31,3
20200326,20,市委党校,42,优,NaN,29,29,1.0,15,42,34,4
20200326,20,市林业局,24,优,NaN,16,24,0.9,12,46,43,3
20200326,20,市立交桥水厂,43,优,NaN,30,NaN,0.8,13,42,38,3
20200327,10,市委党校,36,优,NaN,15,36,0.6,13,51,59,4
20200327,10,市林业局,49,优,NaN,34,NaN,0.6,9,54,60,3
20200327,10,市立交桥水厂,26,优,NaN,18,26,0.5,10,52,58,3
20200327,11,市委党校,36,优,NaN,15,36,0.6,13,51,57,4
20200327,11,市林业局,26,优,NaN,13,26,0.6,10,52,58,4
20200327,11,市立交桥水厂,26,优,NaN,5,26,0.5,11,51,56,4
20200327,12,市委党校,33,优,NaN,16,33,0.6,13,54,55,4
20200327,12,市林业局,23,优,NaN,14,23,0.6,9,55,56,5
20200327,12,市立交桥水厂,28,优,NaN,13,28,0.4,10,54,55,5
20200327,13,市委党校,32,优,NaN,16,32,0.6,13,54,54,4
20200327,13,市林业局,22,优,NaN,14,22,0.6,9,56,55,NaN
20200327,13,市立交桥水厂,45,优,NaN,31,NaN,0.4,10,53,54,4
20200327,14,市委党校,34,优,NaN,12,34,0.6,12,56,54,5
20200327,14,市林业局,29,优,NaN,16,29,0.6,10,55,54,4
20200327,14,市立交桥水厂,28,优,NaN,19,25,0.4,10,55,53,4
20200327,15,市委党校,32,优,NaN,11,32,0.5,10,62,54,4
20200327,15,市林业局,32,优,NaN,6,32,0.3,7,61,55,4
20200327,15,市立交桥水厂,32,优,NaN,5,32,0.4,9,60,54,4
20200327,17,市委党校,22,优,NaN,14,22,0.6,14,60,56,4
20200327,17,市林业局,26,优,NaN,18,24,0.3,9,64,58,4
20200327,17,市立交桥水厂,25,优,NaN,6,25,0.4,8,61,56,3
20200330,11,市委党校,40,优,NaN,28,38,0.7,11,72,55,3
20200330,11,市林业局,38,优,NaN,26,30,0.6,6,74,62,3
20200330,11,市立交桥水厂,36,优,NaN,25,34,0.7,5,77,57,3
20200330,11,市委党校,40,优,NaN,28,38,0.7,11,72,55,3
20200330,11,市林业局,38,优,NaN,26,30,0.6,6,74,62,3
20200330,11,市立交桥水厂,36,优,NaN,25,34,0.7,5,77,57,3
