Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,上方山,99,良,细颗粒物(PM2.5),74,NaN,0.5,69,12,14,6
20200326,18,南门,72,良,细颗粒物(PM2.5),52,81,1.3,91,4,9,31
20200326,18,彩香,92,良,细颗粒物(PM2.5),68,NaN,0.8,95,2,10,3
20200326,18,轧钢厂,65,良,细颗粒物(PM2.5),47,75,1.2,78,6,11,8
20200326,18,吴中区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,苏州新区,68,良,细颗粒物(PM2.5),49,66,0.9,72,6,10,4
20200326,18,苏州工业园区,51,良,颗粒物(PM10),NaN,51,0.8,63,5,12,NaN
20200326,18,相城区,63,良,细颗粒物(PM2.5),45,56,1.1,76,2,10,5
20200326,20,上方山,94,良,细颗粒物(PM2.5),70,NaN,0.6,62,12,13,5
20200326,20,南门,92,良,细颗粒物(PM2.5),68,102,1.6,81,2,8,NaN
20200326,20,彩香,100,良,细颗粒物(PM2.5),75,NaN,1.3,89,NaN,8,2
20200326,20,轧钢厂,78,良,细颗粒物(PM2.5),57,86,1.5,65,5,10,9
20200326,20,吴中区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,苏州新区,65,良,颗粒物(PM10),42,80,1.2,70,4,9,4
20200326,20,苏州工业园区,98,良,细颗粒物(PM2.5),73,73,0.9,68,5,9,6
20200326,20,相城区,59,良,细颗粒物(PM2.5),42,57,1.1,79,NaN,7,7
20200327,10,上方山,33,优,NaN,23,NaN,0.6,24,54,51,2
20200327,10,南门,32,优,NaN,14,32,0.9,20,52,50,3
20200327,10,彩香,22,优,NaN,15,21,0.6,23,51,46,1
20200327,10,轧钢厂,26,优,NaN,18,19,0.9,20,52,47,7
20200327,10,吴中区,26,优,NaN,14,26,0.5,23,55,53,2
20200327,10,苏州新区,29,优,NaN,20,27,0.7,19,51,42,4
20200327,10,苏州工业园区,22,优,NaN,15,NaN,0.5,27,45,46,4
20200327,10,相城区,22,优,NaN,13,13,0.6,8,68,57,3
20200327,11,上方山,35,优,NaN,17,35,0.5,21,60,51,3
