Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,黄岩环保大楼,30,优,NaN,13,30,0.4,16,93,96,5
20200326,18,台州环保大楼,33,优,NaN,16,33,0.5,13,94,94,3
20200326,18,路桥田洋王,32,优,NaN,18,32,0.5,12,97,97,6
20200326,20,黄岩环保大楼,31,优,NaN,16,31,0.4,10,93,102,4
20200326,20,台州环保大楼,42,优,NaN,26,42,0.5,16,85,96,4
20200326,20,路桥田洋王,43,优,NaN,29,43,0.5,16,84,100,6
20200327,10,黄岩环保大楼,30,优,NaN,12,30,0.4,22,63,34,4
20200327,10,台州环保大楼,25,优,NaN,17,25,0.5,23,52,33,3
20200327,10,路桥田洋王,29,优,NaN,20,29,0.4,24,55,25,5
20200327,11,黄岩环保大楼,42,优,NaN,21,42,0.4,18,54,36,4
20200327,11,台州环保大楼,23,优,NaN,15,23,0.5,19,42,32,2
20200327,11,路桥田洋王,29,优,NaN,18,29,0.3,21,45,26,5
20200327,12,黄岩环保大楼,37,优,NaN,18,37,0.4,16,56,39,4
20200327,12,台州环保大楼,23,优,NaN,15,23,0.5,14,60,34,3
20200327,12,路桥田洋王,28,优,NaN,18,28,0.4,17,54,30,4
20200327,13,黄岩环保大楼,30,优,NaN,12,30,0.4,22,34,40,4
20200327,13,台州环保大楼,21,优,NaN,13,21,0.4,14,47,37,2
20200327,13,路桥田洋王,28,优,NaN,17,28,0.4,20,48,34,4
20200327,14,黄岩环保大楼,23,优,NaN,8,23,0.4,19,43,43,3
20200327,14,台州环保大楼,20,优,NaN,9,20,0.4,15,53,41,3
20200327,14,路桥田洋王,26,优,NaN,12,26,0.3,21,42,38,4
20200327,15,黄岩环保大楼,23,优,NaN,8,23,0.3,18,46,47,4
20200327,15,台州环保大楼,20,优,NaN,6,19,0.5,15,61,46,2
20200327,15,路桥田洋王,26,优,NaN,11,26,0.3,22,47,42,4
20200327,17,黄岩环保大楼,22,优,NaN,7,22,0.4,21,51,49,4
20200327,17,台州环保大楼,21,优,NaN,4,20,0.5,18,67,56,2
20200327,17,路桥田洋王,26,优,NaN,9,26,0.4,22,59,51,4
20200330,11,黄岩环保大楼,20,优,NaN,12,20,0.4,35,26,38,4
20200330,11,台州环保大楼,18,优,NaN,12,NaN,0.5,28,29,37,4
20200330,11,路桥田洋王,14,优,NaN,8,12,0.2,22,42,43,4
20200330,11,黄岩环保大楼,20,优,NaN,12,20,0.4,35,26,38,4
20200330,11,台州环保大楼,18,优,NaN,12,NaN,0.5,28,29,37,4
20200330,11,路桥田洋王,14,优,NaN,8,12,0.2,22,42,43,4
