Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,18,供销社,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,雷达站,38,优,NaN,17,38,0.6,51,21,62,7
20200326,18,物资局,39,优,NaN,13,39,0.5,38,45,64,6
20200326,18,陶瓷公司,69,良,细颗粒物(PM2.5),50,82,0.9,76,6,19,16
20200326,18,十二中,25,优,NaN,7,25,0.6,34,46,62,6
20200326,18,小山,34,优,NaN,15,34,0.6,29,51,62,7
20200326,18,消防缸窑路中队(启用200109),152,中度污染,细颗粒物(PM2.5),116,239,4.5,65,8,7,78
20200326,18,路南电大(启用200110),142,轻度污染,细颗粒物(PM2.5),108,189,5.3,80,9,7,70
20200326,18,消防缸窑路中队,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,18,路南电大,40,优,NaN,12,40,0.3,53,25,62,6
20200326,20,供销社,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,雷达站,39,优,NaN,17,39,0.6,53,26,48,7
20200326,20,物资局,58,良,颗粒物(PM10),19,66,0.6,47,37,52,7
20200326,20,陶瓷公司,69,良,细颗粒物(PM2.5),50,82,0.9,76,6,19,16
20200326,20,十二中,40,优,NaN,19,40,0.6,39,45,52,6
20200326,20,小山,41,优,NaN,19,41,0.7,43,39,52,8
20200326,20,消防缸窑路中队(启用200109),152,中度污染,细颗粒物(PM2.5),116,239,4.5,65,8,7,78
20200326,20,路南电大(启用200110),142,轻度污染,细颗粒物(PM2.5),108,189,5.3,80,9,7,70
20200326,20,消防缸窑路中队,48,优,NaN,8,48,0.4,29,48,57,8
20200326,20,路南电大,51,良,颗粒物(PM10),22,51,0.3,53,29,48,7
20200327,10,供销社,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,雷达站,30,优,NaN,8,30,0.3,7,71,41,5
20200327,10,物资局,28,优,NaN,8,28,0.3,11,71,53,5
20200327,10,陶瓷公司,69,良,细颗粒物(PM2.5),50,82,0.9,76,6,19,16
20200327,10,十二中,46,优,NaN,9,46,0.5,13,73,45,5
20200327,10,小山,24,优,NaN,7,22,0.5,7,75,53,5
20200327,10,消防缸窑路中队(启用200109),152,中度污染,细颗粒物(PM2.5),116,239,4.5,65,8,7,78
20200327,10,路南电大(启用200110),142,轻度污染,细颗粒物(PM2.5),108,189,5.3,80,9,7,70
20200327,10,消防缸窑路中队,48,优,NaN,12,48,0.3,5,77,44,5
20200327,10,路南电大,25,优,NaN,7,25,NaN,9,74,50,5
20200327,11,供销社,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,雷达站,24,优,NaN,7,21,0.3,3,76,46,4
20200327,11,物资局,28,优,NaN,6,28,0.3,6,77,58,4
20200327,11,陶瓷公司,69,良,细颗粒物(PM2.5),50,82,0.9,76,6,19,16
20200327,11,十二中,33,优,NaN,7,33,0.4,10,77,51,5
20200327,11,小山,25,优,NaN,6,14,0.5,3,80,58,5
20200327,11,消防缸窑路中队(启用200109),152,中度污染,细颗粒物(PM2.5),116,239,4.5,65,8,7,78
20200327,11,路南电大(启用200110),142,轻度污染,细颗粒物(PM2.5),108,189,5.3,80,9,7,70
20200327,11,消防缸窑路中队,35,优,NaN,10,35,0.3,3,80,51,5
20200327,11,路南电大,25,优,NaN,6,23,NaN,7,78,55,4
20200327,12,供销社,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
