Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,19,通辽宾馆,52,良,细颗粒物(PM2.5),36,36,0.2,35,61,44,NaN
20200326,19,胶建铝业,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,19,艺术职业学校,41,优,NaN,10,41,0.3,7,78,78,5
20200326,19,老干部活动中心,53,良,颗粒物(PM10),17,55,0.3,6,77,77,4
20200326,20,通辽宾馆,52,良,细颗粒物(PM2.5),36,36,0.2,35,61,44,NaN
20200326,20,胶建铝业,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,艺术职业学校,44,优,NaN,17,44,0.3,9,73,79,5
20200326,20,老干部活动中心,62,良,颗粒物(PM10),15,74,0.3,7,73,78,4
20200327,10,通辽宾馆,52,良,细颗粒物(PM2.5),36,36,0.2,35,61,44,NaN
20200327,10,胶建铝业,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,艺术职业学校,26,优,NaN,12,26,0.3,5,74,56,5
20200327,10,老干部活动中心,29,优,NaN,20,26,0.2,7,70,52,8
20200327,11,通辽宾馆,52,良,细颗粒物(PM2.5),36,36,0.2,35,61,44,NaN
20200327,11,胶建铝业,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,艺术职业学校,24,优,NaN,8,18,0.2,4,76,58,5
20200327,11,老干部活动中心,28,优,NaN,13,28,0.2,4,74,55,6
20200327,12,通辽宾馆,52,良,细颗粒物(PM2.5),36,36,0.2,35,61,44,NaN
20200327,12,胶建铝业,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,艺术职业学校,25,优,NaN,7,17,0.3,6,79,62,4
20200327,12,老干部活动中心,26,优,NaN,18,24,0.2,4,75,58,6
20200327,13,通辽宾馆,52,良,细颗粒物(PM2.5),36,36,0.2,35,61,44,NaN
20200327,13,胶建铝业,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,艺术职业学校,42,优,NaN,7,42,0.3,6,82,65,4
20200327,13,老干部活动中心,69,良,颗粒物(PM10),13,87,0.2,3,79,61,6
20200327,14,通辽宾馆,52,良,细颗粒物(PM2.5),36,36,0.2,35,61,44,NaN
20200327,14,胶建铝业,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,艺术职业学校,52,良,颗粒物(PM10),10,53,0.3,6,80,68,4
20200327,14,老干部活动中心,57,良,颗粒物(PM10),17,63,0.2,3,79,65,6
20200327,15,通辽宾馆,52,良,细颗粒物(PM2.5),36,36,0.2,35,61,44,NaN
20200327,15,胶建铝业,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,艺术职业学校,53,良,颗粒物(PM10),13,56,0.3,6,81,73,4
20200327,15,老干部活动中心,57,良,颗粒物(PM10),13,63,0.2,4,79,70,5
20200327,17,通辽宾馆,52,良,细颗粒物(PM2.5),36,36,0.2,35,61,44,NaN
20200327,17,胶建铝业,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,17,艺术职业学校,65,良,颗粒物(PM10),17,80,0.3,6,81,79,4
20200327,17,老干部活动中心,68,良,颗粒物(PM10),17,86,0.2,4,78,76,8
20200330,11,通辽宾馆,52,良,细颗粒物(PM2.5),36,36,0.2,35,61,44,NaN
20200330,11,胶建铝业,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,11,艺术职业学校,73,良,细颗粒物(PM2.5),53,78,0.6,22,92,59,24
20200330,11,老干部活动中心,78,良,颗粒物(PM10),54,106,0.8,16,92,67,10
20200330,11,通辽宾馆,52,良,细颗粒物(PM2.5),36,36,0.2,35,61,44,NaN
20200330,11,胶建铝业,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,11,艺术职业学校,73,良,细颗粒物(PM2.5),53,78,0.6,22,92,59,24
20200330,11,老干部活动中心,78,良,颗粒物(PM10),54,106,0.8,16,92,67,10
