Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,19,文登市环保局,20,优,NaN,14,12,0.6,18,54,73,3
20200326,19,文登市丝绸公司,19,优,NaN,12,19,0.5,18,53,71,3
20200326,20,文登市环保局,18,优,NaN,12,9,0.5,15,55,71,3
20200326,20,文登市丝绸公司,17,优,NaN,10,17,0.5,17,53,68,2
20200327,10,文登市环保局,55,良,颗粒物(PM10),7,59,0.3,6,83,77,5
20200327,10,文登市丝绸公司,61,良,颗粒物(PM10),8,71,0.3,49,72,68,3
20200327,11,文登市环保局,54,良,颗粒物(PM10),10,57,0.3,6,86,78,4
20200327,11,文登市丝绸公司,61,良,颗粒物(PM10),8,72,0.4,80,70,68,3
20200327,12,文登市环保局,54,良,颗粒物(PM10),6,57,0.3,6,88,80,4
20200327,12,文登市丝绸公司,56,良,颗粒物(PM10),8,62,0.4,16,80,70,3
20200327,13,文登市环保局,52,良,颗粒物(PM10),8,54,0.3,6,88,81,5
20200327,13,文登市丝绸公司,51,良,颗粒物(PM10),8,51,0.4,NaN,76,71,4
20200327,14,文登市环保局,60,良,颗粒物(PM10),10,70,0.3,4,91,83,4
20200327,14,文登市丝绸公司,51,良,颗粒物(PM10),7,52,0.3,8,84,73,3
20200327,15,文登市环保局,69,良,颗粒物(PM10),6,87,0.2,4,95,86,4
20200327,15,文登市丝绸公司,66,良,颗粒物(PM10),7,82,0.3,8,88,75,3
20200327,17,文登市环保局,69,良,颗粒物(PM10),6,87,0.2,4,95,86,4
20200327,17,文登市丝绸公司,61,良,颗粒物(PM10),6,71,0.3,8,83,80,2
20200330,11,文登市环保局,52,良,颗粒物(PM10),17,54,0.5,15,108,93,8
20200330,11,文登市丝绸公司,56,良,颗粒物(PM10),NaN,61,0.6,20,95,59,5
20200330,11,文登市环保局,52,良,颗粒物(PM10),17,54,0.5,15,108,93,8
20200330,11,文登市丝绸公司,56,良,颗粒物(PM10),NaN,61,0.6,20,95,59,5
