Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,19,监测站,38,优,NaN,18,37,1.1,75,3,22,6
20200326,19,科创中心,35,优,NaN,19,23,1.1,69,1,23,6
20200326,19,四水厂,39,优,NaN,21,39,1.0,75,11,20,6
20200326,19,五七二零厂,29,优,NaN,6,20,0.6,11,90,66,6
20200326,19,济民医院(对照点),39,优,NaN,27,33,1.4,78,1,30,5
20200326,20,监测站,37,优,NaN,16,22,1.0,73,2,21,5
20200326,20,科创中心,33,优,NaN,19,29,1.1,65,1,22,6
20200326,20,四水厂,42,优,NaN,20,28,1.0,83,NaN,18,6
20200326,20,五七二零厂,29,优,NaN,6,20,0.6,11,90,66,6
20200326,20,济民医院(对照点),38,优,NaN,23,31,1.4,76,NaN,29,6
20200327,10,监测站,18,优,NaN,8,18,0.5,29,52,40,5
20200327,10,科创中心,19,优,NaN,11,19,0.4,24,56,41,5
20200327,10,四水厂,19,优,NaN,13,14,0.8,32,46,38,6
20200327,10,五七二零厂,29,优,NaN,6,20,0.6,11,90,66,6
20200327,10,济民医院(对照点),32,优,NaN,22,24,0.8,36,45,38,5
20200327,11,监测站,24,优,NaN,5,24,0.5,25,61,44,5
20200327,11,科创中心,24,优,NaN,8,24,0.3,21,63,45,5
20200327,11,四水厂,20,优,NaN,10,20,0.6,28,56,41,6
20200327,11,五七二零厂,29,优,NaN,6,20,0.6,11,90,66,6
20200327,11,济民医院(对照点),25,优,NaN,9,25,0.8,23,60,41,6
20200327,12,监测站,22,优,NaN,4,22,0.5,22,67,48,6
20200327,12,科创中心,22,优,NaN,7,22,0.3,19,70,50,5
20200327,12,四水厂,NaN,,NaN,NaN,NaN,0.5,NaN,63,45,NaN
20200327,12,五七二零厂,29,优,NaN,6,20,0.6,11,90,66,6
20200327,12,济民医院(对照点),25,优,NaN,4,25,0.8,18,69,46,7
20200327,13,监测站,31,优,NaN,4,31,0.5,22,66,52,5
20200327,13,科创中心,20,优,NaN,8,19,0.5,23,64,53,8
20200327,13,四水厂,NaN,,NaN,NaN,NaN,NaN,20,NaN,46,6
20200327,13,五七二零厂,29,优,NaN,6,20,0.6,11,90,66,6
20200327,13,济民医院(对照点),28,优,NaN,19,22,0.7,18,68,50,6
20200327,14,监测站,30,优,NaN,4,30,0.5,21,65,55,5
20200327,14,科创中心,23,优,NaN,9,23,0.4,20,65,56,6
20200327,14,四水厂,36,优,NaN,11,36,0.4,20,NaN,47,6
20200327,14,五七二零厂,29,优,NaN,6,20,0.6,11,90,66,6
20200327,14,济民医院(对照点),25,优,NaN,17,23,0.7,20,66,54,6
20200327,15,监测站,24,优,NaN,4,24,0.6,25,62,57,6
20200327,15,科创中心,35,优,NaN,12,35,0.4,26,62,59,8
20200327,15,四水厂,30,优,NaN,12,30,0.5,22,58,50,6
20200327,15,五七二零厂,29,优,NaN,6,20,0.6,11,90,66,6
20200327,15,济民医院(对照点),24,优,NaN,NaN,24,0.7,22,67,57,7
20200327,17,监测站,31,优,NaN,6,31,0.4,27,69,63,5
20200327,17,科创中心,38,优,NaN,14,38,0.3,26,63,64,5
20200327,17,四水厂,40,优,NaN,15,40,0.4,26,58,56,6
20200327,17,五七二零厂,29,优,NaN,6,20,0.6,11,90,66,6
20200327,17,济民医院(对照点),31,优,NaN,14,31,0.6,22,69,64,5
20200330,11,监测站,48,优,NaN,33,NaN,0.8,29,53,39,6
20200330,11,科创中心,50,优,NaN,35,NaN,0.7,21,58,41,6
20200330,11,四水厂,42,优,NaN,29,33,0.8,29,48,37,7
20200330,11,五七二零厂,29,优,NaN,6,20,0.6,11,90,66,6
20200330,11,济民医院(对照点),42,优,NaN,29,NaN,0.7,19,60,45,7
20200330,11,监测站,48,优,NaN,33,NaN,0.8,29,53,39,6
20200330,11,科创中心,50,优,NaN,35,NaN,0.7,21,58,41,6
20200330,11,四水厂,42,优,NaN,29,33,0.8,29,48,37,7
20200330,11,五七二零厂,29,优,NaN,6,20,0.6,11,90,66,6
20200330,11,济民医院(对照点),42,优,NaN,29,NaN,0.7,19,60,45,7
