Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,19,监测站,30,优,NaN,17,30,0.6,20,73,78,11
20200326,19,收费所,39,优,NaN,7,39,0.6,21,66,72,10
20200326,19,新疆农科院农场,27,优,NaN,16,22,0.6,6,85,81,6
20200326,19,铁路局,30,优,NaN,9,30,0.4,14,80,75,9
20200326,19,三十一中学,35,优,NaN,1,35,0.7,11,74,79,9
20200326,19,七十四中学,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,19,米东区环保局,40,优,NaN,28,NaN,0.5,12,96,88,3
20200326,19,培训基地,36,优,NaN,14,36,0.8,17,83,85,8
20200326,20,监测站,31,优,NaN,2,31,0.7,25,68,77,11
20200326,20,收费所,39,优,NaN,7,39,0.6,27,57,70,11
20200326,20,新疆农科院农场,26,优,NaN,18,24,0.6,7,82,84,7
20200326,20,铁路局,37,优,NaN,15,37,0.4,17,76,76,10
20200326,20,三十一中学,27,优,NaN,18,27,0.8,18,66,78,8
20200326,20,七十四中学,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,米东区环保局,52,良,细颗粒物(PM2.5),36,NaN,0.5,11,95,92,3
20200326,20,培训基地,41,优,NaN,13,41,0.7,18,76,84,7
20200327,10,监测站,55,良,颗粒物(PM10),26,60,1.0,58,9,16,10
20200327,10,收费所,53,良,颗粒物(PM10),22,56,0.7,38,18,20,9
20200327,10,新疆农科院农场,NaN,,NaN,40,NaN,1.3,51,6,6,7
20200327,10,铁路局,55,良,颗粒物(PM10),17,59,0.9,47,19,21,8
20200327,10,三十一中学,57,良,颗粒物(PM10),9,64,1.2,42,13,29,7
20200327,10,七十四中学,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,米东区环保局,47,优,NaN,12,47,1.3,48,20,14,4
20200327,10,培训基地,51,良,颗粒物(PM10),21,52,0.9,11,72,63,10
20200327,11,监测站,42,优,NaN,18,42,0.9,47,30,15,10
20200327,11,收费所,48,优,NaN,26,48,0.7,35,30,20,9
20200327,11,新疆农科院农场,49,优,NaN,34,43,1.1,39,27,8,6
20200327,11,铁路局,39,优,NaN,20,39,0.6,36,39,21,8
20200327,11,三十一中学,45,优,NaN,10,45,1.0,38,28,25,7
20200327,11,七十四中学,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,米东区环保局,71,良,颗粒物(PM10),5,92,1.3,54,23,16,8
20200327,11,培训基地,52,良,颗粒物(PM10),19,53,0.8,8,74,65,10
20200327,12,监测站,26,优,NaN,6,26,0.8,33,53,16,9
20200327,12,收费所,40,优,NaN,28,35,0.7,29,48,20,10
20200327,12,新疆农科院农场,38,优,NaN,26,32,0.9,34,41,12,6
20200327,12,铁路局,27,优,NaN,13,27,0.5,32,53,24,9
20200327,12,三十一中学,23,优,NaN,16,22,0.8,15,67,26,8
20200327,12,七十四中学,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,米东区环保局,29,优,NaN,14,29,0.8,30,63,21,11
20200327,12,培训基地,51,良,颗粒物(PM10),16,51,0.8,9,73,66,10
20200327,13,监测站,46,优,NaN,NaN,46,0.7,29,59,22,14
20200327,13,收费所,37,优,NaN,20,37,0.6,22,59,24,11
20200327,13,新疆农科院农场,30,优,NaN,21,21,0.7,16,66,20,6
20200327,13,铁路局,50,优,NaN,14,50,0.6,39,49,26,13
20200327,13,三十一中学,40,优,NaN,5,40,0.8,15,68,26,12
20200327,13,七十四中学,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,米东区环保局,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,23,NaN
20200327,13,培训基地,52,良,颗粒物(PM10),17,53,0.8,10,78,69,10
20200327,14,监测站,52,良,颗粒物(PM10),32,53,0.7,30,69,29,14
20200327,14,收费所,52,良,颗粒物(PM10),11,53,0.6,22,63,30,13
20200327,14,新疆农科院农场,34,优,NaN,19,34,0.8,15,70,28,11
20200327,14,铁路局,42,优,NaN,19,42,0.5,26,66,31,10
20200327,14,三十一中学,44,优,NaN,17,44,0.8,13,77,34,12
20200327,14,七十四中学,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,米东区环保局,29,优,NaN,7,25,0.4,6,90,32,4
20200327,14,培训基地,57,良,颗粒物(PM10),18,63,0.8,9,81,71,NaN
20200327,15,监测站,42,优,NaN,29,40,0.7,22,71,37,12
20200327,15,收费所,52,良,颗粒物(PM10),21,53,NaN,NaN,NaN,33,NaN
20200327,15,新疆农科院农场,36,优,NaN,25,36,0.8,14,79,37,12
20200327,15,铁路局,40,优,NaN,18,40,0.5,20,71,39,12
20200327,15,三十一中学,33,优,NaN,13,33,0.8,12,78,44,9
20200327,15,七十四中学,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,米东区环保局,30,优,NaN,11,18,0.5,6,96,45,5
20200327,15,培训基地,58,良,颗粒物(PM10),12,66,0.9,9,77,73,8
20200327,17,监测站,43,优,NaN,6,43,0.7,20,78,55,12
20200327,17,收费所,56,良,颗粒物(PM10),30,61,0.6,NaN,71,52,12
20200327,17,新疆农科院农场,42,优,NaN,29,34,0.7,8,90,58,10
20200327,17,铁路局,48,优,NaN,18,48,0.4,16,82,57,10
20200327,17,三十一中学,44,优,NaN,6,44,0.8,11,81,62,9
20200327,17,七十四中学,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,17,米东区环保局,42,优,NaN,29,NaN,0.5,8,103,71,4
20200327,17,培训基地,70,良,颗粒物(PM10),26,89,0.8,22,75,76,8
20200330,11,监测站,138,轻度污染,颗粒物(PM10),56,225,0.9,43,35,16,8
20200330,11,收费所,155,中度污染,颗粒物(PM10),50,259,1.1,36,40,18,7
20200330,11,新疆农科院农场,54,良,颗粒物(PM10),34,58,0.8,18,33,11,5
20200330,11,铁路局,127,轻度污染,颗粒物(PM10),55,204,0.8,48,22,17,7
20200330,11,三十一中学,137,轻度污染,颗粒物(PM10),50,224,1.2,26,44,27,6
20200330,11,七十四中学,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,11,米东区环保局,52,良,颗粒物(PM10),14,54,0.6,8,66,59,3
20200330,11,培训基地,30,优,NaN,18,24,0.7,4,96,87,5
20200330,11,监测站,138,轻度污染,颗粒物(PM10),56,225,0.9,43,35,16,8
20200330,11,收费所,155,中度污染,颗粒物(PM10),50,259,1.1,36,40,18,7
20200330,11,新疆农科院农场,54,良,颗粒物(PM10),34,58,0.8,18,33,11,5
20200330,11,铁路局,127,轻度污染,颗粒物(PM10),55,204,0.8,48,22,17,7
20200330,11,三十一中学,137,轻度污染,颗粒物(PM10),50,224,1.2,26,44,27,6
20200330,11,七十四中学,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,11,米东区环保局,52,良,颗粒物(PM10),14,54,0.6,8,66,59,3
20200330,11,培训基地,30,优,NaN,18,24,0.7,4,96,87,5
