Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,19,跃进水库,38,优,NaN,26,34,0.5,2,36,63,4
20200326,19,州政府,43,优,NaN,25,43,0.5,16,69,76,9
20200326,19,吉首市计生局,38,优,NaN,26,38,0.6,16,63,67,7
20200326,20,跃进水库,40,优,NaN,28,33,0.5,3,22,61,5
20200326,20,州政府,49,优,NaN,29,49,0.6,23,49,75,11
20200326,20,吉首市计生局,46,优,NaN,27,46,1.0,51,17,64,9
20200327,10,跃进水库,13,优,NaN,7,8,0.4,3,39,46,4
20200327,10,州政府,25,优,NaN,17,19,NaN,9,47,53,5
20200327,10,吉首市计生局,17,优,NaN,7,14,0.3,10,53,51,5
20200327,11,跃进水库,14,优,NaN,7,8,0.4,3,43,46,4
20200327,11,州政府,19,优,NaN,13,18,0.3,10,50,52,7
20200327,11,吉首市计生局,14,优,NaN,4,14,0.4,28,37,49,5
20200327,12,跃进水库,17,优,NaN,5,8,0.3,3,53,46,4
20200327,12,州政府,20,优,NaN,10,20,0.3,8,56,52,5
20200327,12,吉首市计生局,16,优,NaN,9,13,0.7,NaN,50,49,5
20200327,13,跃进水库,17,优,NaN,3,7,0.4,2,52,46,5
20200327,13,州政府,19,优,NaN,3,15,0.3,8,58,52,4
20200327,13,吉首市计生局,20,优,NaN,14,15,0.4,NaN,53,49,5
20200327,14,跃进水库,16,优,NaN,3,6,0.4,3,50,46,5
20200327,14,州政府,18,优,NaN,2,12,0.3,8,57,53,3
20200327,14,吉首市计生局,16,优,NaN,10,NaN,NaN,12,50,49,NaN
20200327,15,跃进水库,15,优,NaN,4,6,0.4,3,46,46,5
20200327,15,州政府,19,优,NaN,4,11,0.3,8,58,54,5
20200327,15,吉首市计生局,19,优,NaN,13,NaN,0.1,17,NaN,49,4
20200327,17,跃进水库,15,优,NaN,2,5,0.3,1,45,47,5
20200327,17,州政府,18,优,NaN,5,11,0.2,7,56,55,5
20200327,17,吉首市计生局,17,优,NaN,6,NaN,1.0,10,53,50,4
20200330,11,跃进水库,15,优,NaN,9,12,0.3,2,48,23,4
20200330,11,州政府,22,优,NaN,15,20,0.4,9,56,39,8
20200330,11,吉首市计生局,19,优,NaN,10,19,0.5,15,54,44,5
20200330,11,跃进水库,15,优,NaN,9,12,0.3,2,48,23,4
20200330,11,州政府,22,优,NaN,15,20,0.4,9,56,39,8
20200330,11,吉首市计生局,19,优,NaN,10,19,0.5,15,54,44,5
