Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,19,市环保监测站,77,良,颗粒物(PM10),7,104,0.2,10,62,73,11
20200326,19,市政府,47,优,NaN,6,47,0.4,8,70,79,13
20200326,20,市环保监测站,59,良,颗粒物(PM10),4,67,0.2,5,67,72,11
20200326,20,市政府,27,优,NaN,5,27,0.4,5,70,78,12
20200327,10,市环保监测站,25,优,NaN,8,25,0.2,4,72,60,12
20200327,10,市政府,38,优,NaN,4,38,0.4,4,77,62,NaN
20200327,11,市环保监测站,32,优,NaN,7,32,0.2,3,72,62,12
20200327,11,市政府,26,优,NaN,6,26,NaN,NaN,77,64,13
20200327,12,市环保监测站,35,优,NaN,12,35,0.1,3,72,64,12
20200327,12,市政府,28,优,NaN,7,28,0.3,NaN,NaN,64,11
20200327,13,市环保监测站,50,优,NaN,6,50,0.1,2,75,66,11
20200327,13,市政府,NaN,,NaN,NaN,NaN,0.3,4,80,66,11
20200327,14,市环保监测站,64,良,颗粒物(PM10),6,77,0.1,2,76,69,11
20200327,14,市政府,NaN,,NaN,NaN,NaN,0.3,3,81,70,7
20200327,15,市环保监测站,66,良,颗粒物(PM10),5,82,0.1,2,75,71,10
20200327,15,市政府,69,良,颗粒物(PM10),6,87,0.3,4,80,73,12
20200327,17,市环保监测站,53,良,颗粒物(PM10),7,56,0.1,3,74,74,11
20200327,17,市政府,26,优,NaN,2,26,0.4,4,79,79,14
20200330,11,市环保监测站,57,良,颗粒物(PM10),27,64,0.2,6,89,70,12
20200330,11,市政府,46,优,NaN,19,46,0.2,10,91,65,34
20200330,11,市环保监测站,57,良,颗粒物(PM10),27,64,0.2,6,89,70,12
20200330,11,市政府,46,优,NaN,19,46,0.2,10,91,65,34
