Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,19,贺兰山马莲口,148,轻度污染,细颗粒物(PM2.5),113,139,0.8,32,58,39,12
20200326,19,银湖巷,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,19,宁安大街,72,良,颗粒物(PM10),34,94,0.7,37,52,52,94
20200326,19,宁化生活区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,19,贺兰山东路,56,良,颗粒物(PM10),25,61,0.8,26,84,82,16
20200326,19,学院路,57,良,颗粒物(PM10),25,63,0.5,22,90,84,17
20200326,19,水乡路(直管站),115,轻度污染,细颗粒物(PM2.5),87,112,0.9,34,74,56,16
20200326,19,上海东路,51,良,颗粒物(PM10),23,51,0.6,22,89,80,16
20200326,19,文昌北街,61,良,颗粒物(PM10),29,72,0.6,18,83,75,13
20200326,19,贺兰山马莲口(对照点),52,良,颗粒物(PM10),16,54,0.5,16,88,83,11
20200326,19,水乡路,54,良,颗粒物(PM10),21,58,0.6,24,87,85,12
20200326,20,贺兰山马莲口,148,轻度污染,细颗粒物(PM2.5),113,139,0.8,32,58,39,12
20200326,20,银湖巷,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,宁安大街,72,良,颗粒物(PM10),34,94,0.7,37,52,52,94
20200326,20,宁化生活区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,贺兰山东路,59,良,颗粒物(PM10),29,67,1.1,33,77,83,17
20200326,20,学院路,65,良,颗粒物(PM10),29,80,0.5,31,78,86,16
20200326,20,水乡路(直管站),115,轻度污染,细颗粒物(PM2.5),87,112,0.9,34,74,56,16
20200326,20,上海东路,53,良,颗粒物(PM10),24,56,0.6,28,80,83,18
20200326,20,文昌北街,63,良,颗粒物(PM10),32,75,0.6,23,76,78,12
20200326,20,贺兰山马莲口(对照点),54,良,颗粒物(PM10),17,57,0.5,15,82,84,10
20200326,20,水乡路,55,良,颗粒物(PM10),24,60,0.7,40,74,86,14
20200327,10,贺兰山马莲口,148,轻度污染,细颗粒物(PM2.5),113,139,0.8,32,58,39,12
20200327,10,银湖巷,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,宁安大街,72,良,颗粒物(PM10),34,94,0.7,37,52,52,94
20200327,10,宁化生活区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,贺兰山东路,30,优,NaN,12,30,0.7,16,47,42,9
20200327,10,学院路,40,优,NaN,11,40,0.3,17,51,44,12
20200327,10,水乡路(直管站),115,轻度污染,细颗粒物(PM2.5),87,112,0.9,34,74,56,16
20200327,10,上海东路,35,优,NaN,11,35,0.5,17,47,44,12
20200327,10,文昌北街,47,优,NaN,19,47,0.5,15,51,44,10
20200327,10,贺兰山马莲口(对照点),49,优,NaN,14,49,0.6,10,67,62,19
20200327,10,水乡路,40,优,NaN,7,40,0.6,26,43,41,11
20200327,11,贺兰山马莲口,148,轻度污染,细颗粒物(PM2.5),113,139,0.8,32,58,39,12
20200327,11,银湖巷,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,宁安大街,72,良,颗粒物(PM10),34,94,0.7,37,52,52,94
20200327,11,宁化生活区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,贺兰山东路,36,优,NaN,12,36,0.6,16,54,42,9
20200327,11,学院路,42,优,NaN,7,42,0.3,15,60,46,12
20200327,11,水乡路(直管站),115,轻度污染,细颗粒物(PM2.5),87,112,0.9,34,74,56,16
20200327,11,上海东路,30,优,NaN,11,30,0.5,18,51,44,13
20200327,11,文昌北街,44,优,NaN,18,44,0.5,14,58,45,13
20200327,11,贺兰山马莲口(对照点),44,优,NaN,10,44,0.9,16,63,63,26
20200327,11,水乡路,47,优,NaN,13,47,0.5,22,53,41,10
20200327,12,贺兰山马莲口,148,轻度污染,细颗粒物(PM2.5),113,139,0.8,32,58,39,12
20200327,12,银湖巷,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,宁安大街,72,良,颗粒物(PM10),34,94,0.7,37,52,52,94
20200327,12,宁化生活区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,贺兰山东路,36,优,NaN,18,36,0.6,17,60,46,9
20200327,12,学院路,40,优,NaN,7,40,0.3,15,68,50,12
20200327,12,水乡路(直管站),115,轻度污染,细颗粒物(PM2.5),87,112,0.9,34,74,56,16
20200327,12,上海东路,36,优,NaN,12,36,0.5,17,60,46,12
20200327,12,文昌北街,42,优,NaN,22,42,0.5,12,63,48,10
20200327,12,贺兰山马莲口(对照点),41,优,NaN,9,41,0.9,14,68,64,24
20200327,12,水乡路,48,优,NaN,10,48,0.5,22,61,43,10
20200327,13,贺兰山马莲口,148,轻度污染,细颗粒物(PM2.5),113,139,0.8,32,58,39,12
20200327,13,银湖巷,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,宁安大街,72,良,颗粒物(PM10),34,94,0.7,37,52,52,94
20200327,13,宁化生活区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,贺兰山东路,39,优,NaN,22,39,0.6,13,76,50,8
20200327,13,学院路,45,优,NaN,7,45,0.3,13,79,54,11
20200327,13,水乡路(直管站),115,轻度污染,细颗粒物(PM2.5),87,112,0.9,34,74,56,16
20200327,13,上海东路,35,优,NaN,9,35,0.5,16,70,50,11
20200327,13,文昌北街,45,优,NaN,23,45,0.5,12,69,52,10
20200327,13,贺兰山马莲口(对照点),41,优,NaN,7,41,0.7,10,75,66,19
20200327,13,水乡路,40,优,NaN,13,40,0.5,18,73,47,9
20200327,14,贺兰山马莲口,148,轻度污染,细颗粒物(PM2.5),113,139,0.8,32,58,39,12
20200327,14,银湖巷,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
