Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,19,龙虎山,29,优,NaN,15,18,0.4,5,91,92,10
20200326,19,新监测站,46,优,NaN,32,34,0.6,18,62,73,12
20200326,19,财苑宾馆,43,优,NaN,30,NaN,0.5,23,61,76,7
20200326,19,体育馆,33,优,NaN,23,32,0.6,18,68,78,10
20200326,19,三川水表,26,优,NaN,18,NaN,0.5,14,73,76,8
20200326,20,龙虎山,29,优,NaN,14,16,0.4,5,91,92,9
20200326,20,新监测站,35,优,NaN,24,24,0.6,13,NaN,71,9
20200326,20,财苑宾馆,38,优,NaN,26,27,0.5,16,72,73,5
20200326,20,体育馆,29,优,NaN,20,27,0.5,14,76,74,6
20200326,20,三川水表,25,优,NaN,16,24,0.5,9,79,74,8
20200327,10,龙虎山,57,良,细颗粒物(PM2.5),40,NaN,0.6,15,57,60,26
20200327,10,新监测站,40,优,NaN,28,31,0.7,9,63,63,35
20200327,10,财苑宾馆,33,优,NaN,23,NaN,NaN,2,49,49,14
20200327,10,体育馆,43,优,NaN,30,NaN,0.7,12,68,68,27
20200327,10,三川水表,46,优,NaN,32,37,0.6,13,67,68,23
20200327,11,龙虎山,60,良,细颗粒物(PM2.5),43,NaN,0.6,16,57,60,35
20200327,11,新监测站,32,优,NaN,22,22,0.7,7,71,63,22
20200327,11,财苑宾馆,25,优,NaN,15,NaN,NaN,5,77,63,23
20200327,11,体育馆,33,优,NaN,23,24,0.6,10,77,69,23
20200327,11,三川水表,32,优,NaN,22,27,0.5,10,77,69,22
20200327,12,龙虎山,52,良,细颗粒物(PM2.5),36,NaN,0.8,20,38,57,28
20200327,12,新监测站,36,优,NaN,25,NaN,0.7,14,46,60,12
20200327,12,财苑宾馆,29,优,NaN,20,NaN,0.5,15,44,57,17
20200327,12,体育馆,33,优,NaN,23,31,0.8,16,44,64,13
20200327,12,三川水表,39,优,NaN,27,NaN,0.7,NaN,37,64,17
20200327,13,龙虎山,26,优,NaN,18,NaN,0.8,19,16,50,13
20200327,13,新监测站,26,优,NaN,18,NaN,0.9,18,15,52,14
20200327,13,财苑宾馆,19,优,NaN,13,NaN,0.6,18,19,47,15
20200327,13,体育馆,26,优,NaN,18,22,0.8,17,19,56,8
20200327,13,三川水表,20,优,NaN,14,18,0.7,NaN,18,56,NaN
20200327,14,龙虎山,25,优,NaN,17,NaN,0.7,16,22,46,10
20200327,14,新监测站,22,优,NaN,15,NaN,0.8,17,21,46,14
20200327,14,财苑宾馆,15,优,NaN,10,NaN,0.4,16,25,43,12
20200327,14,体育馆,19,优,NaN,13,NaN,0.7,15,25,50,7
20200327,14,三川水表,12,优,NaN,2,12,0.6,17,23,50,NaN
20200327,15,龙虎山,16,优,NaN,11,12,0.7,16,22,41,10
20200327,15,新监测站,26,优,NaN,18,NaN,NaN,NaN,NaN,44,NaN
20200327,15,财苑宾馆,23,优,NaN,16,NaN,0.4,17,24,40,9
20200327,15,体育馆,26,优,NaN,18,18,0.7,20,21,45,10
20200327,15,三川水表,24,优,NaN,2,24,0.7,17,NaN,48,9
20200327,17,龙虎山,22,优,NaN,15,NaN,0.6,20,24,32,10
20200327,17,新监测站,26,优,NaN,18,NaN,0.7,26,26,40,12
20200327,17,财苑宾馆,25,优,NaN,17,NaN,0.4,17,33,36,12
20200327,17,体育馆,23,优,NaN,16,18,0.6,18,32,38,8
20200327,17,三川水表,15,优,NaN,4,15,NaN,19,30,42,11
20200330,11,龙虎山,19,优,NaN,13,13,NaN,NaN,40,40,NaN
20200330,11,新监测站,16,优,NaN,11,14,0.6,13,47,45,6
20200330,11,财苑宾馆,26,优,NaN,18,NaN,0.5,8,53,49,9
20200330,11,体育馆,25,优,NaN,17,NaN,0.4,9,NaN,84,6
20200330,11,三川水表,16,优,NaN,10,16,0.1,7,49,42,7
20200330,11,龙虎山,19,优,NaN,13,13,NaN,NaN,40,40,NaN
20200330,11,新监测站,16,优,NaN,11,14,0.6,13,47,45,6
20200330,11,财苑宾馆,26,优,NaN,18,NaN,0.5,8,53,49,9
20200330,11,体育馆,25,优,NaN,17,NaN,0.4,9,NaN,84,6
20200330,11,三川水表,16,优,NaN,10,16,0.1,7,49,42,7
