Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,19,南湖风景区,32,优,NaN,22,24,0.9,31,53,65,12
20200326,19,城陵矶,33,优,NaN,23,32,1.0,60,26,65,21
20200326,19,开发区,23,优,NaN,16,22,0.8,30,53,68,6
20200326,19,云溪区,30,优,NaN,21,30,0.9,16,70,77,5
20200326,19,君山区,28,优,NaN,19,26,0.9,24,62,73,6
20200326,19,金凤水库,26,优,NaN,18,25,0.7,23,61,68,6
20200326,20,南湖风景区,35,优,NaN,24,29,0.8,42,36,62,6
20200326,20,城陵矶,52,良,颗粒物(PM10),27,53,0.9,36,35,61,13
20200326,20,开发区,32,优,NaN,19,32,0.8,49,28,63,8
20200326,20,云溪区,50,优,NaN,35,45,0.9,27,50,75,5
20200326,20,君山区,36,优,NaN,25,33,0.8,25,54,71,6
20200326,20,金凤水库,36,优,NaN,25,31,0.8,29,42,66,5
20200327,10,南湖风景区,16,优,NaN,11,14,0.6,22,34,34,4
20200327,10,城陵矶,14,优,NaN,8,14,0.7,22,40,41,5
20200327,10,开发区,20,优,NaN,14,NaN,0.7,16,38,40,4
20200327,10,云溪区,20,优,NaN,14,14,0.5,16,46,45,5
20200327,10,君山区,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,46,NaN
20200327,10,金凤水库,16,优,NaN,7,16,0.6,14,42,40,4
20200327,11,南湖风景区,19,优,NaN,12,19,0.6,21,35,36,4
20200327,11,城陵矶,16,优,NaN,11,12,0.7,20,43,42,5
20200327,11,开发区,19,优,NaN,13,NaN,0.7,16,39,40,3
20200327,11,云溪区,19,优,NaN,13,16,0.5,16,46,46,4
20200327,11,君山区,18,优,NaN,12,NaN,0.8,12,49,44,14
20200327,11,金凤水库,18,优,NaN,12,16,0.6,15,40,41,4
20200327,12,南湖风景区,22,优,NaN,15,18,0.5,18,37,36,4
20200327,12,城陵矶,13,优,NaN,9,12,0.8,20,41,42,5
20200327,12,开发区,18,优,NaN,12,14,0.7,16,38,40,3
20200327,12,云溪区,16,优,NaN,11,11,0.6,16,46,46,4
20200327,12,君山区,19,优,NaN,13,NaN,0.8,12,48,44,8
20200327,12,金凤水库,18,优,NaN,12,14,0.6,16,40,41,4
20200327,13,南湖风景区,24,优,NaN,14,24,0.5,18,37,36,3
20200327,13,城陵矶,20,优,NaN,14,18,0.8,19,44,42,5
20200327,13,开发区,15,优,NaN,9,15,0.7,14,41,40,3
20200327,13,云溪区,20,优,NaN,14,15,0.5,16,47,46,4
20200327,13,君山区,15,优,NaN,8,13,0.8,12,47,44,6
20200327,13,金凤水库,20,优,NaN,14,16,0.6,15,42,41,4
20200327,14,南湖风景区,19,优,NaN,12,19,0.5,17,40,36,3
20200327,14,城陵矶,18,优,NaN,12,15,0.7,19,46,43,5
20200327,14,开发区,16,优,NaN,9,16,0.7,15,42,40,3
20200327,14,云溪区,18,优,NaN,12,12,0.6,16,48,46,4
20200327,14,君山区,20,优,NaN,14,16,0.8,13,48,44,6
20200327,14,金凤水库,20,优,NaN,14,17,0.6,15,45,42,4
20200327,15,南湖风景区,35,优,NaN,24,NaN,0.5,16,42,37,2
20200327,15,城陵矶,19,优,NaN,13,NaN,0.7,30,35,42,8
20200327,15,开发区,18,优,NaN,9,18,0.8,18,39,39,4
20200327,15,云溪区,20,优,NaN,14,15,0.6,16,48,46,4
20200327,15,君山区,23,优,NaN,16,18,0.8,13,51,44,6
20200327,15,金凤水库,20,优,NaN,14,19,0.6,16,45,42,4
20200327,17,南湖风景区,36,优,NaN,25,26,0.5,17,44,39,1
20200327,17,城陵矶,28,优,NaN,15,28,0.8,28,41,41,6
20200327,17,开发区,16,优,NaN,11,14,0.9,21,38,39,5
20200327,17,云溪区,23,优,NaN,15,23,0.6,16,49,47,4
20200327,17,君山区,19,优,NaN,8,9,0.8,13,59,51,6
20200327,17,金凤水库,17,优,NaN,11,17,0.6,16,48,44,4
20200330,11,南湖风景区,33,优,NaN,23,32,0.8,20,37,40,4
20200330,11,城陵矶,34,优,NaN,20,34,0.7,28,34,35,6
20200330,11,开发区,25,优,NaN,17,22,0.6,22,37,36,4
20200330,11,云溪区,24,优,NaN,16,24,0.7,13,52,45,4
20200330,11,君山区,29,优,NaN,20,26,0.9,10,56,49,6
20200330,11,金凤水库,32,优,NaN,22,24,0.5,13,52,43,8
20200330,11,南湖风景区,33,优,NaN,23,32,0.8,20,37,40,4
20200330,11,城陵矶,34,优,NaN,20,34,0.7,28,34,35,6
20200330,11,开发区,25,优,NaN,17,22,0.6,22,37,36,4
20200330,11,云溪区,24,优,NaN,16,24,0.7,13,52,45,4
20200330,11,君山区,29,优,NaN,20,26,0.9,10,56,49,6
20200330,11,金凤水库,32,优,NaN,22,24,0.5,13,52,43,8
