Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,19,东风水库,42,优,NaN,24,NaN,0.7,9,133,140,7
20200326,19,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,19,大营街镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,19,玉溪一中,40,优,NaN,25,37,0.6,13,125,131,4
20200326,19,文体中心,46,优,NaN,27,46,0.7,13,123,132,6
20200326,20,东风水库,52,良,颗粒物(PM10),26,53,0.7,14,122,136,8
20200326,20,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,大营街镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,玉溪一中,43,优,NaN,27,43,0.6,16,115,128,4
20200326,20,文体中心,45,优,NaN,31,45,0.8,24,106,128,8
20200327,10,东风水库,72,良,细颗粒物(PM2.5),52,72,1.7,25,73,58,13
20200327,10,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,大营街镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,玉溪一中,87,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",64,124,2.4,52,42,21,15
20200327,10,文体中心,77,良,细颗粒物(PM2.5),56,97,3.2,52,52,40,24
20200327,11,东风水库,69,良,细颗粒物(PM2.5),50,86,1.5,29,100,67,12
20200327,11,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,大营街镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,11,玉溪一中,78,良,细颗粒物(PM2.5),57,98,1.8,43,81,28,12
20200327,11,文体中心,73,良,颗粒物(PM10),50,95,1.5,32,96,46,14
20200327,12,东风水库,63,良,颗粒物(PM10),39,76,0.8,10,135,76,8
20200327,12,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,大营街镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,12,玉溪一中,64,良,颗粒物(PM10),38,78,0.7,12,125,42,5
20200327,12,文体中心,58,良,颗粒物(PM10),37,66,0.8,12,120,53,7
20200327,13,东风水库,48,优,NaN,31,48,0.7,6,133,82,7
20200327,13,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,大营街镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,13,玉溪一中,48,优,NaN,33,48,0.7,10,124,57,3
20200327,13,文体中心,46,优,NaN,32,46,0.8,8,121,63,5
20200327,14,东风水库,45,优,NaN,30,45,0.7,6,134,91,7
20200327,14,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,大营街镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,14,玉溪一中,45,优,NaN,31,43,0.6,9,127,72,4
20200327,14,文体中心,46,优,NaN,32,42,0.8,9,124,77,6
20200327,15,东风水库,46,优,NaN,30,45,0.8,7,147,102,7
20200327,15,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,大营街镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,15,玉溪一中,49,优,NaN,31,49,0.7,10,140,87,4
20200327,15,文体中心,47,优,NaN,31,47,0.9,10,138,90,7
20200327,17,东风水库,52,良,颗粒物(PM10),30,54,0.8,9,150,128,7
20200327,17,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,17,大营街镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,17,玉溪一中,50,优,NaN,31,50,0.7,11,137,114,4
20200327,17,文体中心,54,良,颗粒物(PM10),34,58,NaN,10,125,114,7
20200330,11,东风水库,75,良,颗粒物(PM10),42,99,1.0,19,123,73,12
20200330,11,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,11,大营街镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,11,玉溪一中,72,良,颗粒物(PM10),40,94,0.9,18,116,36,10
20200330,11,文体中心,71,良,颗粒物(PM10),40,92,0.9,19,117,64,11
20200330,11,东风水库,75,良,颗粒物(PM10),42,99,1.0,19,123,73,12
20200330,11,市监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,11,大营街镇,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200330,11,玉溪一中,72,良,颗粒物(PM10),40,94,0.9,18,116,36,10
20200330,11,文体中心,71,良,颗粒物(PM10),40,92,0.9,19,117,64,11
