Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,19,环境监测站,168,中度污染,细颗粒物(PM2.5),127,181,1.9,61,33,15,40
20200326,19,明水开发区,20,优,NaN,7,11,0.4,16,61,51,10
20200326,19,东山小学(新增191218),20,优,NaN,13,20,0.4,14,63,60,2
20200326,20,环境监测站,168,中度污染,细颗粒物(PM2.5),127,181,1.9,61,33,15,40
20200326,20,明水开发区,32,优,NaN,22,24,0.4,17,60,60,10
20200326,20,东山小学(新增191218),29,优,NaN,20,27,0.4,14,67,66,2
20200327,10,环境监测站,168,中度污染,细颗粒物(PM2.5),127,181,1.9,61,33,15,40
20200327,10,明水开发区,71,良,颗粒物(PM10),23,91,1.2,25,57,47,26
20200327,10,东山小学(新增191218),67,良,颗粒物(PM10),21,84,1.5,22,62,51,17
20200327,11,环境监测站,168,中度污染,细颗粒物(PM2.5),127,181,1.9,61,33,15,40
20200327,11,明水开发区,68,良,颗粒物(PM10),16,85,1.1,16,72,50,21
20200327,11,东山小学(新增191218),61,良,颗粒物(PM10),12,72,1.1,13,79,55,11
20200327,12,环境监测站,168,中度污染,细颗粒物(PM2.5),127,181,1.9,61,33,15,40
20200327,12,明水开发区,62,良,颗粒物(PM10),12,74,1.1,15,77,55,19
20200327,12,东山小学(新增191218),60,良,颗粒物(PM10),13,69,1.3,13,82,60,11
20200327,13,环境监测站,168,中度污染,细颗粒物(PM2.5),127,181,1.9,61,33,15,40
20200327,13,明水开发区,59,良,颗粒物(PM10),9,68,0.7,15,75,59,17
20200327,13,东山小学(新增191218),60,良,颗粒物(PM10),13,69,1.0,14,80,63,10
20200327,14,环境监测站,168,中度污染,细颗粒物(PM2.5),127,181,1.9,61,33,15,40
20200327,14,明水开发区,54,良,颗粒物(PM10),7,58,0.5,12,81,63,14
20200327,14,东山小学(新增191218),52,良,颗粒物(PM10),9,53,0.8,11,85,68,8
20200327,15,环境监测站,168,中度污染,细颗粒物(PM2.5),127,181,1.9,61,33,15,40
20200327,15,明水开发区,54,良,颗粒物(PM10),7,58,0.5,12,81,63,14
20200327,15,东山小学(新增191218),41,优,NaN,12,41,0.7,8,91,73,5
20200327,17,环境监测站,168,中度污染,细颗粒物(PM2.5),127,181,1.9,61,33,15,40
20200327,17,明水开发区,54,良,颗粒物(PM10),7,58,0.5,12,81,63,14
20200327,17,东山小学(新增191218),37,优,NaN,9,37,0.6,9,94,83,5
20200330,11,环境监测站,168,中度污染,细颗粒物(PM2.5),127,181,1.9,61,33,15,40
20200330,11,明水开发区,83,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",61,115,0.7,64,15,28,21
20200330,11,东山小学(新增191218),99,良,细颗粒物(PM2.5),74,141,1.0,17,110,46,17
20200330,11,环境监测站,168,中度污染,细颗粒物(PM2.5),127,181,1.9,61,33,15,40
20200330,11,明水开发区,83,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",61,115,0.7,64,15,28,21
20200330,11,东山小学(新增191218),99,良,细颗粒物(PM2.5),74,141,1.0,17,110,46,17
