Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,19,监测站,46,优,NaN,9,46,0.3,14,84,90,7
20200326,19,科委,31,优,NaN,5,31,0.4,12,89,95,6
20200326,20,监测站,49,优,NaN,12,49,0.3,16,79,89,7
20200326,20,科委,44,优,NaN,5,44,0.4,13,82,94,6
20200327,10,监测站,40,优,NaN,16,40,0.6,34,48,57,12
20200327,10,科委,46,优,NaN,11,46,0.5,33,54,58,7
20200327,11,监测站,42,优,NaN,19,42,0.4,27,58,57,13
20200327,11,科委,40,优,NaN,22,40,0.7,39,53,58,8
20200327,12,监测站,40,优,NaN,14,40,0.4,21,71,58,13
20200327,12,科委,42,优,NaN,29,34,0.6,26,70,60,10
20200327,13,监测站,33,优,NaN,13,33,0.4,16,83,61,12
20200327,13,科委,39,优,NaN,27,31,0.4,20,82,62,9
20200327,14,监测站,40,优,NaN,17,40,0.4,16,88,66,11
20200327,14,科委,35,优,NaN,21,35,0.4,18,89,66,9
20200327,15,监测站,43,优,NaN,21,43,0.4,17,93,70,10
20200327,15,科委,59,良,颗粒物(PM10),15,68,0.4,17,95,70,9
20200327,17,监测站,43,优,NaN,15,43,0.4,16,92,79,7
20200327,17,科委,50,优,NaN,18,50,0.4,16,97,80,9
20200330,11,监测站,49,优,NaN,29,49,0.4,14,96,82,15
20200330,11,科委,61,良,颗粒物(PM10),29,72,0.4,13,NaN,NaN,8
20200330,11,监测站,49,优,NaN,29,49,0.4,14,96,82,15
20200330,11,科委,61,良,颗粒物(PM10),29,72,0.4,13,NaN,NaN,8
