Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,19,蓝田,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,19,漳州三中,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,19,九湖,42,优,NaN,13,42,0.5,27,64,76,16
20200326,19,蓝田镇,45,优,NaN,14,45,0.6,28,41,76,5
20200326,19,蓝田(停运160601),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,19,九湖(对照点),39,优,NaN,16,39,0.5,20,38,82,3
20200326,19,蓝田镇(启用160601),53,良,颗粒物(PM10),34,56,0.6,42,21,34,4
20200326,19,漳州党校(20190503启用),54,良,颗粒物(PM10),37,58,0.9,32,30,39,6
20200326,19,漳州党校,44,优,NaN,17,44,0.6,16,52,89,5
20200326,20,蓝田,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,漳州三中,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,九湖,42,优,NaN,13,42,0.5,27,64,76,16
20200326,20,蓝田镇,22,优,NaN,9,22,0.7,16,46,70,6
20200326,20,蓝田(停运160601),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200326,20,九湖(对照点),53,良,颗粒物(PM10),19,55,0.4,14,45,75,2
20200326,20,蓝田镇(启用160601),53,良,颗粒物(PM10),34,56,0.6,42,21,34,4
20200326,20,漳州党校(20190503启用),54,良,颗粒物(PM10),37,58,0.9,32,30,39,6
20200326,20,漳州党校,33,优,NaN,9,33,0.8,23,43,83,5
20200327,10,蓝田,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,漳州三中,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,九湖,42,优,NaN,13,42,0.5,27,64,76,16
20200327,10,蓝田镇,48,优,NaN,18,48,NaN,24,24,9,8
20200327,10,蓝田(停运160601),NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200327,10,九湖(对照点),57,良,颗粒物(PM10),33,63,0.4,14,38,13,4
20200327,10,蓝田镇(启用160601),53,良,颗粒物(PM10),34,56,0.6,42,21,34,4
20200327,10,漳州党校(20190503启用),54,良,颗粒物(PM10),37,58,0.9,32,30,39,6
20200327,10,漳州党校,48,优,NaN,21,48,0.7,19,32,10,8
20200327,11,蓝田,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
