Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200326,19,莲花山,161,中度污染,颗粒物(PM10),96,271,0.5,5,92,137,6
20200326,19,资阳中学,335,严重污染,颗粒物(PM10),109,448,0.5,12,95,140,10
20200326,19,四三一厂,185,中度污染,颗粒物(PM10),97,320,0.5,16,92,137,11
20200326,19,师范校,185,中度污染,颗粒物(PM10),104,320,0.5,20,91,142,8
20200326,19,区法院,152,中度污染,颗粒物(PM10),94,254,0.5,14,92,141,9
20200326,20,莲花山,245,重度污染,颗粒物(PM10),137,381,0.6,5,84,132,5
20200326,20,资阳中学,404,严重污染,颗粒物(PM10),139,504,0.5,8,88,135,9
20200326,20,四三一厂,322,严重污染,颗粒物(PM10),125,437,0.4,13,74,130,9
20200326,20,师范校,357,严重污染,颗粒物(PM10),141,465,0.5,17,85,136,8
20200326,20,区法院,193,中度污染,颗粒物(PM10),125,336,0.5,13,85,135,9
20200327,10,莲花山,27,优,NaN,6,27,0.3,6,45,59,5
20200327,10,资阳中学,27,优,NaN,8,27,0.5,19,45,62,8
20200327,10,四三一厂,28,优,NaN,19,NaN,0.4,26,47,66,9
20200327,10,师范校,28,优,NaN,15,28,0.5,28,45,64,7
20200327,10,区法院,19,优,NaN,8,18,0.3,16,58,64,7
20200327,11,莲花山,19,优,NaN,4,19,0.4,9,43,56,5
20200327,11,资阳中学,28,优,NaN,7,28,0.5,22,36,57,10
20200327,11,四三一厂,29,优,NaN,15,29,0.5,27,40,62,9
20200327,11,师范校,29,优,NaN,12,29,0.5,24,44,61,7
20200327,11,区法院,18,优,NaN,6,18,0.3,22,42,60,8
20200327,12,莲花山,17,优,NaN,7,12,0.4,5,53,54,5
20200327,12,资阳中学,30,优,NaN,1,30,0.5,17,51,55,10
20200327,12,四三一厂,31,优,NaN,6,31,0.5,28,49,59,11
20200327,12,师范校,20,优,NaN,8,13,0.5,19,61,60,7
20200327,12,区法院,20,优,NaN,9,20,0.4,20,54,58,9
20200327,13,莲花山,23,优,NaN,8,20,0.5,5,71,55,5
20200327,13,资阳中学,29,优,NaN,1,29,0.4,10,73,56,8
20200327,13,四三一厂,24,优,NaN,3,24,0.4,15,75,60,10
20200327,13,师范校,24,优,NaN,5,15,0.5,14,75,60,7
20200327,13,区法院,26,优,NaN,13,26,0.4,13,75,60,7
20200327,14,莲花山,27,优,NaN,8,27,0.5,2,74,57,5
20200327,14,资阳中学,39,优,NaN,6,39,0.4,9,76,56,8
20200327,14,四三一厂,25,优,NaN,6,20,0.5,13,78,60,9
20200327,14,师范校,25,优,NaN,6,12,0.5,13,78,61,6
20200327,14,区法院,24,优,NaN,12,24,0.4,11,75,60,7
20200327,15,莲花山,25,优,NaN,8,25,0.4,3,77,59,5
20200327,15,资阳中学,97,良,颗粒物(PM10),9,144,0.4,11,76,58,8
20200327,15,四三一厂,25,优,NaN,9,17,0.4,11,80,62,9
20200327,15,师范校,25,优,NaN,7,14,0.5,11,80,63,6
20200327,15,区法院,24,优,NaN,7,24,0.3,12,76,62,7
20200327,17,莲花山,25,优,NaN,4,24,0.3,2,80,66,5
20200327,17,资阳中学,27,优,NaN,8,NaN,0.4,8,84,66,7
20200327,17,四三一厂,26,优,NaN,9,22,0.4,12,83,67,8
20200327,17,师范校,27,优,NaN,11,14,0.4,10,85,69,6
20200327,17,区法院,26,优,NaN,5,11,0.3,10,81,68,7
20200330,11,莲花山,27,优,NaN,15,27,0.6,10,45,27,5
20200330,11,资阳中学,30,优,NaN,21,NaN,0.5,10,48,31,7
20200330,11,四三一厂,33,优,NaN,11,33,0.5,12,55,35,8
20200330,11,师范校,24,优,NaN,16,24,0.5,10,53,33,6
20200330,11,区法院,28,优,NaN,19,26,0.4,14,46,30,6
20200330,12,莲花山,19,优,NaN,6,14,0.6,9,58,31,5
20200330,12,资阳中学,20,优,NaN,7,13,0.5,9,61,36,6
20200330,12,四三一厂,22,优,NaN,5,18,0.5,12,68,40,8
20200330,12,师范校,22,优,NaN,6,13,0.5,10,68,38,6
20200330,12,区法院,20,优,NaN,8,14,0.4,13,61,34,5
