Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,河东子站,15,优,NaN,10,15,0.4,9,31,35,3
20200402,08,河西子站,26,优,NaN,12,26,0.4,12,24,28,2
20200402,09,河东子站,21,优,NaN,12,21,0.4,6,38,35,2
20200402,09,河西子站,25,优,NaN,13,25,0.4,10,36,29,1
20200402,10,河东子站,21,优,NaN,12,21,0.4,6,37,35,2
20200402,10,河西子站,27,优,NaN,12,27,0.4,8,41,30,1
20200402,11,河东子站,NaN,,NaN,NaN,NaN,0.4,6,NaN,35,3
20200402,11,河西子站,28,优,NaN,11,28,0.4,7,46,33,1
20200402,12,河东子站,28,优,NaN,14,28,NaN,5,44,36,4
20200402,12,河西子站,19,优,NaN,10,19,0.4,5,51,35,1
20200402,13,河东子站,23,优,NaN,13,23,0.3,5,46,38,NaN
20200402,13,河西子站,19,优,NaN,9,19,0.4,4,53,38,1
20200402,14,河东子站,22,优,NaN,11,22,0.3,NaN,47,39,5
20200402,14,河西子站,18,优,NaN,9,18,0.4,4,54,41,1
20200402,15,河东子站,20,优,NaN,11,20,0.3,4,45,41,3
20200402,15,河西子站,17,优,NaN,8,17,0.4,4,49,44,1
20200402,16,河东子站,24,优,NaN,10,24,0.3,5,45,43,2
20200402,16,河西子站,20,优,NaN,8,20,0.4,5,49,47,1
20200402,17,河东子站,21,优,NaN,11,21,0.3,5,43,44,2
20200402,17,河西子站,24,优,NaN,9,24,0.4,4,47,49,1
20200402,18,河东子站,21,优,NaN,13,21,0.3,5,43,45,1
20200402,18,河西子站,23,优,NaN,11,23,0.4,8,43,49,1
20200402,19,河东子站,21,优,NaN,13,21,0.4,6,41,44,1
20200402,19,河西子站,31,优,NaN,10,31,0.4,6,44,49,1
20200402,20,河东子站,30,优,NaN,16,30,0.4,5,44,44,1
20200402,20,河西子站,26,优,NaN,11,26,0.4,5,48,48,1
20200402,20,河东子站,30,优,NaN,16,30,0.4,5,44,44,1
20200402,20,河西子站,26,优,NaN,11,26,0.4,5,48,48,1
20200402,22,河东子站,21,优,NaN,12,21,0.4,4,40,43,1
20200402,22,河西子站,25,优,NaN,10,25,0.4,5,44,46,1
20200402,23,河东子站,20,优,NaN,13,20,0.4,5,39,42,1
20200402,23,河西子站,24,优,NaN,10,24,0.4,5,42,46,1
20200403,00,河东子站,18,优,NaN,11,18,0.4,5,39,42,1
20200403,00,河西子站,28,优,NaN,9,28,0.4,5,42,45,1
20200403,01,河东子站,17,优,NaN,9,17,0.4,4,39,39,1
20200403,01,河西子站,23,优,NaN,8,23,0.4,5,42,42,1
20200403,02,河东子站,21,优,NaN,9,21,0.4,4,39,39,1
20200403,02,河西子站,18,优,NaN,7,18,0.4,5,41,42,1
20200403,03,河东子站,18,优,NaN,8,18,0.4,3,38,39,1
20200403,03,河西子站,14,优,NaN,7,12,0.4,4,42,42,1
20200403,03,河东子站,18,优,NaN,8,18,0.4,3,38,39,1
20200403,03,河西子站,14,优,NaN,7,12,0.4,4,42,42,1
20200403,08,河东子站,20,优,NaN,9,20,0.4,6,38,38,1
20200403,08,河西子站,24,优,NaN,9,24,0.4,6,40,41,1
20200403,09,河东子站,16,优,NaN,10,16,0.4,5,41,39,1
20200403,09,河西子站,31,优,NaN,10,31,0.4,8,40,41,1
20200403,10,河东子站,25,优,NaN,10,25,0.4,5,44,39,2
20200403,10,河西子站,26,优,NaN,9,26,0.4,5,46,41,1
20200403,11,河东子站,23,优,NaN,11,23,0.4,6,44,40,2
20200403,11,河西子站,22,优,NaN,9,22,0.4,4,48,42,1
20200403,12,河东子站,24,优,NaN,12,24,0.4,7,44,41,2
20200403,12,河西子站,16,优,NaN,8,16,0.4,4,49,43,1
20200403,13,河东子站,25,优,NaN,12,25,0.4,5,46,42,2
20200403,13,河西子站,18,优,NaN,8,18,0.4,3,48,44,1
20200403,14,河东子站,24,优,NaN,10,24,0.3,4,48,43,2
20200403,14,河西子站,18,优,NaN,8,18,0.4,3,51,45,1
20200403,15,河东子站,26,优,NaN,11,26,0.3,4,48,44,2
20200403,15,河西子站,17,优,NaN,9,17,0.4,3,50,46,1
20200403,16,河东子站,20,优,NaN,10,20,0.3,5,47,45,2
20200403,16,河西子站,20,优,NaN,9,20,0.4,4,50,48,1
20200403,17,河东子站,24,优,NaN,11,24,0.3,5,47,46,2
20200403,17,河西子站,23,优,NaN,10,23,0.4,4,50,49,1
20200403,18,河东子站,33,优,NaN,12,33,0.3,5,44,46,2
20200403,18,河西子站,22,优,NaN,11,22,0.4,4,46,49,1
20200403,19,河东子站,25,优,NaN,14,25,0.4,5,46,46,2
20200403,19,河西子站,48,优,NaN,11,48,0.4,4,48,49,1
20200403,20,河东子站,28,优,NaN,15,28,0.4,5,45,46,2
20200403,20,河西子站,35,优,NaN,13,35,0.4,5,49,49,1
20200403,21,河东子站,23,优,NaN,13,23,0.4,5,47,46,2
20200403,21,河西子站,27,优,NaN,12,27,0.4,5,49,49,1
20200403,22,河东子站,24,优,NaN,13,24,0.4,4,45,46,1
20200403,22,河西子站,33,优,NaN,11,33,0.4,6,46,48,1
20200403,23,河东子站,21,优,NaN,12,21,0.4,5,45,46,2
20200403,23,河西子站,30,优,NaN,11,30,0.4,6,46,48,1
20200404,00,河东子站,21,优,NaN,13,21,0.4,5,45,46,2
20200404,00,河西子站,30,优,NaN,11,30,0.4,7,44,47,1
20200404,01,河东子站,19,优,NaN,13,16,0.4,4,46,46,2
20200404,01,河西子站,18,优,NaN,12,15,0.4,7,45,45,1
20200404,02,河东子站,17,优,NaN,11,17,0.4,4,49,48,2
20200404,02,河西子站,48,优,NaN,11,48,0.4,6,46,46,1
20200404,03,河东子站,23,优,NaN,10,23,0.4,4,49,48,2
20200404,03,河西子站,42,优,NaN,11,42,0.4,7,41,44,1
20200404,03,河东子站,23,优,NaN,10,23,0.4,4,49,48,2
20200404,03,河西子站,42,优,NaN,11,42,0.4,7,41,44,1
20200404,08,河东子站,20,优,NaN,12,20,0.4,5,44,46,1
20200404,08,河西子站,22,优,NaN,13,22,0.4,6,45,45,1
20200404,09,河东子站,19,优,NaN,12,19,0.4,6,46,46,2
20200404,09,河西子站,25,优,NaN,15,25,0.4,8,45,45,1
20200404,10,河东子站,28,优,NaN,12,28,0.4,5,50,46,1
20200404,10,河西子站,26,优,NaN,13,26,0.4,7,51,46,1
20200404,11,河东子站,31,优,NaN,12,31,0.4,5,52,46,1
20200404,11,河西子站,30,优,NaN,13,30,0.4,5,56,47,1
20200404,12,河东子站,23,优,NaN,12,23,0.4,4,50,47,1
20200404,12,河西子站,26,优,NaN,10,26,0.4,4,53,49,1
20200404,13,河东子站,26,优,NaN,12,26,0.4,4,49,47,1
20200404,13,河西子站,25,优,NaN,12,25,0.4,4,50,49,1
20200404,14,河东子站,22,优,NaN,15,21,0.4,4,47,48,1
20200404,14,河西子站,16,优,NaN,10,15,0.4,3,51,50,1
20200404,15,河东子站,19,优,NaN,12,19,0.4,6,45,48,1
20200404,15,河西子站,18,优,NaN,9,18,0.4,4,49,50,1
20200404,16,河东子站,20,优,NaN,14,15,0.4,4,46,48,1
20200404,16,河西子站,25,优,NaN,10,25,0.4,4,47,50,2
20200404,17,河东子站,22,优,NaN,12,22,0.4,4,44,48,1
20200404,17,河西子站,59,良,颗粒物(PM10),12,67,0.4,4,47,50,1
20200404,18,河东子站,22,优,NaN,15,22,0.4,5,43,47,2
20200404,18,河西子站,18,优,NaN,12,NaN,0.4,6,44,50,1
20200404,19,河东子站,28,优,NaN,14,28,0.4,5,47,46,1
20200404,19,河西子站,18,优,NaN,12,14,0.4,5,49,49,2
20200404,20,河东子站,28,优,NaN,13,28,0.4,6,45,46,2
20200404,20,河西子站,20,优,NaN,14,19,0.4,6,49,48,1
20200404,21,河东子站,22,优,NaN,11,22,0.4,5,41,45,1
20200404,21,河西子站,24,优,NaN,12,24,0.4,6,45,48,1
20200404,22,河东子站,22,优,NaN,11,22,0.4,5,40,44,1
20200404,22,河西子站,26,优,NaN,11,26,0.4,7,40,46,1
20200404,22,河东子站,22,优,NaN,11,22,0.4,5,40,44,1
20200404,22,河西子站,26,优,NaN,11,26,0.4,7,40,46,1
20200405,08,河东子站,23,优,NaN,9,23,0.4,8,37,37,1
20200405,08,河西子站,23,优,NaN,11,23,0.4,10,28,34,1
20200405,09,河东子站,19,优,NaN,9,19,0.4,5,40,38,1
20200405,09,河西子站,26,优,NaN,12,26,0.4,10,32,34,1
20200405,10,河东子站,15,优,NaN,10,NaN,0.4,6,43,38,1
20200405,10,河西子站,31,优,NaN,11,31,0.4,8,41,35,1
20200405,11,河东子站,16,优,NaN,9,14,0.4,7,49,40,1
20200405,11,河西子站,26,优,NaN,10,26,0.4,6,51,36,1
20200405,12,河东子站,23,优,NaN,8,23,0.4,5,48,41,1
20200405,12,河西子站,16,优,NaN,9,16,0.4,6,50,38,1
20200405,13,河东子站,18,优,NaN,8,18,0.4,5,47,42,1
20200405,13,河西子站,16,优,NaN,8,16,0.4,5,50,40,1
20200405,14,河东子站,25,优,NaN,8,25,0.4,5,46,43,1
20200405,14,河西子站,16,优,NaN,8,13,0.4,4,49,42,1
20200405,15,河东子站,29,优,NaN,7,29,0.4,5,46,44,1
20200405,15,河西子站,15,优,NaN,8,10,0.4,4,48,44,1
20200405,16,河东子站,24,优,NaN,8,24,0.3,4,44,45,1
20200405,16,河西子站,16,优,NaN,8,16,0.4,5,45,46,1
20200405,17,河东子站,23,优,NaN,8,23,0.3,5,43,46,1
20200405,17,河西子站,17,优,NaN,8,17,0.4,4,44,47,1
20200405,18,河东子站,20,优,NaN,8,20,0.4,6,44,46,1
20200405,18,河西子站,16,优,NaN,8,16,0.4,4,46,48,1
20200405,19,河东子站,19,优,NaN,9,19,0.4,7,48,46,1
20200405,19,河西子站,19,优,NaN,8,19,0.4,5,50,48,1
20200405,20,河东子站,24,优,NaN,9,24,0.4,7,44,45,1
20200405,20,河西子站,20,优,NaN,9,20,0.4,5,46,47,1
20200405,21,河东子站,21,优,NaN,13,21,0.4,9,37,44,2
20200405,21,河西子站,22,优,NaN,13,22,0.5,13,26,44,3
20200405,22,河东子站,19,优,NaN,12,19,0.5,13,28,42,1
20200405,22,河西子站,32,优,NaN,14,32,0.5,15,25,41,3
20200405,23,河东子站,21,优,NaN,11,21,0.5,13,28,40,1
20200405,23,河西子站,26,优,NaN,10,26,0.5,18,21,38,3
20200406,00,河东子站,17,优,NaN,11,17,0.5,12,28,38,1
20200406,00,河西子站,26,优,NaN,13,26,0.5,15,23,35,2
20200406,01,河东子站,16,优,NaN,9,16,0.4,10,30,30,1
20200406,01,河西子站,26,优,NaN,10,26,0.5,13,21,21,2
20200406,02,河东子站,19,优,NaN,10,19,0.5,14,21,26,1
20200406,02,河西子站,25,优,NaN,8,25,0.5,11,20,20,4
20200406,03,河东子站,20,优,NaN,11,20,0.5,16,13,21,1
