Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,市政府,72,良,细颗粒物(PM2.5),52,NaN,1.0,24,25,40,2
20200402,08,开发区,59,良,细颗粒物(PM2.5),42,NaN,1.0,28,20,39,1
20200402,08,二  印,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,风景区,65,良,细颗粒物(PM2.5),47,NaN,0.7,24,24,38,2
20200402,08,第一小学,62,良,细颗粒物(PM2.5),44,NaN,0.9,24,27,42,3
20200402,09,市政府,73,良,细颗粒物(PM2.5),53,NaN,1.1,30,16,36,2
20200402,09,开发区,59,良,细颗粒物(PM2.5),42,NaN,1.0,29,17,34,1
20200402,09,二  印,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,风景区,60,良,细颗粒物(PM2.5),43,NaN,0.7,25,21,34,2
20200402,09,第一小学,59,良,细颗粒物(PM2.5),42,NaN,0.9,27,22,38,3
20200402,10,市政府,77,良,细颗粒物(PM2.5),56,NaN,1.2,NaN,7,31,3
20200402,10,开发区,60,良,细颗粒物(PM2.5),43,NaN,1.0,27,18,30,1
20200402,10,二  印,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,风景区,60,良,细颗粒物(PM2.5),43,NaN,0.8,26,22,31,2
20200402,10,第一小学,60,良,细颗粒物(PM2.5),43,NaN,1.0,30,19,34,4
20200402,11,市政府,NaN,,NaN,NaN,NaN,NaN,36,12,27,NaN
20200402,11,开发区,63,良,细颗粒物(PM2.5),45,NaN,1.0,34,12,25,1
20200402,11,二  印,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,风景区,62,良,细颗粒物(PM2.5),44,NaN,0.8,31,19,27,2
20200402,11,第一小学,59,良,细颗粒物(PM2.5),42,NaN,1.0,41,11,29,3
20200402,12,市政府,75,良,细颗粒物(PM2.5),55,NaN,1.1,36,NaN,24,3
20200402,12,开发区,70,良,细颗粒物(PM2.5),51,NaN,1.2,37,12,21,2
20200402,12,二  印,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,风景区,69,良,细颗粒物(PM2.5),50,NaN,1.0,32,21,25,2
20200402,12,第一小学,64,良,细颗粒物(PM2.5),46,NaN,1.1,39,17,26,4
20200402,13,市政府,98,良,细颗粒物(PM2.5),73,NaN,1.3,32,26,22,3
20200402,13,开发区,80,良,细颗粒物(PM2.5),59,NaN,1.3,37,19,19,2
20200402,13,二  印,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,风景区,80,良,细颗粒物(PM2.5),59,NaN,1.2,36,24,23,2
20200402,13,第一小学,85,良,细颗粒物(PM2.5),63,NaN,1.4,31,32,25,4
20200402,14,市政府,103,轻度污染,细颗粒物(PM2.5),77,NaN,1.3,29,37,22,3
