Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,环保局,51,良,颗粒物(PM10),28,51,0.4,15,52,45,8
20200402,08,州委党校,56,良,颗粒物(PM10),31,62,0.5,18,91,80,11
20200402,09,环保局,56,良,颗粒物(PM10),30,62,0.5,18,52,46,8
20200402,09,州委党校,49,优,NaN,31,49,0.6,20,92,80,10
20200402,10,环保局,49,优,NaN,27,49,0.5,22,48,47,8
20200402,10,州委党校,56,良,颗粒物(PM10),30,61,0.6,28,81,79,11
20200402,11,环保局,57,良,颗粒物(PM10),32,64,0.6,24,48,47,11
20200402,11,州委党校,57,良,颗粒物(PM10),35,64,0.6,25,89,79,11
20200402,12,环保局,55,良,颗粒物(PM10),30,60,0.5,21,57,49,13
20200402,12,州委党校,57,良,细颗粒物(PM2.5),40,45,0.6,20,112,85,12
20200402,13,环保局,56,良,颗粒物(PM10),29,61,0.7,22,58,51,11
20200402,13,州委党校,50,优,NaN,32,50,0.5,20,119,92,13
20200402,14,环保局,56,良,颗粒物(PM10),30,62,0.6,19,61,53,11
20200402,14,州委党校,60,良,颗粒物(PM10),33,69,0.5,18,121,98,13
20200402,15,环保局,57,良,颗粒物(PM10),35,63,0.6,19,66,55,10
20200402,15,州委党校,59,良,颗粒物(PM10),33,67,0.5,21,87,99,13
20200402,16,环保局,55,良,颗粒物(PM10),34,60,0.6,24,57,56,10
20200402,16,州委党校,62,良,颗粒物(PM10),29,74,0.5,22,126,103,14
20200402,17,环保局,60,良,颗粒物(PM10),33,69,0.6,26,52,56,11
20200402,17,州委党校,56,良,颗粒物(PM10),33,62,0.5,24,NaN,105,16
20200402,18,环保局,61,良,颗粒物(PM10),33,72,0.6,27,51,56,12
20200402,18,州委党校,58,良,颗粒物(PM10),35,65,0.5,26,NaN,109,17
20200402,19,环保局,59,良,颗粒物(PM10),36,67,0.5,28,48,56,14
20200402,19,州委党校,63,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",45,76,0.5,31,40,101,17
20200402,20,环保局,63,良,颗粒物(PM10),42,76,0.4,26,52,56,16
20200402,20,州委党校,70,良,颗粒物(PM10),48,90,0.5,26,50,90,17
20200402,20,环保局,63,良,颗粒物(PM10),42,76,0.4,26,52,56,16
20200402,20,州委党校,70,良,颗粒物(PM10),48,90,0.5,26,50,90,17
20200402,22,环保局,70,良,颗粒物(PM10),43,89,0.5,35,39,52,12
20200402,22,州委党校,70,良,颗粒物(PM10),49,89,0.6,38,32,63,19
20200402,23,环保局,93,良,细颗粒物(PM2.5),69,87,0.4,27,46,49,10
20200402,23,州委党校,73,良,颗粒物(PM10),46,95,0.6,21,51,57,16
20200403,00,环保局,74,良,细颗粒物(PM2.5),54,96,0.3,22,51,48,6
20200403,00,州委党校,63,良,细颗粒物(PM2.5),45,72,0.6,22,52,45,14
20200403,01,环保局,65,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",47,79,0.7,24,46,46,9
20200403,01,州委党校,85,良,颗粒物(PM10),42,120,0.6,21,48,48,13
20200403,02,环保局,65,良,颗粒物(PM10),37,79,0.7,22,45,46,8
20200403,02,州委党校,69,良,颗粒物(PM10),45,87,0.6,18,43,46,13
20200403,03,环保局,62,良,颗粒物(PM10),32,73,0.7,25,40,44,9
20200403,03,州委党校,63,良,细颗粒物(PM2.5),45,71,0.6,16,48,46,12
20200403,03,环保局,62,良,颗粒物(PM10),32,73,0.7,25,40,44,9
20200403,03,州委党校,63,良,细颗粒物(PM2.5),45,71,0.6,16,48,46,12
20200403,08,环保局,59,良,颗粒物(PM10),39,67,0.5,18,51,45,10
20200403,08,州委党校,62,良,颗粒物(PM10),43,73,0.7,23,33,45,13
20200403,09,环保局,57,良,颗粒物(PM10),34,64,0.6,26,49,45,10
20200403,09,州委党校,60,良,细颗粒物(PM2.5),43,68,0.7,24,45,45,15
20200403,10,环保局,59,良,颗粒物(PM10),29,68,0.5,24,58,47,10
20200403,10,州委党校,62,良,细颗粒物(PM2.5),44,65,0.6,24,62,47,16
20200403,11,环保局,58,良,颗粒物(PM10),30,65,0.5,18,71,51,11
20200403,11,州委党校,60,良,颗粒物(PM10),39,69,0.6,19,71,50,13
20200403,12,环保局,59,良,颗粒物(PM10),36,68,0.4,15,80,55,10
20200403,12,州委党校,58,良,颗粒物(PM10),35,66,0.5,17,78,53,13
20200403,13,环保局,57,良,颗粒物(PM10),36,64,0.4,15,81,60,9
20200403,13,州委党校,52,良,颗粒物(PM10),30,54,0.5,15,80,57,14
20200403,14,环保局,59,良,颗粒物(PM10),37,68,0.4,13,86,64,8
20200403,14,州委党校,58,良,颗粒物(PM10),31,66,0.5,15,88,62,14
20200403,15,环保局,56,良,颗粒物(PM10),37,61,0.4,14,92,71,8
20200403,15,州委党校,52,良,颗粒物(PM10),24,53,0.5,15,90,68,15
20200403,16,环保局,49,优,NaN,32,49,0.4,16,85,75,7
20200403,16,州委党校,52,良,颗粒物(PM10),23,53,0.4,14,87,75,15
20200403,17,环保局,57,良,细颗粒物(PM2.5),40,53,0.3,14,82,79,7
20200403,17,州委党校,47,优,NaN,23,47,0.4,13,84,80,16
20200403,18,环保局,48,优,NaN,29,48,0.4,16,75,82,7
20200403,18,州委党校,42,优,NaN,27,42,0.5,12,84,83,15
20200403,19,环保局,43,优,NaN,29,43,0.5,16,81,83,10
20200403,19,州委党校,43,优,NaN,30,43,0.5,16,83,84,12
20200403,20,环保局,36,优,NaN,23,36,0.7,35,59,80,13
20200403,20,州委党校,43,优,NaN,29,43,0.5,27,64,82,14
20200403,21,环保局,42,优,NaN,29,40,0.8,29,58,77,13
20200403,21,州委党校,49,优,NaN,34,45,0.5,27,61,80,13
20200403,22,环保局,52,良,细颗粒物(PM2.5),36,48,0.9,39,42,72,13
20200403,22,州委党校,57,良,细颗粒物(PM2.5),40,47,0.6,36,45,75,14
20200403,23,环保局,63,良,颗粒物(PM10),44,75,0.9,34,42,66,13
20200403,23,州委党校,63,良,细颗粒物(PM2.5),45,69,0.7,36,38,68,14
20200404,00,环保局,67,良,细颗粒物(PM2.5),48,73,1.0,30,45,60,14
20200404,00,州委党校,59,良,颗粒物(PM10),41,68,0.7,30,39,62,14
20200404,01,环保局,89,良,细颗粒物(PM2.5),66,83,1.0,28,37,37,11
20200404,01,州委党校,60,良,颗粒物(PM10),40,69,0.8,33,33,33,13
20200404,02,环保局,93,良,细颗粒物(PM2.5),69,80,0.7,15,57,47,8
20200404,02,州委党校,66,良,颗粒物(PM10),45,81,0.8,34,30,32,13
20200404,03,环保局,58,良,细颗粒物(PM2.5),41,54,0.8,22,41,45,8
20200404,03,州委党校,82,良,细颗粒物(PM2.5),60,84,0.9,22,42,35,21
20200404,03,环保局,58,良,细颗粒物(PM2.5),41,54,0.8,22,41,45,8
20200404,03,州委党校,82,良,细颗粒物(PM2.5),60,84,0.9,22,42,35,21
20200404,08,环保局,87,良,细颗粒物(PM2.5),64,85,1.5,33,16,29,11
20200404,08,州委党校,80,良,细颗粒物(PM2.5),59,75,0.9,18,26,32,13
20200404,09,环保局,83,良,细颗粒物(PM2.5),61,86,1.5,33,13,26,11
20200404,09,州委党校,73,良,细颗粒物(PM2.5),53,58,0.8,22,37,33,14
20200404,10,环保局,85,良,细颗粒物(PM2.5),63,97,1.2,28,26,22,10
20200404,10,州委党校,62,良,细颗粒物(PM2.5),44,60,0.8,19,49,35,14
20200404,11,环保局,85,良,细颗粒物(PM2.5),63,93,0.8,23,50,24,10
20200404,11,州委党校,58,良,细颗粒物(PM2.5),41,61,0.6,11,74,39,13
20200404,12,环保局,62,良,细颗粒物(PM2.5),44,65,0.6,14,73,29,8
20200404,12,州委党校,43,优,NaN,30,35,0.5,8,89,45,13
20200404,13,环保局,55,良,细颗粒物(PM2.5),39,NaN,0.5,15,79,38,10
20200404,13,州委党校,43,优,NaN,30,31,0.5,11,97,53,15
20200404,14,环保局,45,优,NaN,31,43,0.5,12,91,47,10
20200404,14,州委党校,38,优,NaN,26,31,0.5,9,102,62,17
20200404,15,环保局,42,优,NaN,25,42,0.4,10,95,55,10
20200404,15,州委党校,33,优,NaN,18,22,0.5,8,104,72,16
20200404,16,环保局,33,优,NaN,18,33,0.4,9,100,66,9
20200404,16,州委党校,34,优,NaN,18,23,0.5,9,107,82,16
20200404,17,环保局,32,优,NaN,11,30,0.4,10,100,77,9
20200404,17,州委党校,35,优,NaN,12,26,0.5,9,110,92,18
20200404,18,环保局,31,优,NaN,9,30,0.4,12,99,86,9
20200404,18,州委党校,35,优,NaN,12,19,0.4,10,110,99,17
20200404,19,环保局,32,优,NaN,16,32,0.5,12,97,92,8
20200404,19,州委党校,34,优,NaN,17,21,0.4,13,106,103,19
20200404,20,环保局,28,优,NaN,14,28,0.7,21,88,94,9
20200404,20,州委党校,36,优,NaN,25,25,1.0,19,102,105,17
20200404,21,环保局,34,优,NaN,12,34,0.7,28,80,94,10
20200404,21,州委党校,39,优,NaN,27,35,1.0,18,98,105,16
20200404,22,环保局,43,优,NaN,19,43,1.3,56,35,87,13
20200404,22,州委党校,41,优,NaN,23,41,1.2,52,45,98,17
20200404,22,环保局,43,优,NaN,19,43,1.3,56,35,87,13
20200404,22,州委党校,41,优,NaN,23,41,1.2,52,45,98,17
20200405,08,环保局,83,良,细颗粒物(PM2.5),61,108,1.4,37,5,41,15
20200405,08,州委党校,60,良,颗粒物(PM10),38,70,0.7,28,20,38,18
20200405,09,环保局,88,良,细颗粒物(PM2.5),65,99,1.5,36,13,34,15
20200405,09,州委党校,60,良,颗粒物(PM10),38,69,0.8,27,33,35,18
20200405,10,环保局,100,良,细颗粒物(PM2.5),75,116,1.1,30,38,30,13
20200405,10,州委党校,61,良,颗粒物(PM10),35,72,0.8,24,52,31,20
20200405,11,环保局,100,良,细颗粒物(PM2.5),75,99,0.7,20,73,32,11
20200405,11,州委党校,51,良,颗粒物(PM10),33,52,0.6,12,88,37,17
20200405,12,环保局,51,良,颗粒物(PM10),35,52,0.3,12,103,38,8
20200405,12,州委党校,42,优,NaN,28,42,0.5,8,117,49,19
20200405,13,环保局,48,优,NaN,24,48,0.4,10,119,47,8
20200405,13,州委党校,40,优,NaN,16,32,0.5,10,126,61,14
20200405,14,环保局,39,优,NaN,15,38,0.4,8,122,60,6
20200405,14,州委党校,41,优,NaN,11,30,0.5,10,129,73,10
20200405,15,环保局,40,优,NaN,17,30,0.4,10,128,75,7
20200405,15,州委党校,43,优,NaN,8,23,0.4,11,136,88,9
20200405,16,环保局,40,优,NaN,17,38,0.4,10,126,90,7
20200405,16,州委党校,42,优,NaN,9,24,0.4,11,134,102,10
20200405,17,环保局,40,优,NaN,17,40,0.4,10,123,104,6
20200405,17,州委党校,41,优,NaN,8,25,0.4,10,131,114,10
20200405,18,环保局,46,优,NaN,16,46,0.4,11,121,114,6
20200405,18,州委党校,40,优,NaN,15,36,0.4,14,126,123,8
20200405,19,环保局,44,优,NaN,19,44,0.4,13,115,120,6
20200405,19,州委党校,53,良,颗粒物(PM10),22,56,0.4,19,117,127,11
20200405,20,环保局,56,良,颗粒物(PM10),25,61,NaN,21,99,119,6
20200405,20,州委党校,56,良,颗粒物(PM10),26,62,0.5,21,108,126,12
20200405,21,环保局,59,良,颗粒物(PM10),32,68,NaN,23,90,116,NaN
20200405,21,州委党校,68,良,颗粒物(PM10),32,86,0.4,28,86,121,14
20200405,22,环保局,70,良,颗粒物(PM10),41,90,0.8,17,NaN,115,NaN
20200405,22,州委党校,70,良,颗粒物(PM10),38,89,0.1,12,118,120,12
20200405,23,环保局,52,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",36,54,0.9,NaN,NaN,112,1
20200405,23,州委党校,53,良,颗粒物(PM10),33,55,0.1,14,124,118,9
20200406,00,环保局,57,良,颗粒物(PM10),39,63,1.1,30,91,106,1
20200406,00,州委党校,56,良,颗粒物(PM10),29,61,0.2,25,106,114,9
20200406,01,环保局,60,良,颗粒物(PM10),35,70,NaN,27,75,75,11
20200406,01,州委党校,58,良,颗粒物(PM10),32,65,0.2,24,97,97,13
20200406,02,环保局,73,良,颗粒物(PM10),40,96,NaN,28,68,72,14
20200406,02,州委党校,63,良,颗粒物(PM10),39,75,0.6,25,85,91,14
20200406,03,环保局,60,良,颗粒物(PM10),35,69,1.0,23,70,71,NaN
20200406,03,州委党校,60,良,细颗粒物(PM2.5),43,65,0.6,17,78,87,14
20200407,07,环保局,28,优,NaN,18,26,0.6,14,88,89,6
20200407,07,州委党校,34,优,NaN,10,NaN,0.2,13,106,99,15
20200407,08,环保局,33,优,NaN,23,32,0.7,17,97,90,6
20200407,08,州委党校,30,优,NaN,17,NaN,0.2,22,96,98,12
20200407,09,环保局,46,优,NaN,32,34,0.7,22,99,91,6
20200407,09,州委党校,30,优,NaN,20,NaN,0.3,25,93,97,13
20200407,10,环保局,49,优,NaN,34,40,0.7,21,98,93,7
20200407,10,州委党校,38,优,NaN,26,NaN,0.4,17,112,98,14
20200407,11,环保局,49,优,NaN,34,47,0.7,18,105,96,7
20200407,11,州委党校,42,优,NaN,29,NaN,NaN,15,118,102,14
20200407,12,环保局,45,优,NaN,26,45,0.5,13,119,100,7
20200407,12,州委党校,48,优,NaN,33,NaN,0.3,13,NaN,103,NaN
20200407,13,环保局,49,优,NaN,26,49,0.3,12,123,103,6
20200407,13,州委党校,52,良,细颗粒物(PM2.5),36,NaN,0.3,10,132,108,14
20200407,14,环保局,47,优,NaN,24,47,0.3,11,122,106,5
20200407,14,州委党校,51,良,颗粒物(PM10),24,51,0.4,9,135,113,12
20200407,15,环保局,51,良,颗粒物(PM10),23,51,0.3,11,120,110,4
20200407,15,州委党校,NaN,,NaN,14,NaN,0.4,12,128,116,12
20200407,16,环保局,48,优,NaN,17,48,0.2,10,120,113,4
20200407,16,州委党校,40,优,NaN,10,20,0.5,12,128,121,12
20200407,17,环保局,51,良,颗粒物(PM10),11,51,0.2,7,116,115,4
20200407,17,州委党校,40,优,NaN,11,31,0.5,13,125,125,13
20200407,18,环保局,51,良,颗粒物(PM10),21,51,0.2,13,111,117,4
20200407,18,州委党校,NaN,,NaN,12,NaN,0.4,11,121,127,12
20200407,19,环保局,57,良,颗粒物(PM10),26,63,0.3,15,104,117,4
20200407,19,州委党校,38,优,NaN,20,NaN,0.4,11,121,127,15
20200407,20,环保局,54,良,颗粒物(PM10),26,58,0.4,18,101,115,5
20200407,20,州委党校,37,优,NaN,21,35,0.4,13,118,126,15
20200407,21,环保局,53,良,颗粒物(PM10),34,55,0.5,26,88,110,6
20200407,21,州委党校,NaN,,NaN,26,NaN,0.4,25,98,122,17
20200407,21,环保局,53,良,颗粒物(PM10),34,55,0.5,26,88,110,6
20200407,21,州委党校,NaN,,NaN,26,NaN,0.4,25,98,122,17
20200407,23,环保局,72,良,颗粒物(PM10),36,94,0.8,34,52,94,7
20200407,23,州委党校,52,良,细颗粒物(PM2.5),36,NaN,0.6,34,58,109,14
20200408,00,环保局,98,良,细颗粒物(PM2.5),73,132,1.0,35,38,84,6
20200408,00,州委党校,108,轻度污染,细颗粒物(PM2.5),81,NaN,0.7,25,57,100,6
20200408,01,环保局,107,轻度污染,细颗粒物(PM2.5),80,130,1.0,44,24,24,6
20200408,01,州委党校,99,良,细颗粒物(PM2.5),74,115,0.8,27,50,50,10
20200408,02,环保局,85,良,颗粒物(PM10),58,119,1.2,49,14,19,6
20200408,02,州委党校,84,良,颗粒物(PM10),50,118,0.9,19,55,52,9
20200408,03,环保局,84,良,颗粒物(PM10),60,118,1.4,52,5,14,7
20200408,03,州委党校,79,良,颗粒物(PM10),43,108,0.9,12,60,55,9
