Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,沂河小区,36,优,NaN,24,36,0.5,20,64,64,11
20200402,08,鲁南制药厂,41,优,NaN,22,41,0.7,28,64,63,8
20200402,08,新光毛纺厂,51,良,颗粒物(PM10),21,51,0.4,28,65,60,6
20200402,08,河东保险公司,41,优,NaN,16,41,0.8,35,58,59,6
20200402,09,沂河小区,54,良,细颗粒物(PM2.5),38,47,0.5,19,70,65,12
20200402,09,鲁南制药厂,47,优,NaN,30,47,0.7,27,70,64,11
20200402,09,新光毛纺厂,50,优,NaN,29,50,0.4,28,70,63,8
20200402,09,河东保险公司,48,优,NaN,33,40,0.8,30,67,59,11
20200402,10,沂河小区,62,良,细颗粒物(PM2.5),44,57,0.5,19,72,66,14
20200402,10,鲁南制药厂,55,良,颗粒物(PM10),36,60,0.7,28,71,64,12
20200402,10,新光毛纺厂,55,良,颗粒物(PM10),36,60,0.4,28,73,65,10
20200402,10,河东保险公司,57,良,颗粒物(PM10),34,63,0.7,25,77,61,12
20200402,11,沂河小区,61,良,颗粒物(PM10),38,71,0.4,16,80,70,13
20200402,11,鲁南制药厂,62,良,颗粒物(PM10),33,73,0.7,24,81,67,11
20200402,11,新光毛纺厂,61,良,颗粒物(PM10),39,72,0.4,29,76,68,10
20200402,11,河东保险公司,58,良,颗粒物(PM10),32,65,0.6,25,79,65,NaN
20200402,12,沂河小区,62,良,颗粒物(PM10),36,73,0.5,18,82,71,12
20200402,12,鲁南制药厂,60,良,颗粒物(PM10),31,69,0.7,23,87,71,9
20200402,12,新光毛纺厂,62,良,颗粒物(PM10),39,73,0.4,28,80,70,10
20200402,12,河东保险公司,58,良,颗粒物(PM10),31,65,0.6,27,NaN,65,8
20200402,13,沂河小区,60,良,颗粒物(PM10),37,69,0.5,20,83,74,10
20200402,13,鲁南制药厂,57,良,颗粒物(PM10),32,64,0.7,22,91,75,8
20200402,13,新光毛纺厂,62,良,颗粒物(PM10),40,74,0.4,27,85,73,9
20200402,13,河东保险公司,59,良,颗粒物(PM10),33,68,NaN,NaN,78,70,8
20200402,14,沂河小区,58,良,颗粒物(PM10),39,66,0.5,19,86,77,10
20200402,14,鲁南制药厂,56,良,颗粒物(PM10),38,61,0.7,28,88,78,8
20200402,14,新光毛纺厂,63,良,细颗粒物(PM2.5),45,71,0.4,33,79,75,8
20200402,14,河东保险公司,49,优,NaN,34,NaN,0.7,28,79,71,7
20200402,15,沂河小区,64,良,细颗粒物(PM2.5),46,68,0.5,21,88,78,10
20200402,15,鲁南制药厂,70,良,细颗粒物(PM2.5),51,74,0.8,37,85,80,8
20200402,15,新光毛纺厂,74,良,细颗粒物(PM2.5),54,86,0.5,37,82,76,7
20200402,15,河东保险公司,57,良,颗粒物(PM10),36,64,0.8,29,84,75,6
20200402,16,沂河小区,70,良,细颗粒物(PM2.5),51,78,0.7,48,54,77,9
20200402,16,鲁南制药厂,77,良,细颗粒物(PM2.5),56,99,0.8,66,60,79,7
20200402,16,新光毛纺厂,77,良,细颗粒物(PM2.5),56,95,0.5,41,82,78,7
20200402,16,河东保险公司,59,良,细颗粒物(PM2.5),42,66,0.8,50,60,75,5
20200402,17,沂河小区,82,良,细颗粒物(PM2.5),60,108,0.6,44,72,77,8
20200402,17,鲁南制药厂,90,良,颗粒物(PM10),65,129,0.9,52,82,81,7
20200402,17,新光毛纺厂,84,良,细颗粒物(PM2.5),62,100,0.6,70,56,77,7
20200402,17,河东保险公司,77,良,细颗粒物(PM2.5),56,87,0.9,60,58,74,6
20200402,18,沂河小区,93,良,细颗粒物(PM2.5),69,106,0.7,31,85,79,11
20200402,18,鲁南制药厂,87,良,细颗粒物(PM2.5),64,122,0.9,39,84,82,10
20200402,18,新光毛纺厂,97,良,颗粒物(PM10),66,143,0.6,52,75,77,8
20200402,18,河东保险公司,84,良,细颗粒物(PM2.5),62,114,0.9,54,64,72,6
20200402,19,沂河小区,95,良,细颗粒物(PM2.5),71,108,0.8,32,73,78,12
20200402,19,鲁南制药厂,87,良,细颗粒物(PM2.5),64,103,1.0,50,66,80,12
20200402,19,新光毛纺厂,90,良,细颗粒物(PM2.5),67,123,0.6,48,66,76,10
20200402,19,河东保险公司,84,良,细颗粒物(PM2.5),62,105,0.9,48,64,70,8
20200402,20,沂河小区,103,轻度污染,细颗粒物(PM2.5),77,112,0.7,35,63,76,13
20200402,20,鲁南制药厂,93,良,细颗粒物(PM2.5),69,110,1.0,66,43,75,14
20200402,20,新光毛纺厂,97,良,细颗粒物(PM2.5),72,121,0.8,63,39,70,9
20200402,20,河东保险公司,88,良,细颗粒物(PM2.5),65,110,0.9,48,58,68,8
20200402,20,沂河小区,103,轻度污染,细颗粒物(PM2.5),77,112,0.7,35,63,76,13
20200402,20,鲁南制药厂,93,良,细颗粒物(PM2.5),69,110,1.0,66,43,75,14
20200402,20,新光毛纺厂,97,良,细颗粒物(PM2.5),72,121,0.8,63,39,70,9
