Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,市环保局,73,良,细颗粒物(PM2.5),53,NaN,0.9,16,40,64,6
20200402,08,市气象局,74,良,细颗粒物(PM2.5),54,62,0.9,16,46,71,6
20200402,09,市环保局,97,良,细颗粒物(PM2.5),72,NaN,1.1,22,34,58,8
20200402,09,市气象局,74,良,细颗粒物(PM2.5),54,67,1.0,21,48,64,11
20200402,10,市环保局,65,良,细颗粒物(PM2.5),47,69,1.1,25,40,53,10
20200402,10,市气象局,77,良,细颗粒物(PM2.5),56,69,1.0,20,57,60,12
20200402,11,市环保局,80,良,细颗粒物(PM2.5),59,85,1.2,28,55,50,10
20200402,11,市气象局,80,良,细颗粒物(PM2.5),59,74,1.1,22,71,59,NaN
20200402,12,市环保局,71,良,颗粒物(PM10),46,92,1.2,22,90,53,9
20200402,12,市气象局,84,良,细颗粒物(PM2.5),62,86,1.2,30,94,61,NaN
20200402,13,市环保局,100,良,细颗粒物(PM2.5),75,103,1.1,14,135,62,7
20200402,13,市气象局,97,良,细颗粒物(PM2.5),72,98,1.2,19,NaN,61,9
20200402,14,市环保局,114,轻度污染,细颗粒物(PM2.5),86,92,0.9,8,141,73,7
20200402,14,市气象局,104,轻度污染,细颗粒物(PM2.5),78,86,1.0,10,NaN,62,7
20200402,15,市环保局,89,良,细颗粒物(PM2.5),66,81,0.9,8,137,84,7
20200402,15,市气象局,94,良,细颗粒物(PM2.5),70,75,NaN,11,128,74,7
20200402,16,市环保局,102,轻度污染,细颗粒物(PM2.5),76,76,0.9,9,136,96,7
20200402,16,市气象局,NaN,,NaN,NaN,NaN,NaN,10,102,83,8
20200402,17,市环保局,89,良,细颗粒物(PM2.5),66,77,0.9,9,135,109,7
20200402,17,市气象局,127,轻度污染,细颗粒物(PM2.5),96,NaN,0.9,NaN,105,93,7
20200402,18,市环保局,87,良,细颗粒物(PM2.5),64,76,0.8,9,134,120,6
20200402,18,市气象局,129,轻度污染,细颗粒物(PM2.5),98,108,0.9,NaN,111,102,7
20200402,19,市环保局,77,良,细颗粒物(PM2.5),56,71,0.8,10,132,130,7
20200402,19,市气象局,102,轻度污染,细颗粒物(PM2.5),76,104,0.9,12,109,108,5
20200402,20,市环保局,107,轻度污染,细颗粒物(PM2.5),80,86,1.0,14,121,134,7
20200402,20,市气象局,99,良,细颗粒物(PM2.5),74,90,0.9,13,112,111,5
20200402,20,市环保局,107,轻度污染,细颗粒物(PM2.5),80,86,1.0,14,121,134,7
20200402,20,市气象局,99,良,细颗粒物(PM2.5),74,90,0.9,13,112,111,5
20200402,22,市环保局,122,轻度污染,细颗粒物(PM2.5),92,NaN,1.0,17,92,125,7
20200402,22,市气象局,NaN,,NaN,NaN,NaN,1.0,22,96,110,4
20200402,23,市环保局,109,轻度污染,细颗粒物(PM2.5),82,NaN,1.0,18,82,118,7
20200402,23,市气象局,97,良,细颗粒物(PM2.5),72,NaN,1.1,24,78,103,5
20200403,00,市环保局,97,良,细颗粒物(PM2.5),72,NaN,1.0,16,86,112,8
20200403,00,市气象局,95,良,细颗粒物(PM2.5),71,NaN,1.0,21,87,101,5
20200403,01,市环保局,100,良,细颗粒物(PM2.5),75,76,1.0,15,74,74,7
20200403,01,市气象局,95,良,细颗粒物(PM2.5),71,NaN,1.0,23,66,66,4
20200403,02,市环保局,102,轻度污染,细颗粒物(PM2.5),76,NaN,1.1,17,68,71,6
20200403,02,市气象局,100,良,细颗粒物(PM2.5),75,82,1.0,17,64,65,4
20200403,03,市环保局,109,轻度污染,细颗粒物(PM2.5),82,NaN,1.1,19,59,67,6
20200403,03,市气象局,102,轻度污染,细颗粒物(PM2.5),76,95,1.0,19,53,61,4
20200403,03,市环保局,109,轻度污染,细颗粒物(PM2.5),82,NaN,1.1,19,59,67,6
20200403,03,市气象局,102,轻度污染,细颗粒物(PM2.5),76,95,1.0,19,53,61,4
20200403,08,市环保局,82,良,细颗粒物(PM2.5),60,74,1.0,17,49,58,8
20200403,08,市气象局,83,良,细颗粒物(PM2.5),61,85,1.0,19,50,58,7
20200403,09,市环保局,90,良,细颗粒物(PM2.5),67,76,1.0,20,53,55,11
20200403,09,市气象局,84,良,细颗粒物(PM2.5),62,97,1.1,25,47,56,8
20200403,10,市环保局,77,良,细颗粒物(PM2.5),56,87,1.2,28,50,53,12
20200403,10,市气象局,94,良,细颗粒物(PM2.5),70,107,1.1,24,61,56,11
20200403,11,市环保局,93,良,细颗粒物(PM2.5),69,103,1.2,23,74,55,15
20200403,11,市气象局,103,轻度污染,细颗粒物(PM2.5),77,110,1.2,29,71,58,14
20200403,12,市环保局,79,良,细颗粒物(PM2.5),58,105,1.2,22,102,61,12
20200403,12,市气象局,107,轻度污染,细颗粒物(PM2.5),80,115,1.3,32,93,63,11
20200403,13,市环保局,99,良,细颗粒物(PM2.5),74,106,0.9,13,131,70,9
20200403,13,市气象局,108,轻度污染,细颗粒物(PM2.5),81,106,1.0,18,128,71,7
20200403,14,市环保局,83,良,细颗粒物(PM2.5),61,99,0.8,9,136,80,8
20200403,14,市气象局,93,良,细颗粒物(PM2.5),69,84,1.0,11,135,80,5
20200403,15,市环保局,100,良,细颗粒物(PM2.5),75,92,0.9,10,136,91,8
20200403,15,市气象局,83,良,细颗粒物(PM2.5),61,89,1.0,13,138,90,6
20200403,16,市环保局,104,轻度污染,细颗粒物(PM2.5),78,94,0.9,10,140,103,8
20200403,16,市气象局,90,良,细颗粒物(PM2.5),67,99,1.0,13,144,102,6
20200403,17,市环保局,115,轻度污染,细颗粒物(PM2.5),87,93,0.9,10,143,114,8
20200403,17,市气象局,97,良,细颗粒物(PM2.5),72,112,1.0,12,147,115,5
20200403,18,市环保局,114,轻度污染,细颗粒物(PM2.5),86,88,0.9,10,145,126,8
20200403,18,市气象局,94,良,细颗粒物(PM2.5),70,100,1.0,12,147,125,5
20200403,19,市环保局,115,轻度污染,细颗粒物(PM2.5),87,96,1.0,12,142,134,9
20200403,19,市气象局,93,良,细颗粒物(PM2.5),69,90,1.0,12,155,136,5
20200403,20,市环保局,114,轻度污染,细颗粒物(PM2.5),86,104,1.3,21,114,136,11
20200403,20,市气象局,104,轻度污染,细颗粒物(PM2.5),78,104,1.1,15,146,142,5
20200403,21,市环保局,133,轻度污染,细颗粒物(PM2.5),101,NaN,1.1,23,102,132,13
20200403,21,市气象局,112,轻度污染,细颗粒物(PM2.5),84,117,1.3,20,120,142,8
20200403,22,市环保局,120,轻度污染,细颗粒物(PM2.5),91,98,1.2,22,88,126,15
20200403,22,市气象局,114,轻度污染,细颗粒物(PM2.5),86,118,1.3,20,109,138,11
20200403,23,市环保局,104,轻度污染,细颗粒物(PM2.5),78,90,1.2,29,73,118,12
20200403,23,市气象局,112,轻度污染,细颗粒物(PM2.5),84,121,1.2,27,92,132,8
20200404,00,市环保局,127,轻度污染,细颗粒物(PM2.5),96,113,1.2,31,68,109,10
20200404,00,市气象局,115,轻度污染,细颗粒物(PM2.5),87,117,1.1,25,87,125,6
20200404,01,市环保局,103,轻度污染,细颗粒物(PM2.5),77,100,1.1,22,70,70,9
20200404,01,市气象局,115,轻度污染,细颗粒物(PM2.5),87,115,1.1,26,80,80,5
20200404,02,市环保局,112,轻度污染,细颗粒物(PM2.5),84,94,1.0,21,67,68,8
20200404,02,市气象局,105,轻度污染,细颗粒物(PM2.5),79,119,1.0,18,87,84,6
20200404,03,市环保局,93,良,细颗粒物(PM2.5),69,88,1.1,19,69,69,8
20200404,03,市气象局,102,轻度污染,细颗粒物(PM2.5),76,104,1.0,16,84,84,6
20200404,03,市环保局,93,良,细颗粒物(PM2.5),69,88,1.1,19,69,69,8
20200404,03,市气象局,102,轻度污染,细颗粒物(PM2.5),76,104,1.0,16,84,84,6
20200404,08,市环保局,92,良,细颗粒物(PM2.5),68,83,1.0,24,48,63,10
20200404,08,市气象局,100,良,细颗粒物(PM2.5),75,92,1.0,21,60,73,8
20200404,09,市环保局,84,良,细颗粒物(PM2.5),62,95,1.0,25,47,60,12
20200404,09,市气象局,99,良,细颗粒物(PM2.5),74,98,1.1,27,56,70,11
20200404,10,市环保局,92,良,细颗粒物(PM2.5),68,108,1.2,40,35,56,13
20200404,10,市气象局,99,良,细颗粒物(PM2.5),74,116,1.2,33,52,66,13
20200404,11,市环保局,NaN,,NaN,NaN,NaN,NaN,40,NaN,54,15
20200404,11,市气象局,105,轻度污染,细颗粒物(PM2.5),79,139,1.2,58,34,59,12
20200404,12,市环保局,120,轻度污染,颗粒物(PM10),68,189,1.0,26,109,60,NaN
20200404,12,市气象局,122,轻度污染,细颗粒物(PM2.5),92,126,1.0,28,98,62,8
20200404,13,市环保局,108,轻度污染,细颗粒物(PM2.5),81,124,0.9,NaN,104,65,8
20200404,13,市气象局,119,轻度污染,细颗粒物(PM2.5),90,98,0.9,17,129,70,6
20200404,14,市环保局,90,良,细颗粒物(PM2.5),67,105,0.9,14,114,73,8
20200404,14,市气象局,98,良,细颗粒物(PM2.5),73,86,0.9,16,132,78,6
20200404,15,市环保局,94,良,细颗粒物(PM2.5),70,107,1.0,22,105,80,7
20200404,15,市气象局,92,良,细颗粒物(PM2.5),68,98,1.0,27,122,85,6
20200404,16,市环保局,93,良,细颗粒物(PM2.5),69,100,1.0,16,119,90,8
20200404,16,市气象局,97,良,细颗粒物(PM2.5),72,130,1.0,24,131,94,6
20200404,17,市环保局,102,轻度污染,细颗粒物(PM2.5),76,82,0.9,10,118,101,8
20200404,17,市气象局,105,轻度污染,细颗粒物(PM2.5),79,105,0.9,13,133,104,6
20200404,18,市环保局,105,轻度污染,细颗粒物(PM2.5),79,83,0.8,9,112,112,8
20200404,18,市气象局,104,轻度污染,细颗粒物(PM2.5),78,80,0.9,12,126,113,5
20200404,19,市环保局,83,良,细颗粒物(PM2.5),61,69,0.8,12,106,111,9
20200404,19,市气象局,87,良,细颗粒物(PM2.5),64,96,0.8,12,122,124,5
20200404,20,市环保局,107,轻度污染,细颗粒物(PM2.5),80,81,1.1,19,90,108,12
20200404,20,市气象局,75,良,细颗粒物(PM2.5),55,71,0.9,16,114,126,5
20200404,21,市环保局,93,良,细颗粒物(PM2.5),69,70,0.9,22,80,106,13
20200404,21,市气象局,77,良,细颗粒物(PM2.5),56,94,1.0,17,99,122,5
20200404,22,市环保局,92,良,细颗粒物(PM2.5),68,70,1.0,27,64,99,11
20200404,22,市气象局,79,良,细颗粒物(PM2.5),58,82,1.0,23,88,117,12
20200404,22,市环保局,92,良,细颗粒物(PM2.5),68,70,1.0,27,64,99,11
20200404,22,市气象局,79,良,细颗粒物(PM2.5),58,82,1.0,23,88,117,12
20200405,08,市环保局,70,良,细颗粒物(PM2.5),51,69,0.8,20,49,57,9
20200405,08,市气象局,78,良,细颗粒物(PM2.5),57,71,0.8,18,68,69,9
20200405,09,市环保局,68,良,细颗粒物(PM2.5),49,66,0.8,22,49,56,10
20200405,09,市气象局,78,良,细颗粒物(PM2.5),57,67,0.9,22,61,67,8
20200405,10,市环保局,93,良,细颗粒物(PM2.5),69,70,0.8,18,63,56,15
20200405,10,市气象局,72,良,细颗粒物(PM2.5),52,82,1.0,29,58,65,8
20200405,11,市环保局,71,良,颗粒物(PM10),30,91,0.9,26,61,56,15
20200405,11,市气象局,79,良,细颗粒物(PM2.5),58,103,1.0,37,62,65,11
20200405,12,市环保局,74,良,颗粒物(PM10),39,98,0.9,32,69,58,13
20200405,12,市气象局,89,良,细颗粒物(PM2.5),66,102,0.9,33,80,66,10
20200405,13,市环保局,66,良,颗粒物(PM10),42,82,0.7,16,101,63,8
20200405,13,市气象局,87,良,细颗粒物(PM2.5),64,84,0.9,19,116,72,7
20200405,14,市环保局,60,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",43,70,0.6,15,117,70,8
20200405,14,市气象局,75,良,细颗粒物(PM2.5),55,66,0.8,18,134,80,6
20200405,15,市环保局,67,良,颗粒物(PM10),42,83,0.7,20,115,78,7
20200405,15,市气象局,63,良,细颗粒物(PM2.5),45,70,0.8,21,136,89,5
20200405,16,市环保局,65,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",47,80,0.7,13,128,88,8
20200405,16,市气象局,63,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",45,76,0.8,20,144,99,6
20200405,17,市环保局,70,良,细颗粒物(PM2.5),51,80,0.6,8,129,98,7
20200405,17,市气象局,73,良,细颗粒物(PM2.5),53,79,0.8,11,146,110,4
20200405,18,市环保局,70,良,细颗粒物(PM2.5),51,74,0.6,9,130,106,7
20200405,18,市气象局,73,良,细颗粒物(PM2.5),53,70,0.8,10,147,121,4
20200405,19,市环保局,69,良,细颗粒物(PM2.5),50,83,0.7,10,136,116,7
20200405,19,市气象局,73,良,细颗粒物(PM2.5),53,75,0.9,11,154,132,4
20200405,20,市环保局,92,良,细颗粒物(PM2.5),68,85,0.8,11,138,124,7
20200405,20,市气象局,87,良,细颗粒物(PM2.5),64,80,0.9,13,156,142,4
20200405,21,市环保局,102,轻度污染,细颗粒物(PM2.5),76,77,0.9,18,126,127,8
20200405,21,市气象局,94,良,细颗粒物(PM2.5),70,91,1.0,17,151,146,6
20200405,22,市环保局,119,轻度污染,细颗粒物(PM2.5),90,NaN,1.0,22,103,126,9
20200405,22,市气象局,99,良,细颗粒物(PM2.5),74,105,1.3,28,115,144,7
20200405,23,市环保局,135,轻度污染,细颗粒物(PM2.5),103,NaN,1.0,23,96,123,13
20200405,23,市气象局,110,轻度污染,细颗粒物(PM2.5),83,119,1.3,32,96,139,8
20200406,00,市环保局,107,轻度污染,细颗粒物(PM2.5),80,80,1.1,22,87,118,12
20200406,00,市气象局,118,轻度污染,细颗粒物(PM2.5),89,125,1.2,27,108,134,8
20200406,01,市环保局,114,轻度污染,细颗粒物(PM2.5),86,92,1.0,18,96,96,10
20200406,01,市气象局,119,轻度污染,细颗粒物(PM2.5),90,123,1.2,26,97,97,6
20200406,02,市环保局,97,良,细颗粒物(PM2.5),72,76,0.8,16,84,90,8
