Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,西南郊,134,轻度污染,细颗粒物(PM2.5),102,NaN,1.6,22,102,129,10
20200402,08,丽江古城,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,市中心,92,良,细颗粒物(PM2.5),68,81,1.2,15,126,125,12
20200402,09,西南郊,145,轻度污染,细颗粒物(PM2.5),111,NaN,1.3,25,128,128,NaN
20200402,09,丽江古城,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,市中心,97,良,细颗粒物(PM2.5),72,81,1.2,20,125,127,11
20200402,10,西南郊,123,轻度污染,细颗粒物(PM2.5),93,NaN,1.3,32,120,125,NaN
20200402,10,丽江古城,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,市中心,93,良,细颗粒物(PM2.5),69,91,1.2,20,142,130,11
20200402,11,西南郊,108,轻度污染,细颗粒物(PM2.5),81,94,1.0,NaN,154,127,10
20200402,11,丽江古城,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,市中心,83,良,细颗粒物(PM2.5),61,100,1.0,16,155,133,10
20200402,12,西南郊,84,良,细颗粒物(PM2.5),62,84,NaN,8,134,126,9
20200402,12,丽江古城,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,市中心,66,良,颗粒物(PM10),47,82,0.9,11,139,134,10
20200402,13,西南郊,57,良,细颗粒物(PM2.5),40,45,NaN,7,119,125,9
20200402,13,丽江古城,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,市中心,55,良,颗粒物(PM10),31,59,0.8,8,117,132,9
20200402,14,西南郊,50,优,NaN,35,NaN,0.7,7,122,124,8
20200402,14,丽江古城,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,14,市中心,50,优,NaN,26,50,0.8,7,119,131,8
20200402,15,西南郊,59,良,细颗粒物(PM2.5),42,44,0.8,8,132,126,8
20200402,15,丽江古城,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,15,市中心,54,良,颗粒物(PM10),29,58,0.8,9,128,131,8
20200402,16,西南郊,NaN,,NaN,NaN,NaN,1.0,10,NaN,130,8
20200402,16,丽江古城,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,16,市中心,61,良,颗粒物(PM10),36,72,0.9,12,142,133,8
20200402,17,西南郊,64,良,细颗粒物(PM2.5),46,55,1.0,8,NaN,130,7
20200402,17,丽江古城,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,17,市中心,69,良,颗粒物(PM10),48,87,1.0,11,152,137,8
20200402,18,西南郊,80,良,细颗粒物(PM2.5),59,71,0.9,8,132,132,7
