Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,集宁新区,15,优,NaN,6,15,0.4,28,38,57,24
20200402,08,集宁旧区西,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,光明街小学,23,优,NaN,16,NaN,0.4,25,42,26,18
20200402,09,集宁新区,21,优,NaN,5,11,0.3,11,67,59,24
20200402,09,集宁旧区西,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,光明街小学,18,优,NaN,12,NaN,0.3,17,56,32,20
20200402,10,集宁新区,25,优,NaN,4,9,0.2,4,80,63,25
20200402,10,集宁旧区西,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,光明街小学,22,优,NaN,8,13,0.4,9,70,39,27
20200402,11,集宁新区,27,优,NaN,4,13,0.2,3,84,66,21
20200402,11,集宁旧区西,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,光明街小学,26,优,NaN,7,10,0.3,4,82,46,23
20200402,12,集宁新区,28,优,NaN,4,9,0.1,1,88,69,18
20200402,12,集宁旧区西,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,光明街小学,25,优,NaN,5,7,0.3,4,78,53,25
20200402,13,集宁新区,28,优,NaN,5,11,0.2,2,89,71,17
20200402,13,集宁旧区西,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,光明街小学,28,优,NaN,4,6,0.2,5,87,60,21
20200402,14,集宁新区,29,优,NaN,4,9,0.2,2,91,75,18
20200402,14,集宁旧区西,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,14,光明街小学,29,优,NaN,4,6,0.3,4,92,66,18
20200402,15,集宁新区,29,优,NaN,5,6,0.2,2,92,79,19
20200402,15,集宁旧区西,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,15,光明街小学,28,优,NaN,4,11,0.2,4,89,74,20
20200402,16,集宁新区,29,优,NaN,4,6,0.2,2,92,85,20
20200402,16,集宁旧区西,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,16,光明街小学,27,优,NaN,4,18,NaN,6,84,80,17
20200402,17,集宁新区,29,优,NaN,5,6,0.2,1,90,88,18
20200402,17,集宁旧区西,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,17,光明街小学,26,优,NaN,3,12,0.2,6,82,83,18
20200402,18,集宁新区,28,优,NaN,6,11,0.2,2,88,89,18
20200402,18,集宁旧区西,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,18,光明街小学,25,优,NaN,3,12,0.2,7,80,84,17
20200402,19,集宁新区,27,优,NaN,6,8,0.2,3,86,90,18
20200402,19,集宁旧区西,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,19,光明街小学,23,优,NaN,11,11,NaN,8,71,83,18
20200402,20,集宁新区,24,优,NaN,8,21,0.3,12,74,88,18
20200402,20,集宁旧区西,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,光明街小学,29,优,NaN,20,22,0.3,30,54,80,19
20200402,20,集宁新区,24,优,NaN,8,21,0.3,12,74,88,18
20200402,20,集宁旧区西,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,光明街小学,29,优,NaN,20,22,0.3,30,54,80,19
20200402,22,集宁新区,21,优,NaN,7,21,0.2,7,66,80,17
20200402,22,集宁旧区西,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,22,光明街小学,21,优,NaN,8,21,0.3,24,48,67,20
20200402,23,集宁新区,20,优,NaN,5,19,0.2,7,63,77,20
20200402,23,集宁旧区西,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,23,光明街小学,18,优,NaN,9,15,0.2,14,55,63,18
20200403,00,集宁新区,21,优,NaN,6,20,0.2,5,66,74,18
20200403,00,集宁旧区西,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,00,光明街小学,19,优,NaN,8,17,0.2,10,58,60,17
