Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,聚英学校,52,良,颗粒物(PM10),27,53,1.1,35,29,51,16
20200402,08,市林业局,47,优,NaN,26,47,1.2,35,19,43,10
20200402,08,中海勃湾学校,45,优,NaN,24,45,0.6,17,58,54,11
20200402,09,聚英学校,55,良,颗粒物(PM10),28,59,1.1,38,32,43,17
20200402,09,市林业局,52,良,颗粒物(PM10),28,54,1.1,34,36,39,19
20200402,09,中海勃湾学校,39,优,NaN,20,39,0.6,16,66,55,13
20200402,10,聚英学校,60,良,颗粒物(PM10),23,69,1.1,36,59,39,26
20200402,10,市林业局,59,良,颗粒物(PM10),33,68,1.0,29,61,38,33
20200402,10,中海勃湾学校,41,优,NaN,18,41,0.9,20,83,58,31
20200402,11,聚英学校,71,良,颗粒物(PM10),26,91,0.9,23,94,45,31
20200402,11,市林业局,67,良,颗粒物(PM10),34,84,0.8,20,91,44,27
20200402,11,中海勃湾学校,59,良,颗粒物(PM10),20,67,1.0,21,131,67,46
20200402,12,聚英学校,58,良,颗粒物(PM10),26,65,0.6,15,101,52,15
20200402,12,市林业局,48,优,NaN,20,48,0.5,13,89,50,11
20200402,12,中海勃湾学校,56,良,颗粒物(PM10),24,61,0.6,18,122,76,20
20200402,13,聚英学校,38,优,NaN,18,38,0.4,6,99,60,7
20200402,13,市林业局,30,优,NaN,13,30,0.4,11,92,56,6
20200402,13,中海勃湾学校,48,优,NaN,19,48,0.5,16,110,84,14
20200402,14,聚英学校,32,优,NaN,10,28,0.4,6,102,68,6
20200402,14,市林业局,30,优,NaN,9,22,0.4,8,95,64,5
20200402,14,中海勃湾学校,38,优,NaN,15,38,0.4,14,110,92,11
20200402,15,聚英学校,31,优,NaN,6,18,0.4,9,98,77,8
20200402,15,市林业局,29,优,NaN,6,23,0.4,12,92,72,6
20200402,15,中海勃湾学校,48,优,NaN,11,48,0.4,11,108,98,9
20200402,16,聚英学校,31,优,NaN,6,19,0.4,8,98,85,9
20200402,16,市林业局,30,优,NaN,6,26,0.4,12,93,81,5
20200402,16,中海勃湾学校,39,优,NaN,9,39,0.4,13,103,104,8
20200402,17,聚英学校,32,优,NaN,6,21,0.3,9,100,94,5
20200402,17,市林业局,30,优,NaN,6,27,0.4,11,94,88,5
20200402,17,中海勃湾学校,34,优,NaN,7,34,0.4,14,101,108,6
20200402,18,聚英学校,32,优,NaN,9,15,0.3,10,100,99,5
20200402,18,市林业局,30,优,NaN,9,27,0.4,10,96,93,5
20200402,18,中海勃湾学校,39,优,NaN,6,39,0.4,14,102,111,6
20200402,19,聚英学校,30,优,NaN,7,19,0.4,14,95,99,5
20200402,19,市林业局,30,优,NaN,9,29,0.4,10,95,93,5
20200402,19,中海勃湾学校,43,优,NaN,6,43,0.4,17,100,107,6
20200402,20,聚英学校,29,优,NaN,10,21,0.4,16,90,98,5
20200402,20,市林业局,31,优,NaN,11,31,0.4,13,90,93,5
20200402,20,中海勃湾学校,36,优,NaN,8,36,0.4,19,94,104,6
20200402,20,聚英学校,29,优,NaN,10,21,0.4,16,90,98,5
20200402,20,市林业局,31,优,NaN,11,31,0.4,13,90,93,5
20200402,20,中海勃湾学校,36,优,NaN,8,36,0.4,19,94,104,6
20200402,22,聚英学校,32,优,NaN,17,32,0.4,14,84,94,5
20200402,22,市林业局,37,优,NaN,12,37,0.4,17,72,88,6
20200402,22,中海勃湾学校,33,优,NaN,12,33,0.4,30,75,97,7
