Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,市环保局,123,轻度污染,细颗粒物(PM2.5),93,114,1.2,20,141,160,6
20200402,08,市环境监测站,114,轻度污染,细颗粒物(PM2.5),86,NaN,1.4,16,128,140,9
20200402,09,市环保局,135,轻度污染,细颗粒物(PM2.5),103,129,1.4,31,111,151,6
20200402,09,市环境监测站,124,轻度污染,细颗粒物(PM2.5),94,105,1.7,34,81,130,10
20200402,10,市环保局,153,中度污染,细颗粒物(PM2.5),117,141,1.7,62,64,136,8
20200402,10,市环境监测站,117,轻度污染,细颗粒物(PM2.5),88,128,1.9,93,28,114,13
20200402,11,市环保局,153,中度污染,细颗粒物(PM2.5),117,152,1.8,75,77,125,10
20200402,11,市环境监测站,129,轻度污染,细颗粒物(PM2.5),98,151,1.6,80,90,107,11
20200402,12,市环保局,155,中度污染,细颗粒物(PM2.5),118,150,1.6,41,156,124,10
20200402,12,市环境监测站,130,轻度污染,细颗粒物(PM2.5),99,176,1.5,42,148,107,11
20200402,13,市环保局,137,轻度污染,细颗粒物(PM2.5),104,124,1.4,14,197,130,9
20200402,13,市环境监测站,127,轻度污染,细颗粒物(PM2.5),96,164,1.3,17,187,113,9
20200402,14,市环保局,124,轻度污染,细颗粒物(PM2.5),94,110,1.4,13,192,136,8
20200402,14,市环境监测站,115,轻度污染,细颗粒物(PM2.5),87,146,1.2,12,184,121,8
20200402,14,市环保局,124,轻度污染,细颗粒物(PM2.5),94,110,1.4,13,192,136,8
20200402,14,市环境监测站,115,轻度污染,细颗粒物(PM2.5),87,146,1.2,12,184,121,8
20200402,15,市环保局,123,轻度污染,细颗粒物(PM2.5),93,115,1.4,12,184,140,6
20200402,15,市环境监测站,112,轻度污染,细颗粒物(PM2.5),84,132,1.2,11,175,128,7
20200402,16,市环保局,115,轻度污染,细颗粒物(PM2.5),87,126,1.4,13,180,145,7
20200402,16,市环境监测站,110,轻度污染,细颗粒物(PM2.5),83,119,1.2,12,174,133,8
20200402,17,市环保局,120,轻度污染,细颗粒物(PM2.5),91,101,1.3,13,169,152,7
20200402,17,市环境监测站,109,轻度污染,细颗粒物(PM2.5),82,125,1.1,11,164,144,8
20200402,18,市环保局,120,轻度污染,细颗粒物(PM2.5),91,106,1.3,12,162,165,7
20200402,18,市环境监测站,117,轻度污染,细颗粒物(PM2.5),88,140,1.2,12,155,160,8
20200402,19,市环保局,123,轻度污染,细颗粒物(PM2.5),93,109,1.2,12,155,174,7
20200402,19,市环境监测站,115,轻度污染,细颗粒物(PM2.5),87,140,1.1,11,150,167,8
20200402,20,市环保局,107,轻度污染,细颗粒物(PM2.5),80,101,1.2,12,153,174,7
20200402,20,市环境监测站,104,轻度污染,细颗粒物(PM2.5),78,117,1.0,10,146,167,8
20200402,20,市环保局,107,轻度污染,细颗粒物(PM2.5),80,101,1.2,12,153,174,7
20200402,20,市环境监测站,104,轻度污染,细颗粒物(PM2.5),78,117,1.0,10,146,167,8
20200402,22,市环保局,88,良,细颗粒物(PM2.5),65,84,1.0,10,136,160,6
20200402,22,市环境监测站,95,良,细颗粒物(PM2.5),71,95,0.9,9,125,153,7
20200402,23,市环保局,82,良,细颗粒物(PM2.5),60,84,0.9,11,123,153,6
20200402,23,市环境监测站,74,良,细颗粒物(PM2.5),54,83,0.8,9,122,146,7
20200403,00,市环保局,77,良,细颗粒物(PM2.5),56,76,0.9,14,113,144,6
20200403,00,市环境监测站,72,良,细颗粒物(PM2.5),52,89,0.8,12,103,138,6
20200403,01,市环保局,69,良,细颗粒物(PM2.5),50,63,0.9,14,124,124,6
20200403,01,市环境监测站,64,良,颗粒物(PM10),45,77,0.8,9,112,112,6
20200403,02,市环保局,78,良,细颗粒物(PM2.5),57,68,0.9,14,143,134,6
20200403,02,市环境监测站,63,良,细颗粒物(PM2.5),45,64,0.8,9,123,118,6
20200403,03,市环保局,78,良,细颗粒物(PM2.5),57,66,0.9,12,140,136,6
20200403,03,市环境监测站,59,良,颗粒物(PM10),40,68,0.9,8,137,124,7
20200403,08,市环保局,93,良,细颗粒物(PM2.5),69,90,0.9,18,114,130,6
20200403,08,市环境监测站,77,良,细颗粒物(PM2.5),56,80,1.1,22,83,110,8
20200403,09,市环保局,103,轻度污染,细颗粒物(PM2.5),77,94,1.0,27,101,127,7
20200403,09,市环境监测站,84,良,细颗粒物(PM2.5),62,92,1.2,25,93,107,8
20200403,10,市环保局,112,轻度污染,细颗粒物(PM2.5),84,100,1.4,61,64,117,9
20200403,10,市环境监测站,82,良,细颗粒物(PM2.5),60,105,1.4,34,83,102,10
20200403,11,市环保局,134,轻度污染,细颗粒物(PM2.5),102,178,1.5,76,67,108,10
20200403,11,市环境监测站,93,良,细颗粒物(PM2.5),69,107,1.3,76,87,96,11
20200403,12,市环保局,114,轻度污染,细颗粒物(PM2.5),86,124,1.0,20,143,108,8
20200403,12,市环境监测站,94,良,细颗粒物(PM2.5),70,125,0.9,26,136,96,8
20200403,13,市环保局,74,良,细颗粒物(PM2.5),54,70,0.8,10,142,109,6
20200403,13,市环境监测站,84,良,颗粒物(PM10),54,118,0.7,10,138,99,7
20200403,14,市环保局,59,良,细颗粒物(PM2.5),42,62,0.8,10,144,112,6
20200403,14,市环境监测站,68,良,颗粒物(PM10),36,86,0.7,9,138,108,6
20200403,15,市环保局,64,良,细颗粒物(PM2.5),46,64,0.9,10,147,115,6
20200403,15,市环境监测站,64,良,颗粒物(PM10),40,77,0.7,9,139,112,6
20200403,16,市环保局,63,良,细颗粒物(PM2.5),45,59,0.8,9,146,119,5
20200403,16,市环境监测站,61,良,颗粒物(PM10),33,71,0.7,8,138,119,6
20200403,17,市环保局,58,良,细颗粒物(PM2.5),41,58,0.8,9,145,125,5
20200403,17,市环境监测站,57,良,颗粒物(PM10),34,64,0.7,8,140,125,6
20200403,18,市环保局,54,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",38,57,0.8,9,141,134,5
20200403,18,市环境监测站,64,良,颗粒物(PM10),42,78,0.6,8,134,131,6
20200403,19,市环保局,56,良,颗粒物(PM10),39,61,0.8,9,137,143,5
20200403,19,市环境监测站,67,良,颗粒物(PM10),39,84,0.7,8,134,137,6
20200403,20,市环保局,73,良,细颗粒物(PM2.5),53,59,0.9,12,132,142,5
20200403,20,市环境监测站,65,良,细颗粒物(PM2.5),47,60,0.8,11,128,136,7
20200403,21,市环保局,55,良,颗粒物(PM10),36,59,0.8,9,128,140,6
20200403,21,市环境监测站,60,良,细颗粒物(PM2.5),43,61,0.8,11,121,134,8
20200403,22,市环保局,57,良,细颗粒物(PM2.5),40,58,0.8,12,114,136,5
20200403,22,市环境监测站,58,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",41,66,0.8,11,113,131,8
20200403,23,市环保局,52,良,细颗粒物(PM2.5),36,48,0.8,10,115,132,5
20200403,23,市环境监测站,70,良,细颗粒物(PM2.5),51,58,0.8,14,101,126,6
20200404,00,市环保局,49,优,NaN,34,43,0.7,13,113,128,6
20200404,00,市环境监测站,59,良,细颗粒物(PM2.5),42,52,0.7,9,104,122,6
