Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,平桥分局,72,良,细颗粒物(PM2.5),52,86,0.8,26,19,25,7
20200402,08,南湾水厂,65,良,细颗粒物(PM2.5),47,73,0.6,28,20,23,7
20200402,08,市酿酒公司,74,良,颗粒物(PM10),52,97,0.7,28,17,20,6
20200402,08,审计局,77,良,细颗粒物(PM2.5),56,96,0.7,25,15,15,5
20200402,09,平桥分局,68,良,颗粒物(PM10),36,85,0.8,25,22,23,7
20200402,09,南湾水厂,62,良,细颗粒物(PM2.5),44,71,0.6,25,24,22,7
20200402,09,市酿酒公司,67,良,细颗粒物(PM2.5),48,76,0.7,26,21,20,7
20200402,09,审计局,74,良,细颗粒物(PM2.5),54,94,0.7,22,19,16,5
20200402,10,平桥分局,70,良,颗粒物(PM10),41,90,0.8,25,25,22,7
20200402,10,南湾水厂,74,良,细颗粒物(PM2.5),54,79,0.6,22,29,22,7
20200402,10,市酿酒公司,70,良,颗粒物(PM10),48,90,0.7,25,23,20,6
20200402,10,审计局,69,良,细颗粒物(PM2.5),50,83,0.7,22,22,17,5
20200402,11,平桥分局,75,良,细颗粒物(PM2.5),55,90,0.8,21,30,22,8
20200402,11,南湾水厂,73,良,细颗粒物(PM2.5),53,86,0.7,19,37,23,8
20200402,11,市酿酒公司,67,良,细颗粒物(PM2.5),48,78,0.7,22,29,21,6
20200402,11,审计局,72,良,颗粒物(PM10),47,93,0.7,18,31,19,5
20200402,12,平桥分局,84,良,细颗粒物(PM2.5),62,100,0.8,20,45,24,8
20200402,12,南湾水厂,73,良,细颗粒物(PM2.5),53,72,0.7,18,52,26,6
20200402,12,市酿酒公司,64,良,细颗粒物(PM2.5),46,76,0.7,17,48,24,6
20200402,12,审计局,77,良,颗粒物(PM10),52,104,0.7,16,49,23,5
20200402,13,平桥分局,77,良,颗粒物(PM10),54,104,0.8,20,68,31,8
20200402,13,南湾水厂,79,良,细颗粒物(PM2.5),58,86,0.7,18,66,32,6
20200402,13,市酿酒公司,70,良,细颗粒物(PM2.5),51,87,0.7,18,67,30,7
20200402,13,审计局,79,良,颗粒物(PM10),56,108,0.7,16,66,29,5
20200402,14,平桥分局,85,良,颗粒物(PM10),60,119,0.8,20,84,39,7
20200402,14,南湾水厂,85,良,细颗粒物(PM2.5),63,90,0.7,19,77,40,7
20200402,14,市酿酒公司,79,良,细颗粒物(PM2.5),58,96,0.7,17,82,38,6
20200402,14,审计局,107,轻度污染,细颗粒物(PM2.5),80,115,0.7,15,82,37,5
20200402,15,平桥分局,94,良,细颗粒物(PM2.5),70,124,0.9,20,97,49,7
20200402,15,南湾水厂,105,轻度污染,细颗粒物(PM2.5),79,86,0.7,16,103,51,6
20200402,15,市酿酒公司,89,良,细颗粒物(PM2.5),66,111,0.8,17,95,48,6
20200402,15,审计局,112,轻度污染,细颗粒物(PM2.5),84,134,0.7,16,94,47,5
20200402,16,平桥分局,109,轻度污染,细颗粒物(PM2.5),82,124,0.9,21,103,59,7
20200402,16,南湾水厂,113,轻度污染,细颗粒物(PM2.5),85,105,0.7,16,104,62,6
20200402,16,市酿酒公司,119,轻度污染,细颗粒物(PM2.5),90,136,0.8,18,98,58,6
20200402,16,审计局,117,轻度污染,细颗粒物(PM2.5),88,127,0.7,16,100,58,4
20200402,17,平桥分局,108,轻度污染,细颗粒物(PM2.5),81,131,0.8,23,96,68,6
20200402,17,南湾水厂,105,轻度污染,细颗粒物(PM2.5),79,121,0.7,16,96,70,6
20200402,17,市酿酒公司,119,轻度污染,细颗粒物(PM2.5),90,132,0.8,19,92,67,6
