Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,长征新村,51,良,颗粒物(PM10),4,51,0.4,6,66,73,4
20200402,08,南林小区,45,优,NaN,5,45,0.5,7,67,68,5
20200402,08,白碱滩区,119,轻度污染,颗粒物(PM10),4,187,0.4,22,59,69,5
20200402,08,独山子区,53,良,颗粒物(PM10),15,56,0.5,18,62,68,6
20200402,08,乌尔禾区商贸楼,48,优,NaN,9,48,0.4,9,68,64,7
20200402,09,长征新村,53,良,颗粒物(PM10),11,56,0.4,14,61,72,6
20200402,09,南林小区,44,优,NaN,8,44,0.6,11,67,70,5
20200402,09,白碱滩区,75,良,颗粒物(PM10),19,100,0.5,16,62,67,4
20200402,09,独山子区,67,良,颗粒物(PM10),11,84,1.0,48,40,64,6
20200402,09,乌尔禾区商贸楼,60,良,颗粒物(PM10),10,70,0.6,9,68,67,7
20200402,10,长征新村,57,良,颗粒物(PM10),18,63,0.4,14,61,70,8
20200402,10,南林小区,42,优,NaN,12,42,0.6,15,62,71,5
20200402,10,白碱滩区,61,良,颗粒物(PM10),19,71,0.5,9,64,65,4
20200402,10,独山子区,87,良,颗粒物(PM10),27,123,0.6,18,76,63,7
20200402,10,乌尔禾区商贸楼,63,良,颗粒物(PM10),12,75,0.5,9,69,67,8
20200402,11,长征新村,53,良,颗粒物(PM10),9,56,0.4,6,68,69,8
20200402,11,南林小区,38,优,NaN,10,38,0.6,10,68,71,5
20200402,11,白碱滩区,61,良,颗粒物(PM10),20,71,0.5,8,65,64,5
20200402,11,独山子区,73,良,颗粒物(PM10),32,96,0.5,14,81,64,7
20200402,11,乌尔禾区商贸楼,81,良,颗粒物(PM10),31,111,0.4,5,74,68,7
20200402,12,长征新村,51,良,颗粒物(PM10),7,51,0.4,6,68,68,8
20200402,12,南林小区,36,优,NaN,12,36,0.6,7,70,70,6
20200402,12,白碱滩区,61,良,颗粒物(PM10),12,71,0.5,8,64,63,5
20200402,12,独山子区,73,良,颗粒物(PM10),25,95,0.6,13,80,66,7
20200402,12,乌尔禾区商贸楼,88,良,颗粒物(PM10),34,126,0.5,5,76,69,8
20200402,13,长征新村,56,良,颗粒物(PM10),16,62,0.4,8,65,67,8
20200402,13,南林小区,42,优,NaN,6,42,0.6,11,66,69,6
20200402,13,白碱滩区,68,良,颗粒物(PM10),11,86,0.5,8,64,63,5
20200402,13,独山子区,76,良,颗粒物(PM10),28,102,0.5,7,88,70,7
20200402,13,乌尔禾区商贸楼,74,良,颗粒物(PM10),10,97,0.5,6,81,72,9
20200402,14,长征新村,57,良,颗粒物(PM10),8,64,0.4,8,69,66,8
20200402,14,南林小区,49,优,NaN,4,49,0.6,9,71,68,6
20200402,14,白碱滩区,73,良,颗粒物(PM10),19,95,0.6,9,68,64,6
20200402,14,独山子区,73,良,颗粒物(PM10),34,95,0.5,6,93,73,7
20200402,14,乌尔禾区商贸楼,50,优,NaN,7,50,0.5,5,84,73,9
20200402,15,长征新村,69,良,颗粒物(PM10),22,87,0.4,8,74,66,8
20200402,15,南林小区,53,良,颗粒物(PM10),16,55,0.6,8,79,69,6
20200402,15,白碱滩区,101,轻度污染,颗粒物(PM10),23,152,0.6,7,75,65,6
20200402,15,独山子区,74,良,颗粒物(PM10),30,97,0.5,5,97,77,6
20200402,15,乌尔禾区商贸楼,64,良,颗粒物(PM10),12,78,0.5,4,90,76,8
20200402,16,长征新村,84,良,颗粒物(PM10),28,118,0.4,10,82,68,9
20200402,16,南林小区,61,良,颗粒物(PM10),22,72,0.6,8,89,72,7
20200402,16,白碱滩区,103,轻度污染,颗粒物(PM10),10,156,0.7,7,81,68,6
20200402,16,独山子区,75,良,颗粒物(PM10),27,99,0.5,5,99,82,6
20200402,16,乌尔禾区商贸楼,NaN,,NaN,NaN,NaN,0.5,NaN,NaN,77,8
20200402,17,长征新村,94,良,颗粒物(PM10),19,137,0.4,8,88,72,8
20200402,17,南林小区,65,良,颗粒物(PM10),26,79,0.6,8,95,75,8
20200402,17,白碱滩区,105,轻度污染,颗粒物(PM10),18,160,0.6,5,91,72,6
20200402,17,独山子区,77,良,颗粒物(PM10),27,103,0.5,6,95,89,6
20200402,17,乌尔禾区商贸楼,143,轻度污染,颗粒物(PM10),66,235,NaN,NaN,97,82,7
20200402,18,长征新村,92,良,颗粒物(PM10),40,133,0.4,7,89,75,4
20200402,18,南林小区,65,良,颗粒物(PM10),28,79,0.6,7,96,79,6
20200402,18,白碱滩区,NaN,,NaN,NaN,NaN,NaN,8,96,76,5
20200402,18,独山子区,79,良,颗粒物(PM10),20,108,0.5,6,98,91,6
20200402,18,乌尔禾区商贸楼,108,轻度污染,颗粒物(PM10),28,165,0.5,4,99,86,8
20200402,19,长征新村,111,轻度污染,颗粒物(PM10),38,172,0.4,8,87,78,3
20200402,19,南林小区,76,良,颗粒物(PM10),31,101,0.6,6,95,83,5
20200402,19,白碱滩区,NaN,,NaN,NaN,294,0.2,NaN,90,79,7
20200402,19,独山子区,83,良,颗粒物(PM10),20,116,0.5,6,97,93,6
20200402,19,乌尔禾区商贸楼,99,良,颗粒物(PM10),32,147,0.5,5,98,89,7
20200402,20,长征新村,132,轻度污染,颗粒物(PM10),46,214,0.4,18,79,79,3
20200402,20,南林小区,91,良,颗粒物(PM10),40,131,0.6,10,91,85,5
20200402,20,白碱滩区,199,中度污染,颗粒物(PM10),61,348,0.3,17,NaN,81,5
20200402,20,独山子区,90,良,颗粒物(PM10),34,129,0.5,8,95,95,6
20200402,20,乌尔禾区商贸楼,70,良,颗粒物(PM10),10,90,0.5,5,99,93,7
20200402,20,长征新村,132,轻度污染,颗粒物(PM10),46,214,0.4,18,79,79,3
20200402,20,南林小区,91,良,颗粒物(PM10),40,131,0.6,10,91,85,5
20200402,20,白碱滩区,199,中度污染,颗粒物(PM10),61,348,0.3,17,NaN,81,5
20200402,20,独山子区,90,良,颗粒物(PM10),34,129,0.5,8,95,95,6
20200402,20,乌尔禾区商贸楼,70,良,颗粒物(PM10),10,90,0.5,5,99,93,7
20200402,22,长征新村,150,轻度污染,颗粒物(PM10),64,249,0.7,72,28,74,4
20200402,22,南林小区,94,良,颗粒物(PM10),47,138,1.0,60,32,81,6
20200402,22,白碱滩区,212,重度污染,颗粒物(PM10),74,358,0.5,47,41,77,5
20200402,22,独山子区,86,良,颗粒物(PM10),38,121,0.6,13,84,94,6
20200402,22,乌尔禾区商贸楼,47,优,NaN,13,47,0.5,24,64,90,7
20200402,23,长征新村,144,轻度污染,颗粒物(PM10),50,238,0.7,69,28,68,3
20200402,23,南林小区,95,良,颗粒物(PM10),46,140,1.6,86,6,72,6
20200402,23,白碱滩区,190,中度污染,颗粒物(PM10),52,329,0.3,32,50,74,5
20200402,23,独山子区,80,良,颗粒物(PM10),35,110,0.5,8,90,94,6
20200402,23,乌尔禾区商贸楼,62,良,颗粒物(PM10),5,73,0.6,29,50,85,7
20200403,00,长征新村,150,轻度污染,颗粒物(PM10),45,250,0.6,45,45,63,4
20200403,00,南林小区,98,良,颗粒物(PM10),49,146,0.9,47,45,67,6
20200403,00,白碱滩区,190,中度污染,颗粒物(PM10),38,330,0.3,12,70,72,4
20200403,00,独山子区,73,良,颗粒物(PM10),34,95,0.5,8,88,92,6
20200403,00,乌尔禾区商贸楼,72,良,颗粒物(PM10),20,93,0.6,47,26,77,7
20200403,01,长征新村,153,中度污染,颗粒物(PM10),46,256,0.4,11,72,72,4
20200403,01,南林小区,99,良,颗粒物(PM10),45,148,0.7,15,72,72,6
20200403,01,白碱滩区,194,中度污染,颗粒物(PM10),42,337,0.3,14,71,71,4
20200403,01,独山子区,76,良,颗粒物(PM10),27,101,0.6,10,80,80,6
20200403,01,乌尔禾区商贸楼,64,良,颗粒物(PM10),9,78,0.5,15,61,61,7
20200403,02,长征新村,147,轻度污染,颗粒物(PM10),46,243,0.4,7,75,74,3
20200403,02,南林小区,101,轻度污染,颗粒物(PM10),36,151,0.6,8,80,76,5
20200403,02,白碱滩区,189,中度污染,颗粒物(PM10),38,328,0.3,5,81,76,4
20200403,02,独山子区,76,良,颗粒物(PM10),29,101,0.7,19,66,73,6
20200403,02,乌尔禾区商贸楼,53,良,颗粒物(PM10),3,55,0.5,10,59,60,7
20200403,03,长征新村,134,轻度污染,颗粒物(PM10),49,218,0.4,5,77,75,3
20200403,03,南林小区,101,轻度污染,颗粒物(PM10),36,151,0.6,6,82,78,5
20200403,03,白碱滩区,174,中度污染,颗粒物(PM10),34,297,0.3,5,79,77,4
20200403,03,独山子区,77,良,颗粒物(PM10),36,104,0.6,31,56,67,6
20200403,03,乌尔禾区商贸楼,43,优,NaN,14,43,0.5,11,53,58,7
20200403,03,长征新村,134,轻度污染,颗粒物(PM10),49,218,0.4,5,77,75,3
20200403,03,南林小区,101,轻度污染,颗粒物(PM10),36,151,0.6,6,82,78,5
20200403,03,白碱滩区,174,中度污染,颗粒物(PM10),34,297,0.3,5,79,77,4
20200403,03,独山子区,77,良,颗粒物(PM10),36,104,0.6,31,56,67,6
20200403,03,乌尔禾区商贸楼,43,优,NaN,14,43,0.5,11,53,58,7
20200403,08,长征新村,95,良,颗粒物(PM10),28,139,0.5,18,55,69,3
20200403,08,南林小区,78,良,颗粒物(PM10),39,106,0.7,30,42,68,6
20200403,08,白碱滩区,132,轻度污染,颗粒物(PM10),24,214,0.4,40,24,49,6
20200403,08,独山子区,79,良,颗粒物(PM10),28,107,0.6,21,66,75,6
20200403,08,乌尔禾区商贸楼,48,优,NaN,8,48,0.8,17,31,52,7
20200403,09,长征新村,91,良,颗粒物(PM10),34,132,0.6,29,51,66,11
20200403,09,南林小区,80,良,颗粒物(PM10),40,109,1.2,47,33,63,9
20200403,09,白碱滩区,117,轻度污染,颗粒物(PM10),38,183,0.6,52,16,42,5
20200403,09,独山子区,96,良,颗粒物(PM10),20,141,1.0,65,24,68,7
20200403,09,乌尔禾区商贸楼,53,良,颗粒物(PM10),3,56,0.7,26,22,48,8
20200403,10,长征新村,82,良,颗粒物(PM10),32,114,0.7,42,39,62,4
20200403,10,南林小区,73,良,颗粒物(PM10),32,96,1.8,79,7,54,8
20200403,10,白碱滩区,123,轻度污染,颗粒物(PM10),42,195,0.6,76,6,33,8
20200403,10,独山子区,111,轻度污染,颗粒物(PM10),32,172,1.3,86,14,61,7
20200403,10,乌尔禾区商贸楼,61,良,颗粒物(PM10),14,72,0.7,32,24,43,8
20200403,11,长征新村,78,良,颗粒物(PM10),24,105,0.5,41,37,56,8
20200403,11,南林小区,70,良,颗粒物(PM10),26,90,0.7,38,37,49,12
20200403,11,白碱滩区,132,轻度污染,颗粒物(PM10),44,214,0.6,52,25,26,9
20200403,11,独山子区,98,良,颗粒物(PM10),47,145,0.6,21,81,64,6
20200403,11,乌尔禾区商贸楼,84,良,颗粒物(PM10),8,118,0.6,28,32,40,8
20200403,12,长征新村,84,良,颗粒物(PM10),28,118,0.5,29,47,53,4
20200403,12,南林小区,69,良,颗粒物(PM10),21,87,0.6,31,44,44,5
20200403,12,白碱滩区,126,轻度污染,颗粒物(PM10),27,202,0.6,36,44,28,6
20200403,12,独山子区,85,良,颗粒物(PM10),38,120,0.6,16,84,64,6
20200403,12,乌尔禾区商贸楼,NaN,,NaN,26,NaN,0.6,25,50,40,9
20200403,13,长征新村,84,良,颗粒物(PM10),18,117,0.5,33,51,50,4
20200403,13,南林小区,66,良,颗粒物(PM10),14,82,0.7,32,51,40,6
20200403,13,白碱滩区,102,轻度污染,颗粒物(PM10),32,154,0.4,22,54,29,5
20200403,13,独山子区,86,良,颗粒物(PM10),27,122,0.5,16,86,65,8
20200403,13,乌尔禾区商贸楼,80,良,颗粒物(PM10),13,110,0.6,9,67,41,8
20200403,14,长征新村,84,良,颗粒物(PM10),23,118,0.5,25,63,48,4
20200403,14,南林小区,64,良,颗粒物(PM10),19,78,0.6,20,65,40,6
20200403,14,白碱滩区,87,良,颗粒物(PM10),19,123,0.4,16,61,33,6
20200403,14,独山子区,87,良,颗粒物(PM10),30,124,0.6,13,90,66,9
20200403,14,乌尔禾区商贸楼,62,良,颗粒物(PM10),2,74,0.5,6,77,43,7
20200403,15,长征新村,81,良,颗粒物(PM10),36,112,0.5,17,NaN,49,4
20200403,15,南林小区,55,良,颗粒物(PM10),17,59,0.6,15,73,44,5
20200403,15,白碱滩区,78,良,颗粒物(PM10),23,105,0.4,10,68,37,5
20200403,15,独山子区,95,良,颗粒物(PM10),31,139,0.6,10,95,68,10
20200403,15,乌尔禾区商贸楼,65,良,颗粒物(PM10),1,80,0.5,5,87,49,8
20200403,16,长征新村,NaN,,NaN,NaN,NaN,0.4,11,NaN,48,3
20200403,16,南林小区,46,优,NaN,9,46,0.6,10,85,49,5
20200403,16,白碱滩区,66,良,颗粒物(PM10),3,82,NaN,9,78,44,5
20200403,16,独山子区,104,轻度污染,颗粒物(PM10),32,158,0.5,8,98,72,7
20200403,16,乌尔禾区商贸楼,78,良,颗粒物(PM10),17,105,0.5,6,100,57,8
20200403,17,长征新村,77,良,颗粒物(PM10),22,104,0.5,8,93,55,3
20200403,17,南林小区,48,优,NaN,6,48,0.7,NaN,96,57,6
20200403,17,白碱滩区,82,良,颗粒物(PM10),14,114,NaN,6,93,54,5
20200403,17,独山子区,109,轻度污染,颗粒物(PM10),36,168,0.6,7,102,81,7
20200403,17,乌尔禾区商贸楼,78,良,颗粒物(PM10),13,106,0.6,5,112,69,9
20200403,18,长征新村,78,良,颗粒物(PM10),30,106,0.5,7,99,65,5
20200403,18,南林小区,50,优,NaN,11,50,0.7,13,NaN,64,7
20200403,18,白碱滩区,91,良,颗粒物(PM10),3,131,0.4,7,97,65,6
20200403,18,独山子区,107,轻度污染,颗粒物(PM10),34,164,0.6,8,108,93,7
20200403,18,乌尔禾区商贸楼,85,良,颗粒物(PM10),18,120,0.6,5,116,80,9
20200403,19,长征新村,81,良,颗粒物(PM10),20,111,0.5,11,97,75,5
20200403,19,南林小区,55,良,颗粒物(PM10),19,60,NaN,14,104,74,NaN
20200403,19,白碱滩区,93,良,颗粒物(PM10),16,135,0.4,7,97,74,6
20200403,19,独山子区,103,轻度污染,颗粒物(PM10),34,156,0.6,8,109,96,6
20200403,19,乌尔禾区商贸楼,76,良,颗粒物(PM10),24,102,0.6,6,116,91,9
20200403,20,长征新村,70,良,颗粒物(PM10),18,90,0.5,15,94,83,5
20200403,20,南林小区,NaN,,NaN,NaN,NaN,0.5,13,104,83,8
20200403,20,白碱滩区,90,良,颗粒物(PM10),1,129,0.5,13,91,80,6
20200403,20,独山子区,103,轻度污染,颗粒物(PM10),37,155,0.6,16,107,99,8
20200403,20,乌尔禾区商贸楼,78,良,颗粒物(PM10),38,105,0.6,8,113,98,10
20200403,21,长征新村,75,良,颗粒物(PM10),23,99,0.6,22,84,88,5
20200403,21,南林小区,83,良,颗粒物(PM10),27,115,0.5,27,90,88,7
20200403,21,白碱滩区,101,轻度污染,颗粒物(PM10),30,151,0.5,15,89,84,6
20200403,21,独山子区,100,良,颗粒物(PM10),34,150,0.6,26,99,101,10
20200403,21,乌尔禾区商贸楼,75,良,颗粒物(PM10),10,99,0.6,12,105,103,9
20200403,22,长征新村,83,良,颗粒物(PM10),19,115,0.5,26,77,91,4
20200403,22,南林小区,86,良,颗粒物(PM10),30,121,0.5,27,86,91,6
20200403,22,白碱滩区,101,轻度污染,颗粒物(PM10),29,151,0.5,23,79,86,6
20200403,22,独山子区,95,良,颗粒物(PM10),34,140,0.8,47,74,99,7
20200403,22,乌尔禾区商贸楼,79,良,颗粒物(PM10),49,108,0.7,37,63,102,9
20200403,23,长征新村,86,良,颗粒物(PM10),26,122,0.5,8,94,91,4
20200403,23,南林小区,60,良,颗粒物(PM10),18,70,0.5,18,92,94,6
20200403,23,白碱滩区,93,良,颗粒物(PM10),14,136,0.4,19,78,88,5
20200403,23,独山子区,99,良,颗粒物(PM10),46,147,0.7,25,83,98,7
20200403,23,乌尔禾区商贸楼,102,轻度污染,颗粒物(PM10),31,153,0.7,54,43,96,9
20200404,00,长征新村,85,良,颗粒物(PM10),35,119,0.6,13,85,90,4
20200404,00,南林小区,56,良,颗粒物(PM10),20,62,0.6,19,90,95,6
20200404,00,白碱滩区,90,良,颗粒物(PM10),20,129,0.4,14,86,89,5
20200404,00,独山子区,94,良,颗粒物(PM10),52,137,0.7,22,97,97,8
20200404,00,乌尔禾区商贸楼,100,良,颗粒物(PM10),22,149,0.7,49,32,88,16
20200404,01,长征新村,81,良,颗粒物(PM10),36,111,0.5,9,88,88,4
20200404,01,南林小区,55,良,颗粒物(PM10),25,60,0.5,22,86,86,6
20200404,01,白碱滩区,88,良,颗粒物(PM10),2,125,0.4,12,87,87,5
20200404,01,独山子区,94,良,颗粒物(PM10),42,138,0.8,29,87,87,9
20200404,01,乌尔禾区商贸楼,85,良,颗粒物(PM10),23,119,0.7,50,30,30,12
20200404,02,长征新村,73,良,颗粒物(PM10),22,95,0.5,8,86,87,4
20200404,02,南林小区,58,良,颗粒物(PM10),20,65,0.7,39,65,76,6
20200404,02,白碱滩区,92,良,颗粒物(PM10),21,133,0.4,8,84,86,5
20200404,02,独山子区,93,良,颗粒物(PM10),39,135,0.8,25,70,78,9
20200404,02,乌尔禾区商贸楼,79,良,颗粒物(PM10),18,107,0.6,38,41,36,14
20200404,03,长征新村,65,良,颗粒物(PM10),17,79,0.5,12,80,85,3
20200404,03,南林小区,59,良,颗粒物(PM10),18,67,0.6,28,71,74,6
20200404,03,白碱滩区,77,良,颗粒物(PM10),16,104,0.4,10,79,83,5
20200404,03,独山子区,89,良,颗粒物(PM10),39,127,0.7,36,52,70,8
20200404,03,乌尔禾区商贸楼,71,良,颗粒物(PM10),28,92,0.6,36,48,40,17
20200404,08,长征新村,59,良,颗粒物(PM10),15,67,0.6,11,74,78,4
20200404,08,南林小区,54,良,颗粒物(PM10),16,58,0.5,17,70,70,6
20200404,08,白碱滩区,87,良,颗粒物(PM10),6,124,0.5,21,48,65,5
20200404,08,独山子区,85,良,颗粒物(PM10),36,119,1.0,30,49,65,9
20200404,08,乌尔禾区商贸楼,61,良,颗粒物(PM10),23,72,0.6,5,78,61,7
20200404,09,长征新村,61,良,颗粒物(PM10),32,71,0.6,21,70,76,4
20200404,09,南林小区,54,良,颗粒物(PM10),17,57,0.6,34,62,67,6
20200404,09,白碱滩区,82,良,颗粒物(PM10),17,113,0.7,53,17,57,6
20200404,09,独山子区,89,良,颗粒物(PM10),44,127,1.0,62,29,58,10
20200404,09,乌尔禾区商贸楼,62,良,颗粒物(PM10),11,74,0.6,14,69,66,7
20200404,10,长征新村,64,良,颗粒物(PM10),23,78,0.7,31,62,73,4
20200404,10,南林小区,56,良,颗粒物(PM10),20,62,0.9,73,36,63,6
20200404,10,白碱滩区,94,良,颗粒物(PM10),8,137,0.7,60,22,49,7
20200404,10,独山子区,108,轻度污染,颗粒物(PM10),45,166,1.6,80,19,52,12
20200404,10,乌尔禾区商贸楼,67,良,颗粒物(PM10),9,83,1.0,31,45,67,9
20200404,11,长征新村,69,良,颗粒物(PM10),23,87,0.6,28,64,71,4
20200404,11,南林小区,59,良,颗粒物(PM10),18,68,0.8,65,44,60,6
20200404,11,白碱滩区,97,良,颗粒物(PM10),14,144,0.6,52,44,44,16
20200404,11,独山子区,114,轻度污染,颗粒物(PM10),50,177,0.9,38,78,55,13
20200404,11,乌尔禾区商贸楼,82,良,颗粒物(PM10),3,113,0.8,20,57,68,8
