Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,职工医院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,兰炼宾馆,53,良,细颗粒物(PM2.5),37,50,0.9,42,33,56,15
20200402,08,榆中兰大校区,52,良,颗粒物(PM10),17,53,0.5,21,46,49,5
20200402,08,生物制品所,53,良,颗粒物(PM10),30,56,0.6,29,50,61,7
20200402,08,铁路设计院,47,优,NaN,30,47,0.8,50,36,64,6
20200402,08,榆中兰大校区(对照点),45,优,NaN,16,45,0.8,6,65,62,3
20200402,08,教育港（20181115启用）,95,良,细颗粒物(PM2.5),71,117,1.9,56,6,10,14
20200402,08,教育港,52,良,细颗粒物(PM2.5),36,48,0.5,31,48,54,5
20200402,09,职工医院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,兰炼宾馆,63,良,颗粒物(PM10),39,75,0.8,48,35,53,15
20200402,09,榆中兰大校区,52,良,颗粒物(PM10),17,53,0.5,21,46,49,5
20200402,09,生物制品所,59,良,颗粒物(PM10),33,68,0.8,35,43,56,15
20200402,09,铁路设计院,50,优,NaN,35,49,1.0,54,34,58,12
20200402,09,榆中兰大校区(对照点),46,优,NaN,17,46,0.8,14,58,60,4
20200402,09,教育港（20181115启用）,95,良,细颗粒物(PM2.5),71,117,1.9,56,6,10,14
20200402,09,教育港,51,良,颗粒物(PM10),32,51,0.5,23,55,54,6
20200402,10,职工医院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,兰炼宾馆,68,良,细颗粒物(PM2.5),49,79,0.8,52,23,48,13
20200402,10,榆中兰大校区,52,良,颗粒物(PM10),17,53,0.5,21,46,49,5
20200402,10,生物制品所,61,良,颗粒物(PM10),33,72,0.7,31,51,53,35
20200402,10,铁路设计院,51,良,颗粒物(PM10),34,52,1.0,47,40,54,23
20200402,10,榆中兰大校区(对照点),51,良,颗粒物(PM10),22,52,0.8,16,52,59,3
20200402,10,教育港（20181115启用）,95,良,细颗粒物(PM2.5),71,117,1.9,56,6,10,14
20200402,10,教育港,52,良,颗粒物(PM10),30,54,0.5,20,60,54,10
20200402,11,职工医院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,兰炼宾馆,NaN,,NaN,NaN,NaN,0.3,32,NaN,45,9
20200402,11,榆中兰大校区,52,良,颗粒物(PM10),17,53,0.5,21,46,49,5
20200402,11,生物制品所,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,铁路设计院,60,良,颗粒物(PM10),34,70,1.0,51,33,49,28
20200402,11,榆中兰大校区(对照点),53,良,颗粒物(PM10),27,55,1.1,14,69,60,3
20200402,11,教育港（20181115启用）,95,良,细颗粒物(PM2.5),71,117,1.9,56,6,10,14
20200402,11,教育港,54,良,颗粒物(PM10),29,57,0.6,26,53,53,26
