Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,盟监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,胜华新制药厂,45,优,NaN,27,45,0.4,12,69,64,4
20200402,08,科右前旗环保局,24,优,NaN,16,21,0.1,7,76,63,4
20200402,08,北滨河,23,优,NaN,15,21,0.2,13,72,71,4
20200402,09,盟监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,胜华新制药厂,45,优,NaN,22,45,0.4,12,76,66,3
20200402,09,科右前旗环保局,26,优,NaN,10,19,0.1,6,83,68,4
20200402,09,北滨河,26,优,NaN,15,22,0.2,9,81,73,4
20200402,10,盟监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,胜华新制药厂,44,优,NaN,20,44,0.4,8,90,70,3
20200402,10,科右前旗环保局,29,优,NaN,13,25,0.1,7,90,74,4
20200402,10,北滨河,30,优,NaN,9,24,0.2,5,96,76,4
20200402,11,盟监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,胜华新制药厂,51,良,颗粒物(PM10),15,52,0.4,8,99,74,3
20200402,11,科右前旗环保局,31,优,NaN,12,28,0.1,6,98,78,4
20200402,11,北滨河,33,优,NaN,11,31,0.2,5,104,80,3
20200402,12,盟监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,胜华新制药厂,51,良,颗粒物(PM10),13,51,0.4,8,101,78,2
20200402,12,科右前旗环保局,32,优,NaN,12,27,0.1,6,100,82,3
20200402,12,北滨河,34,优,NaN,17,20,0.2,5,106,84,3
20200402,13,盟监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,胜华新制药厂,39,优,NaN,12,39,0.3,5,103,82,2
20200402,13,科右前旗环保局,32,优,NaN,11,23,0.1,5,102,86,4
20200402,13,北滨河,35,优,NaN,12,22,0.2,5,109,88,3
20200402,14,盟监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,14,胜华新制药厂,34,优,NaN,15,33,0.3,6,106,88,2
20200402,14,科右前旗环保局,33,优,NaN,11,22,0.1,6,104,91,3
20200402,14,北滨河,35,优,NaN,15,22,0.2,5,110,93,NaN
20200402,15,盟监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,15,胜华新制药厂,44,优,NaN,13,44,0.3,8,105,94,2
20200402,15,科右前旗环保局,34,优,NaN,9,22,0.1,6,108,95,3
20200402,15,北滨河,35,优,NaN,21,21,NaN,5,111,99,3
20200402,16,盟监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,16,胜华新制药厂,41,优,NaN,17,41,0.3,10,103,98,2
20200402,16,科右前旗环保局,33,优,NaN,10,19,0.1,7,104,99,3
20200402,16,北滨河,29,优,NaN,20,23,0.2,NaN,NaN,102,3
20200402,17,盟监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,17,胜华新制药厂,44,优,NaN,19,44,0.3,7,103,101,2
20200402,17,科右前旗环保局,32,优,NaN,11,20,0.2,8,101,101,3
20200402,17,北滨河,34,优,NaN,22,NaN,0.2,6,106,106,2
20200402,18,盟监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,18,胜华新制药厂,44,优,NaN,15,44,0.4,10,94,102,1
20200402,18,科右前旗环保局,30,优,NaN,8,25,0.2,10,93,101,4
20200402,18,北滨河,31,优,NaN,20,25,0.2,9,97,106,2
20200402,19,盟监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,19,胜华新制药厂,53,良,颗粒物(PM10),14,55,0.4,16,81,100,2
20200402,19,科右前旗环保局,27,优,NaN,10,24,0.2,12,84,100,4
20200402,19,北滨河,33,优,NaN,16,33,0.3,16,78,102,3
20200402,20,盟监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,胜华新制药厂,52,良,颗粒物(PM10),13,54,0.4,13,81,97,2
20200402,20,科右前旗环保局,28,优,NaN,9,28,0.2,10,83,97,4
20200402,20,北滨河,47,优,NaN,27,47,0.4,16,76,98,4
20200402,20,盟监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,20,胜华新制药厂,52,良,颗粒物(PM10),13,54,0.4,13,81,97,2
20200402,20,科右前旗环保局,28,优,NaN,9,28,0.2,10,83,97,4
20200402,20,北滨河,47,优,NaN,27,47,0.4,16,76,98,4
20200402,22,盟监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,22,胜华新制药厂,38,优,NaN,19,38,0.4,9,82,91,3
20200402,22,科右前旗环保局,28,优,NaN,6,22,0.2,7,87,93,5
20200402,22,北滨河,45,优,NaN,29,45,0.4,25,57,83,6
20200402,23,盟监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,23,胜华新制药厂,33,优,NaN,17,33,0.4,10,75,88,4
20200402,23,科右前旗环保局,27,优,NaN,9,21,0.2,10,86,90,4
20200402,23,北滨河,43,优,NaN,30,39,0.4,22,60,76,4
20200403,00,盟监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,00,胜华新制药厂,37,优,NaN,19,37,0.6,14,63,82,5
20200403,00,科右前旗环保局,26,优,NaN,6,15,0.2,9,82,88,4
20200403,00,北滨河,87,良,颗粒物(PM10),31,123,0.5,50,26,69,6
20200403,01,盟监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,01,胜华新制药厂,33,优,NaN,20,33,0.4,11,67,67,4
20200403,01,科右前旗环保局,20,优,NaN,14,17,0.2,16,57,57,3
20200403,01,北滨河,60,良,颗粒物(PM10),28,70,0.4,38,34,34,6
20200403,02,盟监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,02,胜华新制药厂,23,优,NaN,13,20,0.3,6,73,70,2
20200403,02,科右前旗环保局,21,优,NaN,9,21,0.3,14,59,58,3
20200403,02,北滨河,57,良,颗粒物(PM10),18,64,0.4,36,32,33,4
20200403,03,盟监测站,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200403,03,胜华新制药厂,25,优,NaN,17,17,0.3,7,74,71,2
20200403,03,科右前旗环保局,21,优,NaN,10,14,0.3,7,65,60,2
20200403,03,北滨河,46,优,NaN,15,46,1.2,14,70,45,12
