Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,青龙寺,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,08,邛海宾馆,62,良,细颗粒物(PM2.5),44,58,0.8,41,27,75,10
20200402,08,西昌市政府,65,良,细颗粒物(PM2.5),47,74,1.0,38,32,67,17
20200402,08,凉山州政府,55,良,细颗粒物(PM2.5),39,58,1.1,41,31,53,12
20200402,08,长安,59,良,颗粒物(PM10),38,67,0.6,43,35,32,10
20200402,09,青龙寺,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,邛海宾馆,64,良,细颗粒物(PM2.5),46,60,0.7,31,42,71,10
20200402,09,西昌市政府,68,良,细颗粒物(PM2.5),49,83,1.1,42,33,61,21
20200402,09,凉山州政府,57,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",40,63,1.1,43,34,49,13
20200402,09,长安,61,良,颗粒物(PM10),39,72,0.7,44,38,33,11
20200402,10,青龙寺,101,轻度污染,颗粒物(PM10),67,151,1.8,NaN,54,54,NaN
20200402,10,邛海宾馆,64,良,细颗粒物(PM2.5),46,61,0.7,31,48,67,14
20200402,10,西昌市政府,70,良,细颗粒物(PM2.5),51,87,1.1,44,40,56,24
20200402,10,凉山州政府,64,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",46,77,1.1,45,42,45,15
20200402,10,长安,68,良,颗粒物(PM10),47,86,0.9,47,41,36,16
20200402,11,青龙寺,110,轻度污染,颗粒物(PM10),78,170,1.8,30,76,65,18
20200402,11,邛海宾馆,109,轻度污染,细颗粒物(PM2.5),82,104,1.1,36,68,63,13
20200402,11,西昌市政府,102,轻度污染,细颗粒物(PM2.5),76,132,1.2,43,66,55,14
20200402,11,凉山州政府,112,轻度污染,细颗粒物(PM2.5),84,144,1.3,40,74,47,15
20200402,11,长安,89,良,细颗粒物(PM2.5),66,113,1.0,53,56,40,15
20200402,12,青龙寺,114,轻度污染,颗粒物(PM10),84,178,1.8,25,118,83,18
20200402,12,邛海宾馆,173,中度污染,细颗粒物(PM2.5),131,156,1.4,28,132,66,17
20200402,12,西昌市政府,127,轻度污染,细颗粒物(PM2.5),96,155,1.2,25,130,62,13
20200402,12,凉山州政府,133,轻度污染,细颗粒物(PM2.5),101,157,1.3,25,135,56,15
20200402,12,长安,127,轻度污染,细颗粒物(PM2.5),96,151,1.1,35,120,51,16
20200402,13,青龙寺,101,轻度污染,颗粒物(PM10),64,152,1.4,12,134,96,12
20200402,13,邛海宾馆,109,轻度污染,细颗粒物(PM2.5),82,98,0.8,9,139,74,9
20200402,13,西昌市政府,88,良,细颗粒物(PM2.5),65,107,0.8,9,139,70,9
20200402,13,凉山州政府,85,良,细颗粒物(PM2.5),63,96,0.8,9,138,68,10
20200402,13,长安,90,良,细颗粒物(PM2.5),67,103,0.7,14,136,63,12
20200402,14,青龙寺,95,良,颗粒物(PM10),57,140,1.0,9,NaN,96,10
20200402,14,邛海宾馆,98,良,细颗粒物(PM2.5),73,103,0.6,6,140,80,8
20200402,14,西昌市政府,77,良,细颗粒物(PM2.5),56,93,0.8,8,134,78,8
20200402,14,凉山州政府,78,良,细颗粒物(PM2.5),57,89,0.7,9,136,79,10
20200402,14,长安,79,良,细颗粒物(PM2.5),58,93,0.6,13,137,75,11
20200402,15,青龙寺,101,轻度污染,颗粒物(PM10),63,152,NaN,9,136,104,NaN
