Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,万寿西宫,21,优,NaN,14,21,0.4,34,31,17,2
20200402,08,定陵,24,优,NaN,10,24,0.4,14,60,62,7
20200402,08,东四,26,优,NaN,18,NaN,0.4,26,33,28,3
20200402,08,天坛,31,优,NaN,16,31,0.4,33,24,14,2
20200402,08,农展馆,20,优,NaN,14,NaN,0.3,36,35,20,1
20200402,08,官园,15,优,NaN,10,NaN,0.3,29,41,29,4
20200402,08,海淀区万柳,20,优,NaN,14,NaN,0.4,28,37,13,2
20200402,08,顺义新城,33,优,NaN,9,33,0.2,23,40,33,3
20200402,08,怀柔镇,17,优,NaN,11,17,0.3,15,48,48,3
20200402,08,昌平镇,34,优,NaN,10,34,0.5,16,51,47,5
20200402,08,奥体中心,20,优,NaN,14,15,0.8,39,34,12,7
20200402,08,古城,25,优,NaN,16,25,0.2,12,54,21,2
20200402,09,万寿西宫,15,优,NaN,8,13,0.4,22,48,19,2
20200402,09,定陵,21,优,NaN,9,17,0.3,9,67,64,4
20200402,09,东四,17,优,NaN,8,11,0.4,18,52,30,5
20200402,09,天坛,22,优,NaN,15,21,0.4,26,45,16,4
20200402,09,农展馆,18,优,NaN,7,18,0.3,26,53,21,2
20200402,09,官园,18,优,NaN,8,11,0.3,19,55,30,4
20200402,09,海淀区万柳,28,优,NaN,12,28,0.4,24,45,14,2
20200402,09,顺义新城,20,优,NaN,9,16,0.2,8,61,35,3
20200402,09,怀柔镇,27,优,NaN,6,27,0.2,19,47,47,3
20200402,09,昌平镇,34,优,NaN,10,34,0.4,12,60,48,3
20200402,09,奥体中心,21,优,NaN,12,21,0.8,26,47,13,7
20200402,09,古城,30,优,NaN,21,NaN,0.2,10,61,27,1
20200402,10,万寿西宫,20,优,NaN,2,13,0.3,12,63,24,1
20200402,10,定陵,24,优,NaN,5,18,0.2,6,74,66,2
20200402,10,东四,22,优,NaN,6,9,0.3,9,68,34,3
20200402,10,天坛,19,优,NaN,8,18,0.3,15,59,20,3
20200402,10,农展馆,22,优,NaN,8,13,0.3,17,68,26,1
20200402,10,官园,22,优,NaN,4,NaN,0.2,12,69,34,3
20200402,10,海淀区万柳,21,优,NaN,6,21,0.3,10,67,21,1
20200402,10,顺义新城,22,优,NaN,8,22,0.2,10,63,39,3
20200402,10,怀柔镇,24,优,NaN,6,24,0.2,12,58,48,3
20200402,10,昌平镇,44,优,NaN,13,44,0.3,9,68,50,3
20200402,10,奥体中心,20,优,NaN,10,11,0.8,14,63,19,5
20200402,10,古城,NaN,,NaN,NaN,17,0.2,9,65,35,3
20200402,11,万寿西宫,23,优,NaN,4,7,0.3,6,73,32,1
20200402,11,定陵,3,优,NaN,NaN,2,0.2,6,NaN,66,2
20200402,11,东四,24,优,NaN,4,12,0.2,5,76,42,3
20200402,11,天坛,21,优,NaN,7,14,0.2,12,66,27,2
20200402,11,农展馆,25,优,NaN,6,15,0.2,12,77,32,3
20200402,11,官园,25,优,NaN,3,NaN,0.2,7,79,42,3
20200402,11,海淀区万柳,24,优,NaN,5,NaN,0.3,6,76,30,1
20200402,11,顺义新城,23,优,NaN,8,NaN,0.2,7,72,46,3
20200402,11,怀柔镇,22,优,NaN,5,11,0.2,7,70,50,3
20200402,11,昌平镇,27,优,NaN,8,27,0.2,8,72,53,3
20200402,11,奥体中心,22,优,NaN,3,15,0.7,8,69,28,5
20200402,11,古城,93,良,细颗粒物(PM2.5),69,NaN,0.1,4,75,42,3
20200402,12,万寿西宫,25,优,NaN,5,9,0.3,5,77,41,1
20200402,12,定陵,25,优,NaN,1,NaN,0.2,4,80,66,2
20200402,12,东四,25,优,NaN,2,7,0.2,3,80,50,2
20200402,12,天坛,62,良,颗粒物(PM10),3,74,0.2,7,69,35,1
20200402,12,农展馆,26,优,NaN,9,10,0.2,9,82,43,3
20200402,12,官园,27,优,NaN,6,6,0.2,6,84,50,2
20200402,12,海淀区万柳,26,优,NaN,5,12,0.2,4,82,40,3
20200402,12,顺义新城,25,优,NaN,9,NaN,0.2,4,79,52,3
20200402,12,怀柔镇,24,优,NaN,3,10,0.2,6,76,54,3
20200402,12,昌平镇,24,优,NaN,NaN,19,0.2,7,75,58,3
20200402,12,奥体中心,24,优,NaN,6,NaN,0.3,6,74,37,4
20200402,12,古城,25,优,NaN,8,8,0.1,3,79,52,3
20200402,13,万寿西宫,26,优,NaN,2,6,0.2,3,82,50,3
20200402,13,定陵,20,优,NaN,1,NaN,0.2,6,63,65,1
20200402,13,东四,27,优,NaN,3,6,0.2,2,84,58,1
20200402,13,天坛,24,优,NaN,4,16,0.2,5,76,44,1
20200402,13,农展馆,27,优,NaN,7,9,0.1,7,85,53,3
20200402,13,官园,28,优,NaN,2,5,0.1,4,89,57,2
20200402,13,海淀区万柳,27,优,NaN,5,6,0.2,4,85,50,3
20200402,13,顺义新城,26,优,NaN,12,NaN,0.2,4,82,57,3
20200402,13,怀柔镇,27,优,NaN,5,7,0.2,2,84,58,3
20200402,13,昌平镇,25,优,NaN,2,19,0.2,6,78,60,3
20200402,13,奥体中心,25,优,NaN,1,2,0.3,4,77,46,3
20200402,13,古城,26,优,NaN,NaN,7,0.1,2,81,62,3
20200402,14,万寿西宫,26,优,NaN,2,8,0.2,5,83,59,3
20200402,14,定陵,27,优,NaN,6,NaN,0.2,1,85,69,2
20200402,14,东四,28,优,NaN,6,10,0.1,2,87,64,1
20200402,14,天坛,25,优,NaN,2,9,0.2,5,80,54,1
