Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,迈皋桥,40,优,NaN,11,40,0.8,57,33,33,8
20200402,08,草场门,32,优,NaN,7,32,0.9,32,72,76,5
20200402,08,山西路,45,优,NaN,20,45,0.6,37,51,58,13
20200402,08,中华门,45,优,NaN,10,45,1.0,35,56,54,10
20200402,08,瑞金路,39,优,NaN,11,39,0.7,36,60,64,6
20200402,08,玄武湖,36,优,NaN,12,36,0.9,44,57,61,8
20200402,08,浦口,53,良,颗粒物(PM10),20,56,0.3,48,40,42,4
20200402,08,奥体中心,29,优,NaN,10,NaN,0.9,57,55,56,6
20200402,08,仙林大学城,45,优,NaN,8,45,0.5,31,67,50,5
20200402,09,迈皋桥,45,优,NaN,14,45,0.7,34,64,34,8
20200402,09,草场门,41,优,NaN,8,41,0.8,23,85,78,5
20200402,09,山西路,46,优,NaN,19,46,0.5,19,75,61,12
20200402,09,中华门,46,优,NaN,16,46,0.8,19,83,57,8
20200402,09,瑞金路,52,良,颗粒物(PM10),13,54,0.5,24,73,65,6
20200402,09,玄武湖,37,优,NaN,15,37,0.9,36,72,63,10
20200402,09,浦口,56,良,颗粒物(PM10),20,62,0.2,37,63,44,5
20200402,09,奥体中心,29,优,NaN,13,NaN,0.6,29,90,60,5
20200402,09,仙林大学城,47,优,NaN,8,47,0.5,25,82,53,5
20200402,10,迈皋桥,52,良,颗粒物(PM10),12,53,0.6,20,86,41,8
20200402,10,草场门,38,优,NaN,12,38,0.8,18,97,81,5
20200402,10,山西路,43,优,NaN,21,43,0.5,14,83,64,10
20200402,10,中华门,42,优,NaN,6,42,0.9,19,87,61,8
20200402,10,瑞金路,49,优,NaN,14,49,0.5,22,81,67,6
20200402,10,玄武湖,29,优,NaN,12,29,0.9,32,83,67,8
20200402,10,浦口,53,良,颗粒物(PM10),13,56,0.1,22,85,48,4
20200402,10,奥体中心,30,优,NaN,7,NaN,0.7,28,94,66,5
20200402,10,仙林大学城,42,优,NaN,6,42,0.5,22,89,57,4
20200402,11,迈皋桥,30,优,NaN,7,30,0.7,21,87,48,7
20200402,11,草场门,38,优,NaN,13,38,0.8,22,94,82,5
20200402,11,山西路,33,优,NaN,17,33,0.5,15,84,68,10
20200402,11,中华门,36,优,NaN,14,36,1.0,18,92,65,9
20200402,11,瑞金路,36,优,NaN,11,36,0.6,23,82,69,6
20200402,11,玄武湖,29,优,NaN,7,29,0.9,32,82,70,9
20200402,11,浦口,49,优,NaN,7,49,0.2,24,86,54,4
20200402,11,奥体中心,31,优,NaN,10,NaN,0.7,28,97,70,5
20200402,11,仙林大学城,36,优,NaN,5,36,0.5,25,88,63,5
20200402,12,迈皋桥,42,优,NaN,3,42,0.8,33,81,53,10
20200402,12,草场门,34,优,NaN,8,34,0.8,21,99,84,5
20200402,12,山西路,31,优,NaN,19,31,0.5,15,88,72,10
20200402,12,中华门,39,优,NaN,12,39,0.9,17,99,70,8
20200402,12,瑞金路,27,优,NaN,17,27,0.5,24,85,71,6
20200402,12,玄武湖,32,优,NaN,9,32,0.9,32,87,72,10
20200402,12,浦口,45,优,NaN,3,45,0.2,NaN,89,60,5
20200402,12,奥体中心,33,优,NaN,12,NaN,0.7,26,105,75,5
20200402,12,仙林大学城,40,优,NaN,7,40,0.5,30,86,70,7
20200402,13,迈皋桥,59,良,颗粒物(PM10),9,67,0.9,31,90,60,11
20200402,13,草场门,32,优,NaN,15,29,0.8,27,102,87,6
20200402,13,山西路,34,优,NaN,10,34,0.6,23,91,74,12
20200402,13,中华门,36,优,NaN,6,36,0.9,15,108,76,8
20200402,13,瑞金路,38,优,NaN,19,38,0.5,25,87,74,6
20200402,13,玄武湖,40,优,NaN,8,40,1.0,37,88,75,12
20200402,13,浦口,53,良,颗粒物(PM10),9,55,0.3,26,98,68,NaN
20200402,13,奥体中心,35,优,NaN,12,NaN,0.6,26,111,81,4
20200402,13,仙林大学城,44,优,NaN,14,44,0.6,32,91,74,8
20200402,14,迈皋桥,52,良,颗粒物(PM10),13,53,0.9,27,103,70,12
