Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,西山风景区,55,良,细颗粒物(PM2.5),39,NaN,0.7,15,51,55,3
20200402,08,南充市委,48,优,NaN,33,38,0.8,45,17,19,4
20200402,08,南充炼油厂,43,优,NaN,30,43,0.5,21,33,31,11
20200402,08,高坪区监测站,46,优,NaN,26,46,0.6,26,33,35,10
20200402,08,嘉陵区环保局,35,优,NaN,24,33,0.8,29,39,45,5
20200402,08,市环境监测站,48,优,NaN,23,48,0.5,18,29,33,1
20200402,09,西山风景区,54,良,细颗粒物(PM2.5),38,NaN,0.7,18,44,54,20
20200402,09,南充市委,53,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",37,56,0.8,47,17,19,5
20200402,09,南充炼油厂,47,优,NaN,25,47,0.6,33,28,32,12
20200402,09,高坪区监测站,53,良,颗粒物(PM10),34,56,0.7,31,26,35,5
20200402,09,嘉陵区环保局,52,良,细颗粒物(PM2.5),36,43,0.8,38,33,45,4
20200402,09,市环境监测站,49,优,NaN,28,49,0.6,28,29,34,1
20200402,10,西山风景区,39,优,NaN,27,38,0.8,29,41,53,3
20200402,10,南充市委,59,良,颗粒物(PM10),30,67,0.8,42,20,20,8
20200402,10,南充炼油厂,52,良,颗粒物(PM10),31,54,0.7,38,22,31,11
20200402,10,高坪区监测站,58,良,颗粒物(PM10),32,65,0.7,23,34,36,2
20200402,10,嘉陵区环保局,50,优,NaN,35,45,0.8,26,46,46,5
20200402,10,市环境监测站,54,良,细颗粒物(PM2.5),38,47,0.6,40,23,32,1
20200402,11,西山风景区,60,良,细颗粒物(PM2.5),43,NaN,0.7,20,52,53,1
20200402,11,南充市委,63,良,颗粒物(PM10),41,76,0.7,47,17,19,5
20200402,11,南充炼油厂,66,良,颗粒物(PM10),39,82,0.6,32,31,30,8
20200402,11,高坪区监测站,57,良,颗粒物(PM10),30,64,0.6,24,32,34,3
20200402,11,嘉陵区环保局,49,优,NaN,31,49,0.6,20,52,45,3
20200402,11,市环境监测站,54,良,颗粒物(PM10),37,58,0.6,33,33,31,3
20200402,12,西山风景区,49,优,NaN,25,49,0.7,16,59,52,2
20200402,12,南充市委,63,良,细颗粒物(PM2.5),45,64,0.7,40,21,19,5
20200402,12,南充炼油厂,57,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",40,64,0.6,31,33,30,8
20200402,12,高坪区监测站,59,良,颗粒物(PM10),32,67,0.6,28,33,33,3
20200402,12,嘉陵区环保局,52,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",36,54,0.7,27,48,45,3
20200402,12,市环境监测站,55,良,颗粒物(PM10),35,59,0.6,30,40,31,3
20200402,13,西山风景区,55,良,细颗粒物(PM2.5),39,50,0.7,11,65,53,2
20200402,13,南充市委,62,良,颗粒物(PM10),37,73,0.7,32,27,20,5
20200402,13,南充炼油厂,56,良,颗粒物(PM10),32,61,0.6,21,45,31,7
20200402,13,高坪区监测站,69,良,颗粒物(PM10),36,87,0.6,23,39,33,2
20200402,13,嘉陵区环保局,46,优,NaN,22,46,0.7,26,51,45,4
20200402,13,市环境监测站,51,良,颗粒物(PM10),34,51,0.6,19,46,32,1
20200402,14,西山风景区,59,良,细颗粒物(PM2.5),42,50,0.7,16,60,53,2
20200402,14,南充市委,58,良,细颗粒物(PM2.5),41,55,0.7,34,24,20,5
20200402,14,南充炼油厂,53,良,颗粒物(PM10),29,56,0.6,27,39,32,8
20200402,14,高坪区监测站,66,良,颗粒物(PM10),38,81,0.6,20,45,34,1
20200402,14,嘉陵区环保局,62,良,细颗粒物(PM2.5),44,54,0.7,24,51,46,3
20200402,14,市环境监测站,50,优,NaN,31,50,0.6,20,44,34,1
20200402,15,西山风景区,54,良,细颗粒物(PM2.5),38,49,0.7,16,59,54,3
20200402,15,南充市委,67,良,细颗粒物(PM2.5),48,67,0.7,36,23,21,5
20200402,15,南充炼油厂,57,良,颗粒物(PM10),35,63,0.6,28,35,33,10
20200402,15,高坪区监测站,55,良,颗粒物(PM10),37,59,NaN,20,54,37,1
20200402,15,嘉陵区环保局,53,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",37,55,0.7,22,53,47,4
20200402,15,市环境监测站,50,优,NaN,32,50,0.6,22,44,36,1
20200402,16,西山风景区,54,良,细颗粒物(PM2.5),38,49,0.7,16,59,55,2
20200402,16,南充市委,67,良,细颗粒物(PM2.5),48,72,0.6,29,30,22,3
20200402,16,南充炼油厂,60,良,颗粒物(PM10),31,69,0.6,26,43,34,7
20200402,16,高坪区监测站,97,良,细颗粒物(PM2.5),72,NaN,0.5,22,54,40,2
20200402,16,嘉陵区环保局,54,良,细颗粒物(PM2.5),38,51,NaN,17,59,49,2
20200402,16,市环境监测站,54,良,颗粒物(PM10),35,57,0.6,24,50,39,2
20200402,17,西山风景区,60,良,细颗粒物(PM2.5),43,49,0.7,14,63,57,2
20200402,17,南充市委,64,良,细颗粒物(PM2.5),46,56,0.6,33,28,24,2
20200402,17,南充炼油厂,57,良,颗粒物(PM10),36,63,0.5,25,48,37,5
20200402,17,高坪区监测站,49,优,NaN,33,49,0.5,19,48,42,2
20200402,17,嘉陵区环保局,64,良,细颗粒物(PM2.5),46,51,0.6,22,57,52,1
20200402,17,市环境监测站,46,优,NaN,32,41,0.5,23,55,42,4
20200402,18,西山风景区,50,优,NaN,35,45,0.6,12,71,61,3
20200402,18,南充市委,55,良,颗粒物(PM10),36,60,0.5,32,34,26,3
20200402,18,南充炼油厂,57,良,颗粒物(PM10),39,63,0.5,21,51,41,6
20200402,18,高坪区监测站,56,良,颗粒物(PM10),36,62,0.5,13,61,46,3
20200402,18,嘉陵区环保局,51,良,颗粒物(PM10),34,52,0.6,25,60,54,2
20200402,18,市环境监测站,46,优,NaN,30,46,0.4,18,62,47,10
20200402,19,西山风景区,43,优,NaN,30,40,0.6,10,69,63,1
20200402,19,南充市委,52,良,细颗粒物(PM2.5),36,52,0.5,35,36,28,3
20200402,19,南充炼油厂,42,优,NaN,21,42,0.5,24,49,43,5
20200402,19,高坪区监测站,39,优,NaN,14,39,0.5,15,61,49,5
20200402,19,嘉陵区环保局,40,优,NaN,15,40,0.5,18,64,55,2
20200402,19,市环境监测站,36,优,NaN,15,36,0.5,19,58,50,4
20200402,20,西山风景区,58,良,细颗粒物(PM2.5),41,NaN,0.6,9,56,63,4
20200402,20,南充市委,63,良,细颗粒物(PM2.5),45,NaN,0.6,29,28,29,2
20200402,20,南充炼油厂,46,优,NaN,31,46,0.5,20,41,44,5
20200402,20,高坪区监测站,59,良,细颗粒物(PM2.5),42,57,0.5,14,49,51,3
20200402,20,嘉陵区环保局,36,优,NaN,22,36,0.6,22,54,56,1
20200402,20,市环境监测站,41,优,NaN,25,41,0.5,27,39,50,5
20200402,20,西山风景区,58,良,细颗粒物(PM2.5),41,NaN,0.6,9,56,63,4
20200402,20,南充市委,63,良,细颗粒物(PM2.5),45,NaN,0.6,29,28,29,2
20200402,20,南充炼油厂,46,优,NaN,31,46,0.5,20,41,44,5
20200402,20,高坪区监测站,59,良,细颗粒物(PM2.5),42,57,0.5,14,49,51,3
20200402,20,嘉陵区环保局,36,优,NaN,22,36,0.6,22,54,56,1
20200402,20,市环境监测站,41,优,NaN,25,41,0.5,27,39,50,5
20200402,22,西山风景区,43,优,NaN,30,32,0.6,9,49,59,2
20200402,22,南充市委,58,良,细颗粒物(PM2.5),41,55,0.6,28,20,27,3
20200402,22,南充炼油厂,42,优,NaN,28,42,0.5,20,34,42,6
20200402,22,高坪区监测站,49,优,NaN,29,49,0.5,20,37,51,2
20200402,22,嘉陵区环保局,54,良,细颗粒物(PM2.5),38,39,0.6,20,47,55,3
20200402,22,市环境监测站,40,优,NaN,28,39,0.5,18,38,48,6
20200402,23,西山风景区,43,优,NaN,30,NaN,0.6,12,53,58,4
20200402,23,南充市委,40,优,NaN,22,40,0.6,31,22,27,11
20200402,23,南充炼油厂,41,优,NaN,23,41,0.5,19,35,42,5
20200402,23,高坪区监测站,35,优,NaN,21,35,0.5,23,34,48,2
20200402,23,嘉陵区环保局,30,优,NaN,15,30,0.6,16,49,55,7
20200402,23,市环境监测站,33,优,NaN,22,33,0.5,14,40,48,4
20200403,00,西山风景区,33,优,NaN,23,23,0.6,12,54,58,2
20200403,00,南充市委,40,优,NaN,24,40,0.6,28,22,26,15
20200403,00,南充炼油厂,33,优,NaN,23,33,0.5,17,40,42,14
20200403,00,高坪区监测站,36,优,NaN,20,36,0.5,23,36,46,1
20200403,00,嘉陵区环保局,33,优,NaN,15,33,0.5,12,54,54,5
20200403,00,市环境监测站,28,优,NaN,19,19,0.5,12,42,47,7
20200403,01,西山风景区,36,优,NaN,25,NaN,0.6,8,52,52,3
20200403,01,南充市委,35,优,NaN,24,28,0.5,25,19,19,5
20200403,01,南充炼油厂,33,优,NaN,18,33,0.5,15,38,38,28
20200403,01,高坪区监测站,33,优,NaN,23,27,0.4,21,38,38,8
20200403,01,嘉陵区环保局,25,优,NaN,17,18,0.5,8,54,54,3
20200403,01,市环境监测站,20,优,NaN,14,18,0.5,13,41,41,23
20200403,02,西山风景区,38,优,NaN,26,NaN,0.6,14,50,51,1
20200403,02,南充市委,28,优,NaN,19,NaN,0.5,24,21,20,3
20200403,02,南充炼油厂,40,优,NaN,25,40,0.5,18,39,38,16
20200403,02,高坪区监测站,24,优,NaN,9,24,0.4,22,38,38,6
20200403,02,嘉陵区环保局,17,优,NaN,10,15,0.5,8,53,54,4
20200403,02,市环境监测站,25,优,NaN,17,23,0.5,13,38,40,5
20200403,03,西山风景区,20,优,NaN,14,20,0.6,15,56,53,1
20200403,03,南充市委,36,优,NaN,25,NaN,0.5,25,22,21,15
20200403,03,南充炼油厂,34,优,NaN,22,34,0.5,15,44,40,8
20200403,03,高坪区监测站,45,优,NaN,23,45,0.4,19,42,39,1
20200403,03,嘉陵区环保局,17,优,NaN,8,15,0.5,6,53,53,8
20200403,03,市环境监测站,22,优,NaN,15,19,0.4,17,40,40,1
20200403,03,西山风景区,20,优,NaN,14,20,0.6,15,56,53,1
20200403,03,南充市委,36,优,NaN,25,NaN,0.5,25,22,21,15
20200403,03,南充炼油厂,34,优,NaN,22,34,0.5,15,44,40,8
20200403,03,高坪区监测站,45,优,NaN,23,45,0.4,19,42,39,1
20200403,03,嘉陵区环保局,17,优,NaN,8,15,0.5,6,53,53,8
20200403,03,市环境监测站,22,优,NaN,15,19,0.4,17,40,40,1
20200403,08,西山风景区,29,优,NaN,20,NaN,0.6,8,62,56,1
20200403,08,南充市委,39,优,NaN,27,NaN,0.6,25,30,24,4
20200403,08,南充炼油厂,23,优,NaN,13,23,0.5,17,48,44,6
20200403,08,高坪区监测站,25,优,NaN,10,25,0.5,17,58,46,2
20200403,08,嘉陵区环保局,18,优,NaN,11,16,0.6,17,55,55,3
20200403,08,市环境监测站,19,优,NaN,10,19,0.4,14,52,43,4
20200403,09,西山风景区,36,优,NaN,25,NaN,0.6,11,63,58,7
20200403,09,南充市委,35,优,NaN,24,32,0.6,32,29,25,6
20200403,09,南充炼油厂,26,优,NaN,16,26,0.5,22,44,44,7
20200403,09,高坪区监测站,36,优,NaN,13,36,0.5,22,50,48,3
20200403,09,嘉陵区环保局,32,优,NaN,22,29,0.7,20,57,56,2
20200403,09,市环境监测站,24,优,NaN,16,24,0.5,14,51,44,3
20200403,10,西山风景区,33,优,NaN,23,NaN,0.6,15,56,58,1
20200403,10,南充市委,48,优,NaN,16,48,0.6,45,21,25,4
20200403,10,南充炼油厂,32,优,NaN,22,31,0.5,27,38,44,36
20200403,10,高坪区监测站,41,优,NaN,15,41,0.5,31,43,49,6
20200403,10,嘉陵区环保局,28,优,NaN,13,28,0.6,27,52,55,4
20200403,10,市环境监测站,26,优,NaN,13,26,0.5,18,49,46,30
20200403,11,西山风景区,39,优,NaN,27,NaN,0.6,14,48,57,2
20200403,11,南充市委,44,优,NaN,16,44,0.6,36,25,25,5
20200403,11,南充炼油厂,40,优,NaN,25,40,0.5,25,41,44,20
20200403,11,高坪区监测站,46,优,NaN,19,46,0.5,28,43,49,5
20200403,11,嘉陵区环保局,29,优,NaN,20,29,0.6,24,50,55,2
20200403,11,市环境监测站,43,优,NaN,27,43,0.5,16,50,47,6
20200403,12,西山风景区,30,优,NaN,21,21,0.6,12,56,57,1
20200403,12,南充市委,54,良,细颗粒物(PM2.5),38,44,0.6,32,27,26,9
20200403,12,南充炼油厂,46,优,NaN,27,46,0.5,26,40,44,7
20200403,12,高坪区监测站,40,优,NaN,17,40,0.5,25,47,49,2
20200403,12,嘉陵区环保局,25,优,NaN,14,25,0.6,27,53,54,3
20200403,12,市环境监测站,28,优,NaN,19,22,0.5,31,40,47,7
20200403,13,西山风景区,42,优,NaN,29,NaN,0.6,12,55,57,1
20200403,13,南充市委,52,良,颗粒物(PM10),34,54,0.6,32,30,26,2
20200403,13,南充炼油厂,32,优,NaN,17,32,0.5,18,42,43,5
20200403,13,高坪区监测站,32,优,NaN,17,32,0.5,15,44,48,4
20200403,13,嘉陵区环保局,30,优,NaN,21,23,0.6,25,52,54,3
20200403,13,市环境监测站,33,优,NaN,23,30,0.5,25,44,47,2
20200403,14,西山风景区,39,优,NaN,27,NaN,0.6,14,56,56,3
20200403,14,南充市委,40,优,NaN,28,28,0.6,32,29,27,6
20200403,14,南充炼油厂,36,优,NaN,16,36,0.5,30,35,42,5
20200403,14,高坪区监测站,36,优,NaN,25,31,0.5,4,9,43,6
20200403,14,嘉陵区环保局,24,优,NaN,13,24,0.6,24,50,53,2
20200403,14,市环境监测站,32,优,NaN,22,30,0.5,22,48,47,9
20200403,15,西山风景区,42,优,NaN,29,NaN,0.6,12,59,57,1
20200403,15,南充市委,35,优,NaN,24,32,0.6,31,35,28,3
20200403,15,南充炼油厂,34,优,NaN,23,34,0.5,27,39,41,5
20200403,15,高坪区监测站,35,优,NaN,16,35,0.5,3,36,41,7
20200403,15,嘉陵区环保局,33,优,NaN,23,26,0.6,24,53,53,3
20200403,15,市环境监测站,28,优,NaN,19,26,0.5,24,46,48,8
20200403,16,西山风景区,36,优,NaN,25,NaN,0.6,14,59,56,1
20200403,16,南充市委,40,优,NaN,28,31,0.6,27,38,29,2
20200403,16,南充炼油厂,40,优,NaN,23,40,0.5,22,43,40,5
20200403,16,高坪区监测站,37,优,NaN,19,37,0.5,4,30,38,6
20200403,16,嘉陵区环保局,31,优,NaN,17,31,0.5,21,60,53,2
20200403,16,市环境监测站,28,优,NaN,19,24,0.5,30,47,47,10
20200403,17,西山风景区,38,优,NaN,26,NaN,0.6,12,64,57,2
20200403,17,南充市委,51,良,颗粒物(PM10),18,51,0.6,27,43,31,4
20200403,17,南充炼油厂,37,优,NaN,18,37,0.5,22,40,40,5
20200403,17,高坪区监测站,28,优,NaN,14,28,0.4,5,81,42,6
20200403,17,嘉陵区环保局,32,优,NaN,22,24,0.5,19,64,54,6
20200403,17,市环境监测站,32,优,NaN,21,32,0.4,22,51,47,6
20200403,18,西山风景区,28,优,NaN,19,23,0.6,12,66,58,1
20200403,18,南充市委,48,优,NaN,24,48,0.6,28,43,34,2
20200403,18,南充炼油厂,32,优,NaN,17,32,0.5,28,38,40,5
20200403,18,高坪区监测站,29,优,NaN,16,29,0.5,5,45,42,6
20200403,18,嘉陵区环保局,33,优,NaN,23,NaN,0.6,24,58,55,2
20200403,18,市环境监测站,29,优,NaN,17,29,0.5,26,50,47,10
20200403,19,西山风景区,29,优,NaN,20,22,0.6,7,63,60,5
20200403,19,南充市委,37,优,NaN,19,37,0.6,29,41,36,3
20200403,19,南充炼油厂,32,优,NaN,22,32,0.5,22,42,40,6
20200403,19,高坪区监测站,43,优,NaN,18,43,0.5,12,57,44,4
20200403,19,嘉陵区环保局,30,优,NaN,21,26,0.6,25,55,56,2
20200403,19,市环境监测站,29,优,NaN,14,29,0.5,30,45,46,4
20200403,20,西山风景区,42,优,NaN,29,NaN,0.6,7,58,60,3
20200403,20,南充市委,45,优,NaN,25,45,0.6,33,35,37,10
20200403,20,南充炼油厂,36,优,NaN,25,26,0.5,17,45,40,10
20200403,20,高坪区监测站,42,优,NaN,22,42,0.5,20,47,44,3
20200403,20,嘉陵区环保局,27,优,NaN,18,27,0.6,21,59,56,4
20200403,20,市环境监测站,29,优,NaN,15,29,0.5,16,57,48,9
20200403,21,西山风景区,40,优,NaN,28,NaN,0.5,8,52,60,3
20200403,21,南充市委,48,优,NaN,33,40,0.6,34,27,36,2
20200403,21,南充炼油厂,36,优,NaN,25,36,0.5,21,41,40,8
20200403,21,高坪区监测站,33,优,NaN,21,33,0.5,15,49,44,4
20200403,21,嘉陵区环保局,52,良,细颗粒物(PM2.5),36,NaN,0.5,17,59,57,2
20200403,21,市环境监测站,39,优,NaN,27,34,0.4,14,53,50,7
20200403,22,西山风景区,58,良,细颗粒物(PM2.5),41,NaN,0.5,8,51,59,4
20200403,22,南充市委,40,优,NaN,28,34,0.6,28,28,36,2
20200403,22,南充炼油厂,38,优,NaN,26,37,0.5,23,37,41,8
20200403,22,高坪区监测站,45,优,NaN,31,41,0.5,13,49,49,1
20200403,22,嘉陵区环保局,32,优,NaN,17,32,0.5,16,58,58,1
20200403,22,市环境监测站,29,优,NaN,20,24,0.4,15,51,50,7
20200403,23,西山风景区,38,优,NaN,26,NaN,0.5,9,47,58,3
20200403,23,南充市委,40,优,NaN,27,40,0.5,29,31,36,2
20200403,23,南充炼油厂,35,优,NaN,24,33,0.5,21,36,40,5
20200403,23,高坪区监测站,39,优,NaN,22,39,0.4,12,50,51,2
20200403,23,嘉陵区环保局,35,优,NaN,24,25,0.4,18,57,59,1
20200403,23,市环境监测站,43,优,NaN,30,NaN,0.4,10,49,50,11
20200404,00,西山风景区,33,优,NaN,23,24,0.5,10,48,56,4
20200404,00,南充市委,46,优,NaN,32,35,0.5,29,22,34,2
20200404,00,南充炼油厂,37,优,NaN,17,37,0.5,17,36,39,4
20200404,00,高坪区监测站,44,优,NaN,20,44,0.4,14,48,53,2
20200404,00,嘉陵区环保局,25,优,NaN,17,23,0.4,14,57,58,1
20200404,00,市环境监测站,30,优,NaN,21,25,0.4,11,50,51,12
20200404,01,西山风景区,38,优,NaN,26,27,0.5,6,51,51,2
20200404,01,南充市委,37,优,NaN,25,37,0.5,26,24,24,2
20200404,01,南充炼油厂,34,优,NaN,23,34,0.4,17,35,35,4
20200404,01,高坪区监测站,35,优,NaN,20,35,0.4,15,44,44,4
20200404,01,嘉陵区环保局,27,优,NaN,10,27,0.4,10,55,55,1
20200404,01,市环境监测站,39,优,NaN,27,28,0.4,11,46,46,15
20200404,02,西山风景区,39,优,NaN,27,NaN,0.6,7,46,48,4
20200404,02,南充市委,30,优,NaN,21,29,0.5,24,20,22,3
20200404,02,南充炼油厂,29,优,NaN,20,26,0.5,17,33,34,6
20200404,02,高坪区监测站,35,优,NaN,24,28,0.4,12,39,42,1
20200404,02,嘉陵区环保局,23,优,NaN,16,22,0.5,11,55,55,1
20200404,02,市环境监测站,29,优,NaN,20,25,0.4,14,40,43,7
20200404,03,西山风景区,39,优,NaN,27,NaN,0.6,4,41,46,2
20200404,03,南充市委,40,优,NaN,28,34,0.6,24,27,24,2
20200404,03,南充炼油厂,23,优,NaN,16,23,0.5,17,35,34,8
20200404,03,高坪区监测站,26,优,NaN,10,26,0.4,13,40,41,1
