Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,红声器材厂,49,优,NaN,28,49,0.6,22,24,28,5
20200402,08,市森林工业局,46,优,NaN,28,46,0.5,28,24,29,11
20200402,08,市环境监测站,42,优,NaN,27,42,0.6,23,27,26,13
20200402,08,青原区法院,52,良,颗粒物(PM10),34,54,1.0,26,25,29,10
20200402,09,红声器材厂,52,良,颗粒物(PM10),27,53,0.7,20,37,28,4
20200402,09,市森林工业局,46,优,NaN,28,46,0.6,23,35,29,10
20200402,09,市环境监测站,43,优,NaN,30,41,0.7,27,29,27,11
20200402,09,青原区法院,49,优,NaN,34,48,1.0,25,39,30,10
20200402,10,红声器材厂,47,优,NaN,28,47,0.7,26,42,30,7
20200402,10,市森林工业局,43,优,NaN,26,43,0.8,25,42,30,13
20200402,10,市环境监测站,44,优,NaN,28,44,0.7,24,41,29,19
20200402,10,青原区法院,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,30,NaN
20200402,11,红声器材厂,52,良,颗粒物(PM10),28,53,0.8,24,40,32,7
20200402,11,市森林工业局,51,良,颗粒物(PM10),28,52,0.7,24,44,32,14
20200402,11,市环境监测站,48,优,NaN,30,48,0.7,28,37,30,18
20200402,11,青原区法院,45,优,NaN,31,NaN,NaN,27,29,30,NaN
20200402,12,红声器材厂,51,良,颗粒物(PM10),29,52,0.8,27,36,33,5
20200402,12,市森林工业局,50,优,NaN,26,50,0.7,28,38,33,11
20200402,12,市环境监测站,51,良,颗粒物(PM10),30,51,0.7,40,26,30,14
20200402,12,青原区法院,43,优,NaN,30,NaN,NaN,29,30,29,10
20200402,13,红声器材厂,54,良,颗粒物(PM10),29,58,0.8,29,34,33,5
20200402,13,市森林工业局,53,良,颗粒物(PM10),25,56,0.8,37,35,34,11
20200402,13,市环境监测站,49,优,NaN,29,49,0.8,32,34,30,12
20200402,13,青原区法院,46,优,NaN,32,NaN,0.9,35,27,29,8
20200402,14,红声器材厂,52,良,颗粒物(PM10),26,53,0.8,26,36,34,5
20200402,14,市森林工业局,42,优,NaN,26,42,0.8,40,32,34,11
20200402,14,市环境监测站,46,优,NaN,27,46,0.8,30,32,31,11
20200402,14,青原区法院,52,良,颗粒物(PM10),30,53,1.1,31,33,30,6
20200402,15,红声器材厂,49,优,NaN,26,49,0.8,28,32,35,5
20200402,15,市森林工业局,37,优,NaN,24,37,0.8,41,26,34,10
20200402,15,市环境监测站,36,优,NaN,23,36,0.8,37,23,31,10
20200402,15,青原区法院,42,优,NaN,27,42,1.0,34,28,30,2
20200402,16,红声器材厂,40,优,NaN,21,40,0.8,28,30,36,5
20200402,16,市森林工业局,39,优,NaN,27,29,0.8,32,30,35,12
20200402,16,市环境监测站,34,优,NaN,21,34,0.8,36,25,31,10
20200402,16,青原区法院,44,优,NaN,25,44,0.9,36,26,30,8
20200402,17,红声器材厂,43,优,NaN,24,43,0.9,33,22,34,4
20200402,17,市森林工业局,33,优,NaN,20,33,0.8,44,18,33,11
20200402,17,市环境监测站,30,优,NaN,21,24,0.8,37,18,30,11
20200402,17,青原区法院,38,优,NaN,25,38,1.0,36,23,28,9
20200402,18,红声器材厂,45,优,NaN,28,45,1.0,38,13,30,4
20200402,18,市森林工业局,36,优,NaN,24,36,0.8,43,15,30,10
20200402,18,市环境监测站,32,优,NaN,22,28,0.9,37,15,26,11
20200402,18,青原区法院,42,优,NaN,23,42,1.0,38,15,26,8
20200402,19,红声器材厂,46,优,NaN,29,46,0.9,35,15,27,4
20200402,19,市森林工业局,34,优,NaN,19,34,1.0,46,13,26,10
20200402,19,市环境监测站,32,优,NaN,22,30,1.0,39,12,23,9
20200402,19,青原区法院,37,优,NaN,24,37,1.1,41,10,24,8
20200402,20,红声器材厂,42,优,NaN,23,42,0.9,39,9,24,5
20200402,20,市森林工业局,33,优,NaN,23,31,1.0,43,11,22,11
20200402,20,市环境监测站,42,优,NaN,20,42,0.9,39,8,21,13
20200402,20,青原区法院,41,优,NaN,21,41,1.0,40,8,21,8
20200402,20,红声器材厂,42,优,NaN,23,42,0.9,39,9,24,5
20200402,20,市森林工业局,33,优,NaN,23,31,1.0,43,11,22,11
20200402,20,市环境监测站,42,优,NaN,20,42,0.9,39,8,21,13
20200402,20,青原区法院,41,优,NaN,21,41,1.0,40,8,21,8
20200402,22,红声器材厂,39,优,NaN,17,39,1.1,38,7,17,4
20200402,22,市森林工业局,32,优,NaN,22,32,0.8,48,6,16,10
20200402,22,市环境监测站,37,优,NaN,20,37,0.8,38,8,14,11
20200402,22,青原区法院,39,优,NaN,23,39,0.9,34,14,16,8
20200402,23,红声器材厂,38,优,NaN,22,38,0.8,36,7,14,4
20200402,23,市森林工业局,34,优,NaN,20,34,0.9,50,6,13,9
20200402,23,市环境监测站,33,优,NaN,20,33,0.8,42,4,12,10
20200402,23,青原区法院,30,优,NaN,21,29,0.9,30,15,14,9
20200403,00,红声器材厂,35,优,NaN,20,35,0.7,36,8,11,4
20200403,00,市森林工业局,28,优,NaN,19,27,0.8,41,10,11,9
20200403,00,市环境监测站,30,优,NaN,16,30,0.8,35,9,10,10
20200403,00,青原区法院,32,优,NaN,18,32,0.9,35,9,12,8
20200403,01,红声器材厂,33,优,NaN,19,33,0.7,25,24,24,4
20200403,01,市森林工业局,27,优,NaN,16,27,0.7,30,24,24,10
20200403,01,市环境监测站,28,优,NaN,19,28,0.6,23,25,25,11
20200403,01,青原区法院,26,优,NaN,15,26,0.9,27,21,21,8
20200403,02,红声器材厂,28,优,NaN,14,28,0.7,21,24,24,3
20200403,02,市森林工业局,22,优,NaN,14,22,0.7,25,27,26,9
20200403,02,市环境监测站,21,优,NaN,13,21,0.6,21,28,26,10
20200403,02,青原区法院,30,优,NaN,13,30,0.9,23,24,22,8
20200403,03,红声器材厂,27,优,NaN,12,27,0.7,18,32,27,5
20200403,03,市森林工业局,24,优,NaN,10,24,0.6,21,34,28,8
20200403,03,市环境监测站,23,优,NaN,13,23,0.6,19,33,29,11
20200403,03,青原区法院,23,优,NaN,14,23,0.9,20,29,25,6
20200403,08,红声器材厂,32,优,NaN,18,32,0.6,16,39,34,4
20200403,08,市森林工业局,26,优,NaN,16,26,0.6,22,37,34,10
20200403,08,市环境监测站,26,优,NaN,18,26,0.6,17,35,33,10
20200403,08,青原区法院,34,优,NaN,18,34,0.8,18,38,34,9
20200403,09,红声器材厂,32,优,NaN,17,32,0.6,19,40,36,3
20200403,09,市森林工业局,30,优,NaN,21,29,0.6,21,40,36,10
20200403,09,市环境监测站,29,优,NaN,14,29,0.6,23,38,34,11
20200403,09,青原区法院,30,优,NaN,20,30,0.9,25,37,36,9
20200403,10,红声器材厂,36,优,NaN,17,36,0.6,22,43,39,4
20200403,10,市森林工业局,32,优,NaN,22,26,0.6,26,40,38,10
20200403,10,市环境监测站,31,优,NaN,15,31,0.6,35,34,35,12
20200403,10,青原区法院,36,优,NaN,20,36,0.8,26,40,38,8
20200403,11,红声器材厂,35,优,NaN,17,35,0.7,23,42,40,5
20200403,11,市森林工业局,29,优,NaN,19,29,0.5,31,38,39,11
20200403,11,市环境监测站,32,优,NaN,17,32,0.5,33,36,36,13
20200403,11,青原区法院,31,优,NaN,19,31,0.7,23,46,40,8
20200403,12,红声器材厂,34,优,NaN,18,34,0.6,28,36,40,4
20200403,12,市森林工业局,30,优,NaN,14,30,0.6,39,31,38,12
20200403,12,市环境监测站,30,优,NaN,18,30,0.6,30,35,36,13
20200403,12,青原区法院,32,优,NaN,17,32,0.7,23,44,41,8
20200403,13,红声器材厂,32,优,NaN,18,32,0.6,29,34,40,6
20200403,13,市森林工业局,35,优,NaN,15,35,0.6,33,37,38,13
20200403,13,市环境监测站,29,优,NaN,14,29,0.6,35,31,36,17
20200403,13,青原区法院,25,优,NaN,14,25,0.7,27,39,41,10
20200403,14,红声器材厂,33,优,NaN,16,33,0.6,26,40,40,6
20200403,14,市森林工业局,29,优,NaN,13,29,0.6,27,40,38,11
20200403,14,市环境监测站,22,优,NaN,14,22,0.5,27,40,36,14
20200403,14,青原区法院,24,优,NaN,14,24,0.7,28,39,41,12
20200403,15,红声器材厂,33,优,NaN,15,33,0.5,24,41,39,6
20200403,15,市森林工业局,28,优,NaN,12,28,0.6,26,42,38,11
20200403,15,市环境监测站,22,优,NaN,14,22,0.5,26,42,36,13
20200403,15,青原区法院,21,优,NaN,12,21,0.7,24,43,41,6
20200403,16,红声器材厂,34,优,NaN,14,34,0.6,23,41,40,6
20200403,16,市森林工业局,19,优,NaN,10,19,0.6,28,40,38,10
20200403,16,市环境监测站,19,优,NaN,13,18,0.6,26,38,37,15
20200403,16,青原区法院,28,优,NaN,11,28,0.7,24,45,42,8
20200403,17,红声器材厂,30,优,NaN,12,30,0.6,25,39,40,6
20200403,17,市森林工业局,21,优,NaN,11,21,0.6,31,37,38,12
20200403,17,市环境监测站,20,优,NaN,10,20,0.6,31,35,36,14
20200403,17,青原区法院,27,优,NaN,10,27,0.7,27,40,42,10
20200403,18,红声器材厂,37,优,NaN,14,37,0.7,27,38,39,7
20200403,18,市森林工业局,23,优,NaN,16,20,0.7,34,36,38,12
20200403,18,市环境监测站,23,优,NaN,13,23,0.6,27,40,37,14
20200403,18,青原区法院,28,优,NaN,13,28,0.7,29,40,42,11
20200403,19,红声器材厂,38,优,NaN,18,38,0.6,27,40,39,5
20200403,19,市森林工业局,32,优,NaN,18,32,0.6,28,48,39,10
20200403,19,市环境监测站,30,优,NaN,20,30,0.6,27,42,38,13
20200403,19,青原区法院,28,优,NaN,19,26,0.7,26,46,42,8
20200403,20,红声器材厂,45,优,NaN,27,45,0.6,22,59,42,4
20200403,20,市森林工业局,40,优,NaN,24,40,0.6,26,58,42,11
20200403,20,市环境监测站,39,优,NaN,26,39,0.5,21,60,41,13
20200403,20,青原区法院,38,优,NaN,24,38,0.7,25,58,44,9
20200403,21,红声器材厂,47,优,NaN,30,47,0.7,23,60,45,8
20200403,21,市森林工业局,52,良,颗粒物(PM10),31,53,0.7,27,63,46,14
20200403,21,市环境监测站,45,优,NaN,31,43,0.7,23,60,45,17
20200403,21,青原区法院,43,优,NaN,30,40,0.8,24,68,47,10
20200403,22,红声器材厂,48,优,NaN,33,47,0.6,21,74,49,8
20200403,22,市森林工业局,53,良,细颗粒物(PM2.5),37,50,0.7,21,77,50,13
20200403,22,市环境监测站,49,优,NaN,34,49,0.6,19,72,49,16
20200403,22,青原区法院,52,良,颗粒物(PM10),34,53,0.8,25,76,52,14
20200403,23,红声器材厂,52,良,颗粒物(PM10),33,54,0.6,18,80,54,6
20200403,23,市森林工业局,55,良,"
                      颗粒物(PM10)
                      
                      细颗粒物(PM2.5)
                      
",39,60,0.6,18,85,56,10
20200403,23,市环境监测站,52,良,细颗粒物(PM2.5),36,49,0.6,16,81,54,15
20200403,23,青原区法院,53,良,细颗粒物(PM2.5),37,51,0.7,20,87,58,10
20200404,00,红声器材厂,52,良,细颗粒物(PM2.5),36,51,0.6,16,85,59,5
20200404,00,市森林工业局,51,良,颗粒物(PM10),34,52,0.6,15,88,62,9
20200404,00,市环境监测站,51,良,颗粒物(PM10),35,51,0.6,15,81,59,13
20200404,00,青原区法院,54,良,颗粒物(PM10),37,57,0.7,20,86,63,8
20200404,01,红声器材厂,54,良,颗粒物(PM10),34,58,0.7,13,86,86,4
20200404,01,市森林工业局,53,良,颗粒物(PM10),35,56,0.6,14,85,85,9
20200404,01,市环境监测站,49,优,NaN,31,49,0.6,13,81,81,13
20200404,01,青原区法院,53,良,细颗粒物(PM2.5),37,51,0.8,19,85,85,10
20200404,02,红声器材厂,53,良,颗粒物(PM10),35,56,0.7,12,83,84,5
20200404,02,市森林工业局,49,优,NaN,31,49,0.7,12,82,84,11
20200404,02,市环境监测站,52,良,颗粒物(PM10),29,53,0.6,11,79,80,12
20200404,02,青原区法院,53,良,颗粒物(PM10),33,55,0.7,17,83,84,10
20200404,03,红声器材厂,55,良,颗粒物(PM10),31,59,0.7,11,80,83,5
20200404,03,市森林工业局,52,良,颗粒物(PM10),29,54,0.8,12,76,81,12
20200404,03,市环境监测站,50,优,NaN,30,50,0.7,11,73,78,16
20200404,03,青原区法院,52,良,颗粒物(PM10),34,53,0.7,18,78,82,10
20200404,08,红声器材厂,55,良,颗粒物(PM10),36,59,0.7,14,64,75,13
20200404,08,市森林工业局,51,良,颗粒物(PM10),30,51,0.6,15,63,73,18
20200404,08,市环境监测站,51,良,颗粒物(PM10),34,52,0.6,18,51,68,16
20200404,08,青原区法院,57,良,颗粒物(PM10),37,64,0.9,26,58,75,16
20200404,09,红声器材厂,57,良,颗粒物(PM10),32,63,0.7,17,58,72,14
20200404,09,市森林工业局,52,良,颗粒物(PM10),32,54,0.6,19,58,70,18
20200404,09,市环境监测站,51,良,颗粒物(PM10),33,51,0.7,20,49,64,21
20200404,09,青原区法院,56,良,颗粒物(PM10),37,61,0.8,26,57,72,18
20200404,10,红声器材厂,55,良,颗粒物(PM10),37,60,0.7,21,55,68,14
20200404,10,市森林工业局,53,良,颗粒物(PM10),32,55,0.6,22,58,67,18
20200404,10,市环境监测站,51,良,颗粒物(PM10),31,52,0.7,24,50,60,24
20200404,10,青原区法院,60,良,颗粒物(PM10),36,69,0.8,26,55,68,24
20200404,11,红声器材厂,60,良,颗粒物(PM10),37,70,0.7,19,61,66,18
20200404,11,市森林工业局,57,良,颗粒物(PM10),34,64,0.6,23,62,65,21
20200404,11,市环境监测站,54,良,颗粒物(PM10),34,58,0.7,22,58,59,26
