Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,教育园区,32,优,NaN,9,32,0.4,22,51,47,10
20200402,08,高级中学,25,优,NaN,10,25,0.2,12,48,38,7
20200402,08,新区二泵站,19,优,NaN,13,17,0.4,12,53,45,9
20200402,09,教育园区,28,优,NaN,8,28,0.4,18,57,49,9
20200402,09,高级中学,26,优,NaN,13,26,0.1,14,52,42,8
20200402,09,新区二泵站,32,优,NaN,16,32,0.4,14,57,47,10
20200402,10,教育园区,37,优,NaN,14,37,0.4,17,70,53,15
20200402,10,高级中学,32,优,NaN,15,32,0.2,15,61,47,15
20200402,10,新区二泵站,37,优,NaN,15,37,0.5,14,69,52,17
20200402,11,教育园区,53,良,颗粒物(PM10),16,55,0.4,15,83,58,22
20200402,11,高级中学,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,新区二泵站,33,优,NaN,14,33,0.6,13,81,58,25
20200402,12,教育园区,43,优,NaN,19,43,0.3,12,93,64,17
20200402,12,高级中学,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,12,新区二泵站,41,优,NaN,14,41,0.4,10,92,64,21
20200402,13,教育园区,35,优,NaN,14,35,0.3,10,99,70,15
20200402,13,高级中学,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,13,新区二泵站,49,优,NaN,14,49,0.5,10,98,70,19
20200402,14,教育园区,47,优,NaN,18,47,0.5,10,111,77,18
20200402,14,高级中学,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,14,新区二泵站,42,优,NaN,14,42,0.5,11,112,77,22
20200402,15,教育园区,46,优,NaN,17,46,0.4,10,125,86,19
20200402,15,高级中学,51,良,颗粒物(PM10),15,52,0.2,10,106,67,15
20200402,15,新区二泵站,41,优,NaN,14,41,0.4,10,117,85,20
20200402,16,教育园区,52,良,颗粒物(PM10),16,53,0.3,8,127,96,15
20200402,16,高级中学,40,优,NaN,15,40,0.2,8,109,82,12
20200402,16,新区二泵站,50,优,NaN,14,50,0.3,9,118,93,15
20200402,17,教育园区,52,良,颗粒物(PM10),16,54,0.2,7,NaN,101,13
20200402,17,高级中学,43,优,NaN,14,43,0.2,8,111,97,10
20200402,17,新区二泵站,48,优,NaN,14,48,0.3,10,121,101,14
20200402,18,教育园区,42,优,NaN,14,42,0.2,8,120,108,NaN
20200402,18,高级中学,43,优,NaN,13,43,0.3,8,113,110,11
20200402,18,新区二泵站,43,优,NaN,13,43,0.3,10,121,108,15
20200402,19,教育园区,35,优,NaN,18,NaN,0.2,NaN,109,112,NaN
20200402,19,高级中学,43,优,NaN,13,43,0.2,10,105,109,10
20200402,19,新区二泵站,44,优,NaN,15,44,0.3,18,104,110,12
20200402,20,教育园区,53,良,颗粒物(PM10),23,55,NaN,19,96,112,10
20200402,20,高级中学,43,优,NaN,15,43,0.2,14,95,106,9
20200402,20,新区二泵站,52,良,颗粒物(PM10),19,54,0.4,33,81,109,12
20200402,20,教育园区,53,良,颗粒物(PM10),23,55,NaN,19,96,112,10
20200402,20,高级中学,43,优,NaN,15,43,0.2,14,95,106,9
20200402,20,新区二泵站,52,良,颗粒物(PM10),19,54,0.4,33,81,109,12
20200402,22,教育园区,57,良,颗粒物(PM10),29,64,0.6,31,72,103,11
20200402,22,高级中学,52,良,颗粒物(PM10),18,53,0.3,18,76,100,8
20200402,22,新区二泵站,64,良,颗粒物(PM10),22,77,0.4,20,84,103,12
20200402,23,教育园区,56,良,颗粒物(PM10),24,61,0.5,33,72,96,10
20200402,23,高级中学,41,优,NaN,14,41,0.2,17,75,96,8
20200402,23,新区二泵站,59,良,颗粒物(PM10),20,67,0.5,23,77,98,12
20200403,00,教育园区,34,优,NaN,17,34,0.4,25,80,89,9
20200403,00,高级中学,42,优,NaN,18,42,0.2,21,68,91,8
20200403,00,新区二泵站,55,良,颗粒物(PM10),19,60,0.4,16,84,94,11
