Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,地区监测站,42,优,NaN,14,42,0.3,4,78,80,1
20200402,08,哈密师范学校,41,优,NaN,16,41,0.2,7,83,88,3
20200402,09,地区监测站,36,优,NaN,9,36,0.3,11,77,80,1
20200402,09,哈密师范学校,24,优,NaN,9,18,0.2,18,76,86,3
20200402,10,地区监测站,47,优,NaN,9,47,0.3,8,80,80,1
20200402,10,哈密师范学校,37,优,NaN,9,37,0.2,12,82,85,3
20200402,11,地区监测站,83,良,颗粒物(PM10),13,115,0.2,6,88,81,1
20200402,11,哈密师范学校,55,良,颗粒物(PM10),10,59,0.2,8,93,86,2
20200402,12,地区监测站,246,重度污染,颗粒物(PM10),28,382,0.2,5,91,82,2
20200402,12,哈密师范学校,149,轻度污染,颗粒物(PM10),26,247,0.2,6,97,87,2
20200402,13,地区监测站,103,轻度污染,颗粒物(PM10),24,156,0.3,5,91,84,2
20200402,13,哈密师范学校,80,良,颗粒物(PM10),19,110,0.2,6,96,88,3
20200402,14,地区监测站,80,良,颗粒物(PM10),18,109,0.2,4,94,85,2
20200402,14,哈密师范学校,61,良,颗粒物(PM10),19,71,0.1,6,99,89,3
20200402,15,地区监测站,67,良,颗粒物(PM10),20,83,0.2,4,96,87,2
20200402,15,哈密师范学校,50,优,NaN,22,50,0.1,5,102,91,NaN
20200402,16,地区监测站,74,良,颗粒物(PM10),21,97,0.2,4,94,89,2
20200402,16,哈密师范学校,56,良,颗粒物(PM10),17,61,0.2,6,99,93,NaN
20200402,17,地区监测站,77,良,颗粒物(PM10),14,104,0.2,4,92,91,2
20200402,17,哈密师范学校,67,良,颗粒物(PM10),18,84,0.1,6,96,96,1
20200402,18,地区监测站,92,良,颗粒物(PM10),15,134,0.2,5,93,92,2
20200402,18,哈密师范学校,74,良,颗粒物(PM10),14,98,0.1,6,97,97,1
20200402,19,地区监测站,84,良,颗粒物(PM10),18,118,0.2,5,92,93,2
20200402,19,哈密师范学校,72,良,颗粒物(PM10),16,94,0.1,8,95,98,1
20200402,20,地区监测站,68,良,颗粒物(PM10),15,86,0.2,6,91,93,2
20200402,20,哈密师范学校,55,良,颗粒物(PM10),16,60,0.1,10,93,97,2
20200402,20,地区监测站,68,良,颗粒物(PM10),15,86,0.2,6,91,93,2
20200402,20,哈密师范学校,55,良,颗粒物(PM10),16,60,0.1,10,93,97,2
20200402,22,地区监测站,46,优,NaN,11,46,0.2,5,90,92,2
20200402,22,哈密师范学校,63,良,颗粒物(PM10),13,76,0.2,8,NaN,97,1
20200402,23,地区监测站,68,良,颗粒物(PM10),12,86,0.2,5,89,91,2
20200402,23,哈密师范学校,56,良,颗粒物(PM10),14,61,0.2,7,NaN,96,1
20200403,00,地区监测站,62,良,颗粒物(PM10),10,74,0.2,4,91,91,2
20200403,00,哈密师范学校,52,良,颗粒物(PM10),13,54,0.1,6,NaN,95,1
20200403,01,地区监测站,46,优,NaN,8,46,0.2,5,92,92,2
20200403,01,哈密师范学校,30,优,NaN,11,30,0.1,5,NaN,NaN,1
20200403,02,地区监测站,45,优,NaN,8,45,0.2,4,NaN,92,2
20200403,02,哈密师范学校,29,优,NaN,8,29,0.1,5,81,81,1
20200403,03,地区监测站,37,优,NaN,7,37,0.2,4,NaN,92,3
20200403,03,哈密师范学校,26,优,NaN,9,13,0.1,5,82,82,1
20200403,08,地区监测站,31,优,NaN,4,31,0.3,10,80,84,2
20200403,08,哈密师范学校,29,优,NaN,3,29,0.3,27,55,74,2
20200403,09,地区监测站,27,优,NaN,8,27,0.5,35,52,77,3
20200403,09,哈密师范学校,25,优,NaN,15,23,0.5,50,34,69,1
20200403,10,地区监测站,56,良,颗粒物(PM10),8,61,0.5,48,37,71,3
20200403,10,哈密师范学校,53,良,颗粒物(PM10),15,56,0.5,48,36,63,1
20200403,11,地区监测站,64,良,颗粒物(PM10),10,77,0.4,21,69,71,3
20200403,11,哈密师范学校,53,良,颗粒物(PM10),18,55,0.3,26,61,61,2
20200403,12,地区监测站,56,良,颗粒物(PM10),12,62,0.3,9,89,72,2
20200403,12,哈密师范学校,50,优,NaN,17,50,0.2,10,83,61,1
20200403,13,地区监测站,45,优,NaN,9,45,0.3,5,101,74,2
20200403,13,哈密师范学校,32,优,NaN,20,32,0.2,6,94,63,1
20200403,14,地区监测站,43,优,NaN,16,43,0.2,4,101,76,2
20200403,14,哈密师范学校,30,优,NaN,14,21,0.1,6,93,65,2
20200403,15,地区监测站,37,优,NaN,15,37,0.2,4,103,79,2
20200403,15,哈密师范学校,42,优,NaN,11,42,0.1,5,94,69,1
20200403,16,地区监测站,38,优,NaN,8,38,0.2,4,104,82,2
20200403,16,哈密师范学校,30,优,NaN,9,13,0.1,5,96,74,1
20200403,17,地区监测站,36,优,NaN,7,36,0.2,5,106,89,2
20200403,17,哈密师范学校,31,优,NaN,11,12,0.1,5,98,82,1
20200403,18,地区监测站,33,优,NaN,9,28,0.2,5,103,97,2
20200403,18,哈密师范学校,44,优,NaN,9,44,0.1,6,97,90,3
20200403,19,地区监测站,32,优,NaN,9,28,0.2,6,101,101,2
20200403,19,哈密师范学校,71,良,颗粒物(PM10),11,91,0.1,6,95,94,2
20200403,20,地区监测站,30,优,NaN,10,NaN,0.4,14,93,102,4
20200403,20,哈密师范学校,27,优,NaN,11,24,0.2,17,84,94,2
20200403,21,地区监测站,30,优,NaN,11,30,0.5,33,71,98,4
20200403,21,哈密师范学校,47,优,NaN,9,47,0.5,55,43,88,2
20200403,22,地区监测站,55,良,颗粒物(PM10),11,60,0.7,56,46,91,4
20200403,22,哈密师范学校,62,良,颗粒物(PM10),20,74,0.8,72,45,82,3
20200403,23,地区监测站,60,良,颗粒物(PM10),22,70,0.5,56,38,83,3
20200403,23,哈密师范学校,85,良,颗粒物(PM10),44,120,0.5,69,28,73,1
20200404,00,地区监测站,59,良,颗粒物(PM10),17,67,0.5,54,34,74,3
20200404,00,哈密师范学校,68,良,颗粒物(PM10),34,86,0.5,66,27,65,2
20200404,01,地区监测站,51,良,颗粒物(PM10),18,52,0.8,70,12,12,3
20200404,01,哈密师范学校,61,良,颗粒物(PM10),37,72,0.7,81,5,5,1
20200404,02,地区监测站,61,良,颗粒物(PM10),26,72,1.2,75,4,8,4
20200404,02,哈密师范学校,86,良,颗粒物(PM10),36,122,0.9,75,7,6,2
20200404,03,地区监测站,92,良,颗粒物(PM10),30,134,0.9,67,10,9,4
20200404,03,哈密师范学校,98,良,颗粒物(PM10),43,145,0.9,73,6,6,2
20200404,08,地区监测站,51,良,颗粒物(PM10),17,51,0.4,15,75,38,2
20200404,08,哈密师范学校,44,优,NaN,19,44,0.3,34,53,26,1
20200404,09,地区监测站,42,优,NaN,13,42,0.4,15,71,45,11
20200404,09,哈密师范学校,44,优,NaN,15,44,0.3,18,69,34,1
20200404,10,地区监测站,68,良,颗粒物(PM10),16,86,0.4,16,75,54,16
