Date,Hour,WatchPoint,AQI,Level,PrimaryPollution,PM2.5,PM10,CO,NO2,O3_1h,O3_8h,SO2
20200402,08,岭北,18,优,NaN,3,18,0.3,NaN,43,44,6
20200402,08,松北商大,30,优,NaN,19,30,0.2,19,37,31,17
20200402,08,阿城会宁,156,中度污染,细颗粒物(PM2.5),119,124,0.7,25,72,56,16
20200402,08,南岗学府路,52,良,细颗粒物(PM2.5),36,41,0.4,20,47,39,14
20200402,08,太平宏伟公园,56,良,颗粒物(PM10),32,62,0.7,29,46,37,19
20200402,08,道外承德广场,65,良,颗粒物(PM10),30,80,0.6,29,38,29,15
20200402,08,香坊红旗大街,53,良,颗粒物(PM10),36,56,0.9,30,40,29,14
20200402,08,动力和平路,58,良,颗粒物(PM10),29,65,0.6,26,37,25,22
20200402,08,道里建国路,58,良,颗粒物(PM10),32,65,0.3,29,53,44,8
20200402,08,平房东轻厂,53,良,颗粒物(PM10),34,56,0.7,22,50,40,9
20200402,08,呼兰师专,62,良,细颗粒物(PM2.5),44,61,0.7,16,44,34,18
20200402,08,省农科院,68,良,颗粒物(PM10),46,85,0.7,31,32,16,20
20200402,08,岭北(对照点),46,优,NaN,21,46,0.5,15,65,58,14
20200402,08,市委党校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,09,岭北,18,优,NaN,3,18,0.3,NaN,43,44,6
20200402,09,松北商大,42,优,NaN,29,42,0.3,22,47,34,18
20200402,09,阿城会宁,134,轻度污染,细颗粒物(PM2.5),102,122,0.7,22,90,59,15
20200402,09,南岗学府路,52,良,颗粒物(PM10),30,53,0.4,18,58,42,9
20200402,09,太平宏伟公园,58,良,颗粒物(PM10),28,65,0.6,22,63,41,12
20200402,09,道外承德广场,55,良,颗粒物(PM10),28,60,0.6,17,58,33,13
20200402,09,香坊红旗大街,57,良,颗粒物(PM10),32,63,0.9,20,59,33,12
20200402,09,动力和平路,57,良,颗粒物(PM10),27,64,0.5,22,52,30,17
20200402,09,道里建国路,62,良,颗粒物(PM10),32,73,0.3,24,67,48,7
20200402,09,平房东轻厂,43,优,NaN,24,43,0.6,16,67,44,7
20200402,09,呼兰师专,82,良,细颗粒物(PM2.5),60,63,0.7,14,63,37,19
20200402,09,省农科院,61,良,颗粒物(PM10),27,72,0.5,17,54,21,15
20200402,09,岭北(对照点),42,优,NaN,20,42,0.5,12,73,60,13
20200402,09,市委党校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,10,岭北,18,优,NaN,3,18,0.3,NaN,43,44,6
20200402,10,松北商大,63,良,颗粒物(PM10),41,75,0.4,18,70,40,20
20200402,10,阿城会宁,71,良,颗粒物(PM10),32,92,0.4,17,84,63,14
20200402,10,南岗学府路,53,良,细颗粒物(PM2.5),37,53,0.4,17,69,46,12
20200402,10,太平宏伟公园,65,良,颗粒物(PM10),46,80,0.6,25,77,46,14
20200402,10,道外承德广场,58,良,细颗粒物(PM2.5),41,59,0.6,20,70,38,14
20200402,10,香坊红旗大街,58,良,细颗粒物(PM2.5),41,63,0.9,18,74,39,10
20200402,10,动力和平路,56,良,颗粒物(PM10),36,62,0.6,21,64,35,16
20200402,10,道里建国路,63,良,细颗粒物(PM2.5),45,58,0.3,18,79,53,7
20200402,10,平房东轻厂,57,良,颗粒物(PM10),34,64,0.7,16,86,50,8
20200402,10,呼兰师专,73,良,细颗粒物(PM2.5),53,77,0.7,10,82,43,18
20200402,10,省农科院,59,良,颗粒物(PM10),30,67,0.5,19,64,27,13
20200402,10,岭北(对照点),50,优,NaN,35,47,0.6,16,86,64,14
20200402,10,市委党校,NaN,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
20200402,11,岭北,18,优,NaN,3,18,0.3,NaN,43,44,6
20200402,11,松北商大,59,良,颗粒物(PM10),32,67,0.3,13,95,47,NaN
20200402,11,阿城会宁,64,良,颗粒物(PM10),35,78,0.6,22,100,68,29
20200402,11,南岗学府路,60,良,颗粒物(PM10),37,70,0.4,14,89,52,7
20200402,11,太平宏伟公园,70,良,颗粒物(PM10),40,89,0.5,17,99,54,10
20200402,11,道外承德广场,62,良,颗粒物(PM10),35,74,0.6,15,91,46,14
20200402,11,香坊红旗大街,66,良,颗粒物(PM10),42,81,0.8,12,98,48,8
20200402,11,动力和平路,62,良,颗粒物(PM10),35,74,0.5,19,90,43,25
20200402,11,道里建国路,64,良,颗粒物(PM10),44,77,0.3,18,104,60,7
20200402,11,平房东轻厂,64,良,颗粒物(PM10),40,77,0.6,NaN,97,56,NaN
20200402,11,呼兰师专,62,良,颗粒物(PM10),24,73,0.5,8,91,50,15
20200402,11,省农科院,64,良,颗粒物(PM10),31,78,0.5,17,81,35,11
20200402,11,岭北(对照点),49,优,NaN,27,49,0.5,12,106,70,13
